"No.","Time","Source","Destination","Protocol","Length","Info"
"36","1.590483","100.69.171.196","204.79.197.200","TCP","1494","61011  >  443 [ACK] Seq=1 Ack=1 Win=53798 Len=1440 [TCP segment of a reassembled PDU]"
"37","1.590484","100.69.171.196","204.79.197.200","TCP","1494","61011  >  443 [ACK] Seq=1441 Ack=1 Win=53798 Len=1440 [TCP segment of a reassembled PDU]"
"38","1.590501","100.69.171.196","204.79.197.200","TLSv1.2","175","Application Data"
"43","1.603410","204.79.197.200","100.69.171.196","TCP","56","443  >  61011 [ACK] Seq=1 Ack=3002 Win=16385 Len=0"
"44","1.655476","204.79.197.200","100.69.171.196","TLSv1.2","1204","Application Data"
"45","1.655477","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=1151 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"46","1.655478","204.79.197.200","100.69.171.196","TLSv1.2","611","Application Data"
"47","1.655479","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=3168 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"48","1.655479","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=4628 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"49","1.655566","100.69.171.196","204.79.197.200","TCP","54","61011  >  443 [ACK] Seq=3002 Ack=6088 Win=53703 Len=0"
"50","1.655703","100.69.171.196","204.79.197.200","TCP","54","[TCP Window Update] 61011  >  443 [ACK] Seq=3002 Ack=6088 Win=53798 Len=0"
"51","1.657167","204.79.197.200","100.69.171.196","TLSv1.2","1268","Application Data"
"52","1.657168","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=7302 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"53","1.657409","100.69.171.196","204.79.197.200","TCP","54","61011  >  443 [ACK] Seq=3002 Ack=8762 Win=53756 Len=0"
"54","1.657918","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=8762 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"55","1.657919","204.79.197.200","100.69.171.196","TLSv1.2","1268","Application Data"
"56","1.657920","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=11436 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"57","1.657921","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=12896 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"58","1.657922","204.79.197.200","100.69.171.196","TLSv1.2","1268","Application Data"
"59","1.657922","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=15570 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"60","1.657923","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=17030 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"61","1.657924","204.79.197.200","100.69.171.196","TLSv1.2","1268","Application Data"
"62","1.657925","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=19704 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"63","1.657926","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=21164 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"64","1.657927","204.79.197.200","100.69.171.196","TLSv1.2","1268","Application Data"
"65","1.657928","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=23838 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"66","1.657929","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=25298 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"67","1.657930","204.79.197.200","100.69.171.196","TLSv1.2","1268","Application Data"
"68","1.657931","204.79.197.200","100.69.171.196","TCP","1514","443  >  61011 [ACK] Seq=27972 Ack=3002 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"69","1.657932","204.79.197.200","100.69.171.196","TLSv1.2","94","Application Data"
"70","1.657932","204.79.197.200","100.69.171.196","TLSv1.2","92","Application Data"
"71","1.657969","100.69.171.196","204.79.197.200","TCP","54","61011  >  443 [ACK] Seq=3002 Ack=23838 Win=53562 Len=0"
"72","1.657988","100.69.171.196","204.79.197.200","TCP","54","61011  >  443 [ACK] Seq=3002 Ack=29510 Win=53474 Len=0"
"73","1.658037","100.69.171.196","204.79.197.200","TCP","54","[TCP Window Update] 61011  >  443 [ACK] Seq=3002 Ack=29510 Win=53798 Len=0"
"74","1.761532","100.69.171.196","204.79.197.200","TCP","1494","61011  >  443 [ACK] Seq=3002 Ack=29510 Win=53798 Len=1440 [TCP segment of a reassembled PDU]"
