"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.7.137","3.225.92.8","TCP","55","64956  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"2","0.011381","3.225.92.8","100.86.7.137","TCP","66","443  >  64956 [ACK] Seq=1 Ack=2 Win=68 Len=0 SLE=1 SRE=2"
"3","1.893820","100.86.7.137","54.160.93.182","TCP","55","64997  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"4","1.906613","54.160.93.182","100.86.7.137","TCP","66","443  >  64997 [ACK] Seq=1 Ack=2 Win=69 Len=0 SLE=1 SRE=2"
"5","1.984018","100.86.7.137","54.160.93.182","TCP","55","64998  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU]"
"6","1.993969","54.160.93.182","100.86.7.137","TCP","66","443  >  64998 [ACK] Seq=1 Ack=2 Win=68 Len=0 SLE=1 SRE=2"
"7","4.262548","100.86.7.137","54.160.93.182","TLSv1.2","146","Application Data"
"8","4.348016","54.160.93.182","100.86.7.137","TCP","56","443  >  65136 [ACK] Seq=1 Ack=93 Win=1050 Len=0"
"9","5.523896","54.160.93.182","100.86.7.137","TLSv1.2","267","Application Data"
"10","5.524475","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=214 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"11","5.524526","100.86.7.137","54.160.93.182","TCP","54","65136  >  443 [ACK] Seq=93 Ack=1674 Win=1026 Len=0"
"12","5.525518","54.160.93.182","100.86.7.137","TCP","4434","443  >  65136 [ACK] Seq=1674 Ack=93 Win=1050 Len=4380 [TCP segment of a reassembled PDU]"
"13","5.525518","54.160.93.182","100.86.7.137","TLSv1.2","412","Application Data"
"14","5.525518","54.160.93.182","100.86.7.137","TCP","2974","443  >  65136 [ACK] Seq=6412 Ack=93 Win=1050 Len=2920 [TCP segment of a reassembled PDU]"
"15","5.525638","100.86.7.137","54.160.93.182","TCP","54","65136  >  443 [ACK] Seq=93 Ack=9332 Win=1026 Len=0"
"16","5.526858","54.160.93.182","100.86.7.137","TLSv1.2","550","Application Data"
"17","5.526858","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=9828 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"18","5.526858","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=11288 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"19","5.526858","54.160.93.182","100.86.7.137","TLSv1.2","123","Application Data"
"20","5.526967","100.86.7.137","54.160.93.182","TCP","54","65136  >  443 [ACK] Seq=93 Ack=12817 Win=1026 Len=0"
"21","5.530047","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=12817 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"22","5.530047","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=14277 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"23","5.530047","54.160.93.182","100.86.7.137","TLSv1.2","857","Application Data"
"24","5.530047","54.160.93.182","100.86.7.137","TLSv1.2","1223","Application Data"
"25","5.530193","100.86.7.137","54.160.93.182","TCP","54","65136  >  443 [ACK] Seq=93 Ack=17709 Win=1026 Len=0"
"26","5.530772","54.160.93.182","100.86.7.137","TCP","2974","443  >  65136 [ACK] Seq=17709 Ack=93 Win=1050 Len=2920 [TCP segment of a reassembled PDU]"
"27","5.530772","54.160.93.182","100.86.7.137","TLSv1.2","550","Application Data"
"28","5.530772","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=21125 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"29","5.530772","54.160.93.182","100.86.7.137","TLSv1.2","1287","Application Data"
"30","5.530881","100.86.7.137","54.160.93.182","TCP","54","65136  >  443 [ACK] Seq=93 Ack=23818 Win=1026 Len=0"
"31","5.534055","100.86.7.137","54.160.93.182","TLSv1.2","89","Application Data"
"32","5.535870","54.160.93.182","100.86.7.137","TCP","4434","443  >  65136 [ACK] Seq=23818 Ack=93 Win=1050 Len=4380 [TCP segment of a reassembled PDU]"
"33","5.535870","54.160.93.182","100.86.7.137","TLSv1.2","329","Application Data"
"34","5.535870","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=28473 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"35","5.536014","100.86.7.137","54.160.93.182","TCP","54","65136  >  443 [ACK] Seq=128 Ack=29933 Win=1026 Len=0"
"36","5.537805","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=29933 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"37","5.537805","54.160.93.182","100.86.7.137","TLSv1.2","1330","Application Data"
"38","5.537805","54.160.93.182","100.86.7.137","TLSv1.2","177","Application Data"
"39","5.537805","54.160.93.182","100.86.7.137","TCP","2974","443  >  65136 [ACK] Seq=32792 Ack=93 Win=1050 Len=2920 [TCP segment of a reassembled PDU]"
"40","5.537805","54.160.93.182","100.86.7.137","TLSv1.2","552","Application Data"
"41","5.537805","54.160.93.182","100.86.7.137","TCP","2974","443  >  65136 [ACK] Seq=36210 Ack=93 Win=1050 Len=2920 [TCP segment of a reassembled PDU]"
"42","5.537956","100.86.7.137","54.160.93.182","TCP","54","65136  >  443 [ACK] Seq=128 Ack=39130 Win=1026 Len=0"
"43","5.538137","54.160.93.182","100.86.7.137","TLSv1.2","1011","Application Data"
"44","5.538137","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=40087 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"45","5.538137","54.160.93.182","100.86.7.137","TCP","1176","[TCP Previous segment not captured] 443  >  65136 [PSH, ACK] Seq=43007 Ack=93 Win=1050 Len=1122 [TCP segment of a reassembled PDU]"
"46","5.538137","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=44129 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"47","5.538253","100.86.7.137","54.160.93.182","TCP","66","65136  >  443 [ACK] Seq=128 Ack=41547 Win=1026 Len=0 SLE=43007 SRE=44129"
"48","5.538329","100.86.7.137","54.160.93.182","TCP","66","[TCP Dup ACK 47#1] 65136  >  443 [ACK] Seq=128 Ack=41547 Win=1026 Len=0 SLE=43007 SRE=45589"
"49","5.538457","54.160.93.182","100.86.7.137","TLSv1.2","812","Application Data"
"50","5.538491","100.86.7.137","54.160.93.182","TCP","66","[TCP Dup ACK 47#2] 65136  >  443 [ACK] Seq=128 Ack=41547 Win=1026 Len=0 SLE=43007 SRE=46347"
"51","5.539885","54.160.93.182","100.86.7.137","TCP","4434","443  >  65136 [ACK] Seq=46347 Ack=93 Win=1050 Len=4380 [TCP segment of a reassembled PDU]"
"52","5.539949","100.86.7.137","54.160.93.182","TCP","66","[TCP Dup ACK 47#3] 65136  >  443 [ACK] Seq=128 Ack=41547 Win=1026 Len=0 SLE=43007 SRE=50727"
"53","5.540159","54.160.93.182","100.86.7.137","TLSv1.2","352","Application Data"
"54","5.540159","54.160.93.182","100.86.7.137","TLSv1.2","367","Application Data"
"55","5.540208","100.86.7.137","54.160.93.182","TCP","66","[TCP Dup ACK 47#4] 65136  >  443 [ACK] Seq=128 Ack=41547 Win=1026 Len=0 SLE=43007 SRE=51025"
"56","5.540282","100.86.7.137","54.160.93.182","TCP","66","[TCP Dup ACK 47#5] 65136  >  443 [ACK] Seq=128 Ack=41547 Win=1026 Len=0 SLE=43007 SRE=51338"
"57","5.554681","54.160.93.182","100.86.7.137","TCP","1514","[TCP Previous segment not captured] 443  >  65136 [ACK] Seq=56144 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"58","5.554681","54.160.93.182","100.86.7.137","TLSv1.2","847","Application Data"
"59","5.554681","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=58397 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"60","5.554681","54.160.93.182","100.86.7.137","TLSv1.2","1360","Application Data"
"61","5.554681","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=61163 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"62","5.554681","54.160.93.182","100.86.7.137","TLSv1.2","702","Application Data"
"63","5.554681","54.160.93.182","100.86.7.137","TLSv1.2","189","Application Data"
"64","5.554681","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=63406 Ack=93 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
"65","5.554681","54.160.93.182","100.86.7.137","TLSv1.2","1481","Application Data"
"66","5.554681","54.160.93.182","100.86.7.137","TCP","56","443  >  65136 [ACK] Seq=66293 Ack=128 Win=1050 Len=0"
"67","5.554681","54.160.93.182","100.86.7.137","TCP","1514","443  >  65136 [ACK] Seq=66293 Ack=128 Win=1050 Len=1460 [TCP segment of a reassembled PDU]"
