"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.7.137","208.80.154.224","TCP","66","53437  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"2","0.010021","208.80.154.224","100.86.7.137","TCP","66","443  >  53437 [SYN, ACK] Seq=0 Ack=1 Win=42340 Len=0 MSS=1436 SACK_PERM WS=512"
"3","0.010094","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=1 Ack=1 Win=132096 Len=0"
"4","0.011941","100.86.7.137","208.80.154.224","TLSv1.3","654","Client Hello (SNI=en.wikipedia.org)"
"5","0.021913","208.80.154.224","100.86.7.137","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"6","0.025781","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [PSH, ACK] Seq=1461 Ack=601 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"7","0.025781","208.80.154.224","100.86.7.137","TLSv1.3","1125","Application Data, Application Data, Application Data"
"8","0.025843","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=601 Ack=3992 Win=132096 Len=0"
"9","0.206640","100.86.7.137","208.80.154.224","TLSv1.3","134","Change Cipher Spec, Application Data"
"10","0.206780","100.86.7.137","208.80.154.224","TLSv1.3","146","Application Data"
"11","0.206870","100.86.7.137","208.80.154.224","TLSv1.3","619","Application Data"
"12","0.260420","208.80.154.224","100.86.7.137","TLSv1.3","325","Application Data"
"13","0.260420","208.80.154.224","100.86.7.137","TLSv1.3","325","Application Data"
"14","0.260420","208.80.154.224","100.86.7.137","TLSv1.3","106","Application Data"
"15","0.260420","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=4586 Ack=1338 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"16","0.260525","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=1338 Ack=6046 Win=132096 Len=0"
"17","0.260772","100.86.7.137","208.80.154.224","TLSv1.3","85","Application Data"
"18","0.261758","208.80.154.224","100.86.7.137","TLSv1.3","1137","Application Data"
"19","0.279304","208.80.154.224","100.86.7.137","TCP","1137","[TCP Retransmission] 443  >  53437 [PSH, ACK] Seq=6046 Ack=1338 Win=42496 Len=1083 [TCP segment of a reassembled PDU]"
"20","0.279332","100.86.7.137","208.80.154.224","TCP","66","53437  >  443 [ACK] Seq=1369 Ack=7129 Win=130816 Len=0 SLE=6046 SRE=7129"
"21","0.310810","208.80.154.224","100.86.7.137","TCP","56","443  >  53437 [ACK] Seq=7129 Ack=1369 Win=42496 Len=0"
"22","1.040665","100.86.7.137","208.80.154.224","TLSv1.3","354","Application Data"
"23","1.050348","208.80.154.224","100.86.7.137","TCP","56","443  >  53437 [ACK] Seq=7129 Ack=1669 Win=42496 Len=0"
"24","1.051251","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=7129 Ack=1669 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"25","1.051336","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=1669 Ack=10049 Win=132096 Len=0"
"26","1.053250","208.80.154.224","100.86.7.137","TCP","5894","443  >  53437 [PSH, ACK] Seq=10049 Ack=1669 Win=42496 Len=5840 [TCP segment of a reassembled PDU]"
"27","1.053321","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=1669 Ack=15889 Win=132096 Len=0"
"28","1.053837","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=15889 Ack=1669 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"29","1.053889","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=1669 Ack=18809 Win=132096 Len=0"
"30","1.055338","208.80.154.224","100.86.7.137","TLSv1.3","4434","Application Data"
"31","1.055548","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=1669 Ack=23189 Win=132096 Len=0"
"32","1.055735","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=23189 Ack=1669 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"33","1.055780","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=1669 Ack=26109 Win=132096 Len=0"
"34","1.055885","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=26109 Ack=1669 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"35","1.055911","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=1669 Ack=29029 Win=132096 Len=0"
"36","1.058407","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [PSH, ACK] Seq=29029 Ack=1669 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"37","1.058407","208.80.154.224","100.86.7.137","TLSv1.3","1333","Application Data"
"38","1.058459","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=1669 Ack=31768 Win=132096 Len=0"
"39","1.119940","100.86.7.137","208.80.154.224","TLSv1.3","335","Application Data"
"40","1.122671","100.86.7.137","208.80.154.224","TLSv1.3","172","Application Data"
"41","1.122795","100.86.7.137","208.80.154.224","TLSv1.3","184","Application Data"
"42","1.149871","208.80.154.224","100.86.7.137","TCP","56","443  >  53437 [ACK] Seq=31768 Ack=2068 Win=42496 Len=0"
"43","1.150863","208.80.154.224","100.86.7.137","TLSv1.3","881","Application Data"
"44","1.150863","208.80.154.224","100.86.7.137","TLSv1.3","883","Application Data"
"45","1.150935","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2198 Ack=33424 Win=132096 Len=0"
"46","1.151192","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=33424 Ack=2198 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"47","1.151226","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2198 Ack=36344 Win=132096 Len=0"
"48","1.152154","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=36344 Ack=2198 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"49","1.152212","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2198 Ack=39264 Win=132096 Len=0"
"50","1.153204","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=39264 Ack=2198 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"51","1.153262","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2198 Ack=42184 Win=132096 Len=0"
"52","1.157069","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=42184 Ack=2198 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"53","1.157069","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [PSH, ACK] Seq=43644 Ack=2198 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"54","1.157069","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=45104 Ack=2198 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"55","1.157069","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [PSH, ACK] Seq=46564 Ack=2198 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"56","1.157069","208.80.154.224","100.86.7.137","TLSv1.3","1514","Application Data"
"57","1.157069","208.80.154.224","100.86.7.137","TCP","1514","[TCP Previous segment not captured] 443  >  53437 [ACK] Seq=50944 Ack=2198 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"58","1.157184","100.86.7.137","208.80.154.224","TCP","66","53437  >  443 [ACK] Seq=2198 Ack=49484 Win=132096 Len=0 SLE=50944 SRE=52404"
"59","1.161178","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [PSH, ACK] Seq=52404 Ack=2198 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"60","1.161178","208.80.154.224","100.86.7.137","TCP","474","443  >  53437 [PSH, ACK] Seq=53864 Ack=2198 Win=42496 Len=420 [TCP segment of a reassembled PDU]"
"61","1.161218","100.86.7.137","208.80.154.224","TCP","66","[TCP Dup ACK 58#1] 53437  >  443 [ACK] Seq=2198 Ack=49484 Win=132096 Len=0 SLE=50944 SRE=53864"
"62","1.161255","100.86.7.137","208.80.154.224","TCP","66","[TCP Dup ACK 58#2] 53437  >  443 [ACK] Seq=2198 Ack=49484 Win=132096 Len=0 SLE=50944 SRE=54284"
"63","1.171062","208.80.154.224","100.86.7.137","TLSv1.3","1514","[TCP Fast Retransmission] , Application Data"
"64","1.171143","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2198 Ack=54284 Win=132096 Len=0"
"65","1.181389","100.86.7.137","208.80.154.224","TLSv1.3","438","Application Data"
"66","1.183355","100.86.7.137","208.80.154.224","TLSv1.3","190","Application Data"
"67","1.189099","100.86.7.137","208.80.154.224","TLSv1.3","205","Application Data"
"68","1.194762","208.80.154.224","100.86.7.137","TLSv1.3","1130","Application Data"
"69","1.198050","208.80.154.224","100.86.7.137","TLSv1.3","1130","Application Data"
"70","1.198234","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2869 Ack=56436 Win=132096 Len=0"
"71","1.204887","208.80.154.224","100.86.7.137","TLSv1.3","1384","Application Data"
"72","1.248933","100.86.7.137","208.80.154.224","TLSv1.3","182","Application Data"
"73","1.282763","208.80.154.224","100.86.7.137","TLSv1.3","20494","Application Data"
"74","1.282845","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2997 Ack=78206 Win=132096 Len=0"
"75","1.283835","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=78206 Ack=2997 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"76","1.283909","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2997 Ack=81126 Win=132096 Len=0"
"77","1.285833","208.80.154.224","100.86.7.137","TCP","5894","443  >  53437 [PSH, ACK] Seq=81126 Ack=2997 Win=42496 Len=5840 [TCP segment of a reassembled PDU]"
"78","1.285966","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2997 Ack=86966 Win=132096 Len=0"
"79","1.287113","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=86966 Ack=2997 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"80","1.287113","208.80.154.224","100.86.7.137","TLSv1.3","1514","Application Data"
"81","1.287113","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=89886 Ack=2997 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"82","1.287182","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2997 Ack=92806 Win=132096 Len=0"
"83","1.289851","208.80.154.224","100.86.7.137","TCP","5894","443  >  53437 [PSH, ACK] Seq=92806 Ack=2997 Win=42496 Len=5840 [TCP segment of a reassembled PDU]"
"84","1.289920","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2997 Ack=98646 Win=132096 Len=0"
"85","1.357771","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=98646 Ack=2997 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"86","1.357771","208.80.154.224","100.86.7.137","TLSv1.3","313","Application Data"
"87","1.357822","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=2997 Ack=100365 Win=132096 Len=0"
"88","1.363802","208.80.154.224","100.86.7.137","TCP","313","[TCP Spurious Retransmission] 443  >  53437 [PSH, ACK] Seq=100106 Ack=2997 Win=42496 Len=259 [TCP segment of a reassembled PDU]"
"89","1.363828","100.86.7.137","208.80.154.224","TCP","66","[TCP Dup ACK 87#1] 53437  >  443 [ACK] Seq=2997 Ack=100365 Win=132096 Len=0 SLE=100106 SRE=100365"
"90","1.385601","100.86.7.137","208.80.154.224","TLSv1.3","201","Application Data"
"91","1.386779","100.86.7.137","208.80.154.224","TLSv1.3","194","Application Data"
"92","1.394993","100.86.7.137","208.80.154.224","TLSv1.3","90","Application Data"
"93","1.632940","100.86.7.137","208.80.154.224","TCP","377","[TCP Retransmission] 53437  >  443 [PSH, ACK] Seq=2997 Ack=100365 Win=132096 Len=323"
"94","1.698748","208.80.154.224","100.86.7.137","TLSv1.3","1165","[TCP Previous segment not captured] , Application Data"
"95","1.698748","208.80.154.224","100.86.7.137","TCP","1165","[TCP Retransmission] 443  >  53437 [PSH, ACK] Seq=101604 Ack=3320 Win=42496 Len=1111"
"96","1.698748","208.80.154.224","100.86.7.137","TCP","66","[TCP Dup ACK 95#1] 443  >  53437 [ACK] Seq=102715 Ack=3320 Win=42496 Len=0 SLE=2997 SRE=3320"
"97","1.698831","100.86.7.137","208.80.154.224","TCP","66","[TCP Dup ACK 87#2] 53437  >  443 [ACK] Seq=3320 Ack=100365 Win=132096 Len=0 SLE=101604 SRE=102715"
"98","1.698909","100.86.7.137","208.80.154.224","TCP","74","[TCP Dup ACK 87#3] 53437  >  443 [ACK] Seq=3320 Ack=100365 Win=132096 Len=0 SLE=101604 SRE=102715 SLE=101604 SRE=102715"
"99","1.736629","208.80.154.224","100.86.7.137","TCP","1293","[TCP Retransmission] 443  >  53437 [PSH, ACK] Seq=100365 Ack=3320 Win=42496 Len=1239"
"100","1.736678","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3320 Ack=102715 Win=132096 Len=0"
"101","2.136287","100.86.7.137","208.80.154.224","TLSv1.3","142","Application Data"
"102","2.146663","208.80.154.224","100.86.7.137","TCP","56","443  >  53437 [ACK] Seq=102715 Ack=3408 Win=42496 Len=0"
"103","2.176351","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=102715 Ack=3408 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"104","2.176351","208.80.154.224","100.86.7.137","TLSv1.3","930","Application Data"
"105","2.176405","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3408 Ack=105051 Win=132096 Len=0"
"106","2.417674","100.86.7.137","208.80.154.224","TLSv1.3","140","Application Data"
"107","2.469439","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=105051 Ack=3494 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"108","2.520815","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3494 Ack=106511 Win=132096 Len=0"
"109","2.527251","208.80.154.224","100.86.7.137","TLSv1.3","906","Application Data"
"110","2.568119","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3494 Ack=107363 Win=131072 Len=0"
"111","2.589731","208.80.154.224","100.86.7.137","TCP","906","[TCP Spurious Retransmission] 443  >  53437 [PSH, ACK] Seq=106511 Ack=3494 Win=42496 Len=852 [TCP segment of a reassembled PDU]"
"112","2.589782","100.86.7.137","208.80.154.224","TCP","66","[TCP Dup ACK 110#1] 53437  >  443 [ACK] Seq=3494 Ack=107363 Win=131072 Len=0 SLE=106511 SRE=107363"
"113","3.586541","100.86.7.137","208.80.154.224","TLSv1.3","151","Application Data"
"114","3.597105","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=107363 Ack=3591 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"115","3.601708","208.80.154.224","100.86.7.137","TLSv1.3","963","Application Data"
"116","3.601763","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3591 Ack=109732 Win=132096 Len=0"
"117","4.005480","100.86.7.137","208.80.154.224","TLSv1.3","139","Application Data"
"118","4.031382","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [ACK] Seq=109732 Ack=3676 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"119","4.031436","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3676 Ack=112652 Win=132096 Len=0"
"120","4.031669","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=112652 Ack=3676 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"121","4.031696","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3676 Ack=115572 Win=132096 Len=0"
"122","4.032607","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=115572 Ack=3676 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"123","4.032665","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3676 Ack=118492 Win=132096 Len=0"
"124","4.032823","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=118492 Ack=3676 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"125","4.033036","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=119952 Ack=3676 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
"126","4.033068","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3676 Ack=122872 Win=132096 Len=0"
"127","4.034320","208.80.154.224","100.86.7.137","TLSv1.3","5894","Application Data"
"128","4.034366","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3676 Ack=128712 Win=132096 Len=0"
"129","4.036610","208.80.154.224","100.86.7.137","TCP","5894","443  >  53437 [PSH, ACK] Seq=128712 Ack=3676 Win=42496 Len=5840 [TCP segment of a reassembled PDU]"
"130","4.036701","100.86.7.137","208.80.154.224","TCP","54","53437  >  443 [ACK] Seq=3676 Ack=134552 Win=132096 Len=0"
"131","4.036840","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [PSH, ACK] Seq=134552 Ack=3676 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"132","4.036840","208.80.154.224","100.86.7.137","TCP","1514","443  >  53437 [ACK] Seq=136012 Ack=3676 Win=42496 Len=1460 [TCP segment of a reassembled PDU]"
"133","4.036840","208.80.154.224","100.86.7.137","TCP","2974","443  >  53437 [PSH, ACK] Seq=137472 Ack=3676 Win=42496 Len=2920 [TCP segment of a reassembled PDU]"
