"No.","Time","Source","Destination","Protocol","Length","Info"
"130","4.434765","192.168.0.92","18.165.77.79","TLSv1.2","387","Application Data"
"141","4.458843","192.168.0.92","18.165.77.79","TLSv1.2","218","Application Data"
"147","4.467790","18.165.77.79","192.168.0.92","TLSv1.2","629","Application Data"
"148","4.467792","18.165.77.79","192.168.0.92","TLSv1.2","97","Application Data"
"149","4.467872","192.168.0.92","18.165.77.79","TCP","66","63409  >  443 [ACK] Seq=474 Ack=595 Win=3779 Len=0 TSval=1024278429 TSecr=3519396101"
"161","4.521285","18.165.77.79","192.168.0.92","TLSv1.2","1310","Application Data"
"162","4.521375","192.168.0.92","18.165.77.79","TCP","66","63409  >  443 [ACK] Seq=474 Ack=1839 Win=3768 Len=0 TSval=1024278483 TSecr=3519396148"
"163","4.525172","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=1839 Ack=474 Win=260 Len=1428 TSval=3519396149 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"164","4.525174","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=3267 Ack=474 Win=260 Len=1428 TSval=3519396149 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"165","4.525175","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=4695 Ack=474 Win=260 Len=1428 TSval=3519396149 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"166","4.525176","18.165.77.79","192.168.0.92","TLSv1.2","695","Application Data"
"167","4.525228","192.168.0.92","18.165.77.79","TCP","66","63409  >  443 [ACK] Seq=474 Ack=6752 Win=3711 Len=0 TSval=1024278487 TSecr=3519396149"
"168","4.525317","192.168.0.92","18.165.77.79","TCP","66","[TCP Window Update] 63409  >  443 [ACK] Seq=474 Ack=6752 Win=3788 Len=0 TSval=1024278487 TSecr=3519396149"
"169","4.528504","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=6752 Ack=474 Win=260 Len=1428 TSval=3519396159 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"170","4.528610","192.168.0.92","18.165.77.79","TCP","66","63409  >  443 [ACK] Seq=474 Ack=8180 Win=3766 Len=0 TSval=1024278490 TSecr=3519396159"
"171","4.534798","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=8180 Ack=474 Win=260 Len=1428 TSval=3519396159 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"172","4.534800","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=9608 Ack=474 Win=260 Len=1428 TSval=3519396159 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"173","4.534801","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=11036 Ack=474 Win=260 Len=1428 TSval=3519396159 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"174","4.534801","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=12464 Ack=474 Win=260 Len=1428 TSval=3519396159 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"175","4.534802","18.165.77.79","192.168.0.92","TLSv1.2","1267","Application Data"
"176","4.534803","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=15093 Ack=474 Win=260 Len=1428 TSval=3519396160 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"177","4.534804","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=16521 Ack=474 Win=260 Len=1428 TSval=3519396160 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"178","4.534805","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=17949 Ack=474 Win=260 Len=1428 TSval=3519396160 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"179","4.534806","18.165.77.79","192.168.0.92","TLSv1.2","1002","Application Data"
"180","4.534807","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=20313 Ack=474 Win=260 Len=1428 TSval=3519396161 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"181","4.534808","18.165.77.79","192.168.0.92","TLSv1.2","942","Application Data"
"182","4.534808","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=22617 Ack=474 Win=260 Len=1428 TSval=3519396162 TSecr=1024278420 [TCP segment of a reassembled PDU]"
"183","4.534809","18.165.77.79","192.168.0.92","TCP","1494","443  >  63409 [ACK] Seq=24045 Ack=474 Win=260 Len=1428 TSval=3519396162 TSecr=1024278420 [TCP segment of a reassembled PDU]"
