"No.","Time","Source","Destination","Protocol","Length","Info"
"822","2.404364","70.186.28.136","192.168.0.92","TLSv1.2","1494","Application Data"
"823","2.404365","70.186.28.136","192.168.0.92","TCP","1494","443  >  65184 [ACK] Seq=1001932 Ack=616 Win=250 Len=1428 TSval=1209924880 TSecr=4265718617 [TCP segment of a reassembled PDU]"
"824","2.404366","70.186.28.136","192.168.0.92","TCP","1494","443  >  65184 [ACK] Seq=1003360 Ack=616 Win=250 Len=1428 TSval=1209924880 TSecr=4265718617 [TCP segment of a reassembled PDU]"
"825","2.404367","70.186.28.136","192.168.0.92","TCP","1494","443  >  65184 [ACK] Seq=1004788 Ack=616 Win=250 Len=1428 TSval=1209924880 TSecr=4265718617 [TCP segment of a reassembled PDU]"
"826","2.404487","192.168.0.92","70.186.28.136","TCP","66","65184  >  443 [ACK] Seq=616 Ack=1006216 Win=65535 Len=0 TSval=4265718655 TSecr=1209924880"
"827","2.405040","70.186.28.136","192.168.0.92","TCP","1494","443  >  65184 [ACK] Seq=1006216 Ack=616 Win=250 Len=1428 TSval=1209924880 TSecr=4265718617 [TCP segment of a reassembled PDU]"
"828","2.405041","70.186.28.136","192.168.0.92","TCP","1494","443  >  65184 [ACK] Seq=1007644 Ack=616 Win=250 Len=1428 TSval=1209924880 TSecr=4265718617 [TCP segment of a reassembled PDU]"
"829","2.405042","70.186.28.136","192.168.0.92","TCP","1494","443  >  65184 [ACK] Seq=1009072 Ack=616 Win=250 Len=1428 TSval=1209924880 TSecr=4265718617 [TCP segment of a reassembled PDU]"
"830","2.405043","70.186.28.136","192.168.0.92","TCP","1494","443  >  65184 [ACK] Seq=1010500 Ack=616 Win=250 Len=1428 TSval=1209924880 TSecr=4265718617 [TCP segment of a reassembled PDU]"
"831","2.405044","70.186.28.136","192.168.0.92","TCP","1494","443  >  65184 [ACK] Seq=1011928 Ack=616 Win=250 Len=1428 TSval=1209924880 TSecr=4265718617 [TCP segment of a reassembled PDU]"
"832","2.405044","70.186.28.136","192.168.0.92","TCP","1494","443  >  65184 [ACK] Seq=1013356 Ack=616 Win=250 Len=1428 TSval=1209924880 TSecr=4265718617 [TCP segment of a reassembled PDU]"
