"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=1 Ack=1 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"2","0.000003","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=1441 Ack=1 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"3","0.000004","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=2881 Ack=1 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"4","0.000030","100.86.171.196","204.79.197.200","TLSv1.2","148","Application Data"
"5","0.023107","204.79.197.200","100.86.171.196","TCP","56","443  >  64559 [ACK] Seq=1 Ack=4415 Win=16385 Len=0"
"6","0.031358","204.79.197.200","100.86.171.196","TLSv1.2","200","Application Data"
"7","0.031481","100.86.171.196","204.79.197.200","TCP","54","64559  >  443 [ACK] Seq=4415 Ack=147 Win=65532 Len=0"
"8","1.487843","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=4415 Ack=147 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"9","1.487844","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=5855 Ack=147 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"10","1.487870","100.86.171.196","204.79.197.200","TLSv1.2","1469","Application Data"
"11","1.509202","204.79.197.200","100.86.171.196","TCP","56","443  >  64559 [ACK] Seq=147 Ack=7295 Win=16385 Len=0"
"12","1.509203","204.79.197.200","100.86.171.196","TCP","56","443  >  64559 [ACK] Seq=147 Ack=8710 Win=16379 Len=0"
"13","1.517992","204.79.197.200","100.86.171.196","TLSv1.2","200","Application Data"
"14","1.518070","100.86.171.196","204.79.197.200","TCP","54","64559  >  443 [ACK] Seq=8710 Ack=293 Win=65532 Len=0"
"19","2.804840","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=8710 Ack=293 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"20","2.804841","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=10150 Ack=293 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"21","2.804841","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=11590 Ack=293 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"22","2.804872","100.86.171.196","204.79.197.200","TLSv1.2","435","Application Data"
"23","2.825766","204.79.197.200","100.86.171.196","TCP","56","443  >  64559 [ACK] Seq=293 Ack=13411 Win=16385 Len=0"
"24","2.833944","204.79.197.200","100.86.171.196","TLSv1.2","202","Application Data"
"25","2.834025","100.86.171.196","204.79.197.200","TCP","54","64559  >  443 [ACK] Seq=13411 Ack=441 Win=65532 Len=0"
"30","4.814087","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=13411 Ack=441 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"31","4.814090","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=14851 Ack=441 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"32","4.814120","100.86.171.196","204.79.197.200","TLSv1.2","683","Application Data"
"33","4.833157","204.79.197.200","100.86.171.196","TCP","56","443  >  64559 [ACK] Seq=441 Ack=16920 Win=16385 Len=0"
"34","4.843479","204.79.197.200","100.86.171.196","TLSv1.2","200","Application Data"
"35","4.843556","100.86.171.196","204.79.197.200","TCP","54","64559  >  443 [ACK] Seq=16920 Ack=587 Win=65532 Len=0"
"41","6.190291","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=16920 Ack=587 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"42","6.190294","100.86.171.196","204.79.197.200","TCP","1494","64559  >  443 [ACK] Seq=18360 Ack=587 Win=65535 Len=1440 [TCP segment of a reassembled PDU]"
"43","6.190336","100.86.171.196","204.79.197.200","TLSv1.2","373","Application Data"
"45","6.210667","204.79.197.200","100.86.171.196","TCP","56","443  >  64559 [ACK] Seq=587 Ack=18360 Win=16379 Len=0"
"46","6.210668","204.79.197.200","100.86.171.196","TCP","56","443  >  64559 [ACK] Seq=587 Ack=20119 Win=16385 Len=0"
