"No.","Time","Source","Destination","Protocol","Length","Info"
"13","1.488576","192.168.0.92","104.18.37.228","TCP","1454","63477  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=1388 TSval=1981919818 TSecr=2282511255 [TCP segment of a reassembled PDU]"
"14","1.488577","192.168.0.92","104.18.37.228","TCP","1454","63477  >  443 [ACK] Seq=1389 Ack=1 Win=2048 Len=1388 TSval=1981919818 TSecr=2282511255 [TCP segment of a reassembled PDU]"
"15","1.488578","192.168.0.92","104.18.37.228","TCP","1454","63477  >  443 [ACK] Seq=2777 Ack=1 Win=2048 Len=1388 TSval=1981919818 TSecr=2282511255 [TCP segment of a reassembled PDU]"
"16","1.488607","192.168.0.92","104.18.37.228","TLSv1.2","362","Application Data"
"17","1.513099","104.18.37.228","192.168.0.92","TCP","66","443  >  63477 [ACK] Seq=1 Ack=2777 Win=12 Len=0 TSval=2282536084 TSecr=1981919818"
"18","1.514412","104.18.37.228","192.168.0.92","TCP","66","443  >  63477 [ACK] Seq=1 Ack=4461 Win=12 Len=0 TSval=2282536084 TSecr=1981919818"
"20","1.619027","104.18.37.228","192.168.0.92","TLSv1.2","386","Application Data"
"21","1.619115","192.168.0.92","104.18.37.228","TCP","66","63477  >  443 [ACK] Seq=4461 Ack=321 Win=2043 Len=0 TSval=1981919948 TSecr=2282536191"
"22","1.620354","104.18.37.228","192.168.0.92","TLSv1.2","186","Application Data"
"23","1.620354","104.18.37.228","192.168.0.92","TLSv1.2","97","Application Data"
"24","1.620381","192.168.0.92","104.18.37.228","TCP","66","63477  >  443 [ACK] Seq=4461 Ack=472 Win=2045 Len=0 TSval=1981919949 TSecr=2282536191"
"36","3.324842","192.168.0.92","104.18.37.228","TCP","1454","63477  >  443 [ACK] Seq=4461 Ack=472 Win=2048 Len=1388 TSval=1981921654 TSecr=2282536191 [TCP segment of a reassembled PDU]"
"37","3.324843","192.168.0.92","104.18.37.228","TCP","1454","63477  >  443 [ACK] Seq=5849 Ack=472 Win=2048 Len=1388 TSval=1981921654 TSecr=2282536191 [TCP segment of a reassembled PDU]"
"38","3.324844","192.168.0.92","104.18.37.228","TCP","1454","63477  >  443 [ACK] Seq=7237 Ack=472 Win=2048 Len=1388 TSval=1981921654 TSecr=2282536191 [TCP segment of a reassembled PDU]"
"39","3.324871","192.168.0.92","104.18.37.228","TLSv1.2","456","Application Data"
"40","3.325068","192.168.0.92","104.18.37.228","TLSv1.2","99","Application Data"
