"No.","Time","Source","Destination","Protocol","Length","Info"
"62","1.261756","100.86.171.196","104.18.37.228","TCP","1454","63480  >  443 [ACK] Seq=1 Ack=1 Win=2048 Len=1388 TSval=3741898493 TSecr=603774772 [TCP segment of a reassembled PDU]"
"63","1.261758","100.86.171.196","104.18.37.228","TCP","1454","63480  >  443 [ACK] Seq=1389 Ack=1 Win=2048 Len=1388 TSval=3741898493 TSecr=603774772 [TCP segment of a reassembled PDU]"
"64","1.261783","100.86.171.196","104.18.37.228","TLSv1.2","695","Application Data"
"67","1.280193","104.18.37.228","100.86.171.196","TCP","66","443  >  63480 [ACK] Seq=1 Ack=2777 Win=36 Len=0 TSval=603781433 TSecr=3741898493"
"68","1.301984","100.86.171.196","104.18.37.228","TCP","695","[TCP Retransmission] 63480  >  443 [PSH, ACK] Seq=2777 Ack=1 Win=2048 Len=629 TSval=3741898534 TSecr=603781433 [TCP segment of a reassembled PDU]"
"72","1.320227","104.18.37.228","100.86.171.196","TCP","78","443  >  63480 [ACK] Seq=1 Ack=3406 Win=36 Len=0 TSval=603781473 TSecr=3741898534 SLE=2777 SRE=3406"
"91","1.499234","104.18.37.228","100.86.171.196","TCP","1514","443  >  63480 [ACK] Seq=1 Ack=3406 Win=36 Len=1448 TSval=603781652 TSecr=3741898534 [TCP segment of a reassembled PDU]"
"92","1.499236","104.18.37.228","100.86.171.196","TCP","1514","443  >  63480 [ACK] Seq=1449 Ack=3406 Win=36 Len=1448 TSval=603781652 TSecr=3741898534 [TCP segment of a reassembled PDU]"
"93","1.499237","104.18.37.228","100.86.171.196","TCP","1514","443  >  63480 [ACK] Seq=2897 Ack=3406 Win=36 Len=1448 TSval=603781652 TSecr=3741898534 [TCP segment of a reassembled PDU]"
"94","1.499238","104.18.37.228","100.86.171.196","TLSv1.2","617","Application Data"
"95","1.499239","104.18.37.228","100.86.171.196","TCP","1514","443  >  63480 [ACK] Seq=4896 Ack=3406 Win=36 Len=1448 TSval=603781653 TSecr=3741898534 [TCP segment of a reassembled PDU]"
"96","1.499338","100.86.171.196","104.18.37.228","TCP","66","63480  >  443 [ACK] Seq=3406 Ack=6344 Win=1948 Len=0 TSval=3741898731 TSecr=603781653"
"97","1.499457","100.86.171.196","104.18.37.228","TCP","66","[TCP Window Update] 63480  >  443 [ACK] Seq=3406 Ack=6344 Win=2048 Len=0 TSval=3741898731 TSecr=603781653"
"98","1.500503","104.18.37.228","100.86.171.196","TCP","1514","443  >  63480 [ACK] Seq=6344 Ack=3406 Win=36 Len=1448 TSval=603781653 TSecr=3741898534 [TCP segment of a reassembled PDU]"
"99","1.500504","104.18.37.228","100.86.171.196","TLSv1.2","337","Application Data"
"100","1.500581","100.86.171.196","104.18.37.228","TCP","66","63480  >  443 [ACK] Seq=3406 Ack=8063 Win=2021 Len=0 TSval=3741898732 TSecr=603781653"
"109","1.544487","104.18.37.228","100.86.171.196","TCP","1514","443  >  63480 [ACK] Seq=8063 Ack=3406 Win=36 Len=1448 TSval=603781697 TSecr=3741898732 [TCP segment of a reassembled PDU]"
"110","1.544488","104.18.37.228","100.86.171.196","TCP","1514","443  >  63480 [ACK] Seq=9511 Ack=3406 Win=36 Len=1448 TSval=603781697 TSecr=3741898732 [TCP segment of a reassembled PDU]"
"111","1.544489","104.18.37.228","100.86.171.196","TLSv1.2","615","Application Data"
"112","1.544490","104.18.37.228","100.86.171.196","TLSv1.2","825","Application Data"
"113","1.544598","100.86.171.196","104.18.37.228","TCP","66","63480  >  443 [ACK] Seq=3406 Ack=12267 Win=1982 Len=0 TSval=3741898776 TSecr=603781697"
"114","1.544696","100.86.171.196","104.18.37.228","TCP","66","[TCP Window Update] 63480  >  443 [ACK] Seq=3406 Ack=12267 Win=2048 Len=0 TSval=3741898776 TSecr=603781697"
"124","1.590641","104.18.37.228","100.86.171.196","TLSv1.2","1056","Application Data"
"125","1.590643","104.18.37.228","100.86.171.196","TLSv1.2","97","Application Data"
"126","1.590737","100.86.171.196","104.18.37.228","TCP","66","63480  >  443 [ACK] Seq=3406 Ack=13288 Win=2032 Len=0 TSval=3741898822 TSecr=603781744"
"130","1.745457","100.86.171.196","104.18.37.228","TCP","1454","63480  >  443 [ACK] Seq=3406 Ack=13288 Win=2048 Len=1388 TSval=3741898977 TSecr=603781744 [TCP segment of a reassembled PDU]"
"131","1.745458","100.86.171.196","104.18.37.228","TCP","1454","63480  >  443 [ACK] Seq=4794 Ack=13288 Win=2048 Len=1388 TSval=3741898977 TSecr=603781744 [TCP segment of a reassembled PDU]"
"132","1.745491","100.86.171.196","104.18.37.228","TLSv1.2","625","Application Data"
"133","1.763943","104.18.37.228","100.86.171.196","TCP","66","443  >  63480 [ACK] Seq=13288 Ack=6182 Win=36 Len=0 TSval=603781917 TSecr=3741898977"
"134","1.763945","104.18.37.228","100.86.171.196","TCP","66","443  >  63480 [ACK] Seq=13288 Ack=6741 Win=36 Len=0 TSval=603781917 TSecr=3741898977"
"135","1.840360","104.18.37.228","100.86.171.196","TCP","1514","443  >  63480 [ACK] Seq=13288 Ack=6741 Win=36 Len=1448 TSval=603781992 TSecr=3741898977 [TCP segment of a reassembled PDU]"
"136","1.840362","104.18.37.228","100.86.171.196","TCP","1514","443  >  63480 [ACK] Seq=14736 Ack=6741 Win=36 Len=1448 TSval=603781992 TSecr=3741898977 [TCP segment of a reassembled PDU]"
