"No.","Time","Source","Destination","Protocol","Length","Info"
"43","2.349201","192.168.0.92","146.75.31.5","TLSv1.2","1025","Application Data"
"44","2.368897","146.75.31.5","192.168.0.92","TCP","66","443  >  55371 [ACK] Seq=1 Ack=960 Win=372 Len=0 TSval=2256644995 TSecr=1528434510"
"45","2.372745","146.75.31.5","192.168.0.92","TLSv1.2","421","Application Data"
"46","2.372746","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=356 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"47","2.372747","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=1800 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"48","2.372842","192.168.0.92","146.75.31.5","TCP","66","55371  >  443 [ACK] Seq=960 Ack=3244 Win=33491 Len=0 TSval=1528434533 TSecr=2256644998"
"49","2.372950","192.168.0.92","146.75.31.5","TCP","66","[TCP Window Update] 55371  >  443 [ACK] Seq=960 Ack=3244 Win=33542 Len=0 TSval=1528434533 TSecr=2256644998"
"50","2.373229","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=3244 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"51","2.373229","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=4688 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"52","2.373230","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=6132 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"53","2.373231","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=7576 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"54","2.373232","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=9020 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"55","2.373233","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=10464 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"56","2.373233","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=11908 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"57","2.373234","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=13352 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"58","2.373235","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=14796 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"59","2.373236","146.75.31.5","192.168.0.92","TLSv1.2","1510","Application Data"
"60","2.373237","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=17684 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"61","2.373238","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=19128 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"62","2.373238","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=20572 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"63","2.373239","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=22016 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
"64","2.373240","146.75.31.5","192.168.0.92","TCP","1510","443  >  55371 [ACK] Seq=23460 Ack=960 Win=372 Len=1444 TSval=2256644998 TSecr=1528434510 [TCP segment of a reassembled PDU]"
