"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.200","162.159.128.232","TCP","55","64611  >  443 [ACK] Seq=1 Ack=1 Win=1028 Len=1 [TCP segment of a reassembled PDU]"
"2","0.011650","162.159.128.232","192.168.0.200","TCP","66","443  >  64611 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2"
"3","2.063298","192.168.0.200","162.159.128.232","TLSv1.2","256","Ignored Unknown Record"
"4","2.063309","192.168.0.200","162.159.128.232","TLSv1.2","93","Application Data"
"5","2.078550","162.159.128.232","192.168.0.200","TCP","60","443  >  64611 [ACK] Seq=1 Ack=204 Win=7 Len=0"
"6","2.078550","162.159.128.232","192.168.0.200","TCP","60","443  >  64611 [ACK] Seq=1 Ack=243 Win=7 Len=0"
"7","2.078550","162.159.128.232","192.168.0.200","TLSv1.2","93","Application Data"
"8","2.125240","192.168.0.200","162.159.128.232","TCP","54","64611  >  443 [ACK] Seq=243 Ack=40 Win=1027 Len=0"
"9","4.492766","162.159.128.232","192.168.0.200","TLSv1.2","384","Application Data"
"10","4.492801","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=370 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"11","4.492876","192.168.0.200","162.159.128.232","TCP","54","64611  >  443 [ACK] Seq=243 Ack=1830 Win=1028 Len=0"
"12","4.494099","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=1830 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"13","4.494099","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=3290 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"14","4.494099","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=4750 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"15","4.494149","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=6210 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"16","4.494171","192.168.0.200","162.159.128.232","TCP","54","64611  >  443 [ACK] Seq=243 Ack=6210 Win=1028 Len=0"
"17","4.494214","192.168.0.200","162.159.128.232","TCP","54","64611  >  443 [ACK] Seq=243 Ack=7670 Win=1028 Len=0"
"18","4.495605","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=7670 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"19","4.495605","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=9130 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"20","4.495605","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=10590 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"21","4.495605","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=12050 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"22","4.495605","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=13510 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"23","4.495706","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=14970 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"24","4.495706","162.159.128.232","192.168.0.200","TLSv1.2","400","Application Data"
"25","4.495706","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=16776 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"26","4.495706","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=18236 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"27","4.495706","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=19696 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"28","4.495713","192.168.0.200","162.159.128.232","TCP","54","64611  >  443 [ACK] Seq=243 Ack=14970 Win=1028 Len=0"
"29","4.495706","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=21156 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"30","4.495706","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=22616 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"31","4.495706","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=24076 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"32","4.495706","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=25536 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"33","4.495706","162.159.128.232","192.168.0.200","TCP","1514","443  >  64611 [ACK] Seq=26996 Ack=243 Win=8 Len=1460 [TCP segment of a reassembled PDU]"
"34","4.495754","192.168.0.200","162.159.128.232","TCP","54","64611  >  443 [ACK] Seq=243 Ack=28456 Win=1028 Len=0"
