"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.200","35.214.213.22","UDP","110","61048  >  50001 Len=68"
"2","0.003687","35.214.213.22","192.168.0.200","UDP","1242","50001  >  61048 Len=1200"
"3","0.004941","35.214.213.22","192.168.0.200","UDP","1197","50001  >  61048 Len=1155"
"4","0.004956","35.214.213.22","192.168.0.200","UDP","1197","50001  >  61048 Len=1155"
"5","0.004956","35.214.213.22","192.168.0.200","UDP","392","50001  >  61048 Len=350"
"7","0.010689","35.214.213.22","192.168.0.200","UDP","1197","50001  >  61048 Len=1155"
"8","0.010689","35.214.213.22","192.168.0.200","UDP","1197","50001  >  61048 Len=1155"
"9","0.011056","35.214.213.22","192.168.0.200","UDP","1197","50001  >  61048 Len=1155"
"10","0.020059","35.214.213.22","192.168.0.200","UDP","1197","50001  >  61048 Len=1155"
"11","0.020059","35.214.213.22","192.168.0.200","UDP","1197","50001  >  61048 Len=1155"
"12","0.020059","35.214.213.22","192.168.0.200","UDP","1197","50001  >  61048 Len=1155"
"13","0.021346","35.214.213.22","192.168.0.200","UDP","1198","50001  >  61048 Len=1156"
"14","0.022501","35.214.213.22","192.168.0.200","UDP","1198","50001  >  61048 Len=1156"
"15","0.023258","35.214.213.22","192.168.0.200","UDP","1198","50001  >  61048 Len=1156"
"16","0.023258","35.214.213.22","192.168.0.200","UDP","406","50001  >  61048 Len=364"
"17","0.023258","35.214.213.22","192.168.0.200","UDP","1198","50001  >  61048 Len=1156"
"19","0.032884","35.214.213.22","192.168.0.200","UDP","1198","50001  >  61048 Len=1156"
"20","0.032884","35.214.213.22","192.168.0.200","UDP","1198","50001  >  61048 Len=1156"
"21","0.036221","35.214.213.22","192.168.0.200","UDP","1198","50001  >  61048 Len=1156"
"22","0.038533","35.214.213.22","192.168.0.200","UDP","1198","50001  >  61048 Len=1156"
"23","0.038944","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"24","0.039296","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"25","0.039296","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"26","0.039296","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"27","0.042001","35.214.213.22","192.168.0.200","UDP","385","50001  >  61048 Len=343"
"28","0.043139","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"29","0.043888","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"30","0.045922","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"31","0.046320","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"32","0.046696","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"34","0.050879","192.168.0.200","35.214.213.22","UDP","110","61048  >  50001 Len=68"
"35","0.054584","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"36","0.055503","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"37","0.055858","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"38","0.055867","35.214.213.22","192.168.0.200","UDP","1246","50001  >  61048 Len=1204"
"39","0.061997","35.214.213.22","192.168.0.200","UDP","1247","50001  >  61048 Len=1205"
"40","0.062453","35.214.213.22","192.168.0.200","UDP","1247","50001  >  61048 Len=1205"
"41","0.062857","35.214.213.22","192.168.0.200","UDP","1235","50001  >  61048 Len=1193"
"42","0.062857","35.214.213.22","192.168.0.200","UDP","368","50001  >  61048 Len=326"
