"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","20.36.181.22","192.168.0.200","UDP","97","9046  >  60487 Len=55"
"2","0.010276","192.168.0.200","20.36.181.22","UDP","82","60487  >  9046 Len=40"
"3","0.048486","20.36.181.22","192.168.0.200","UDP","83","15046  >  60167 Len=41"
"4","0.050166","20.36.181.22","192.168.0.200","UDP","120","9046  >  60487 Len=78"
"5","0.076227","192.168.0.200","20.36.181.22","UDP","82","60167  >  15046 Len=40"
"6","0.076258","192.168.0.200","20.36.181.22","UDP","82","60487  >  9046 Len=40"
"7","0.102018","20.36.181.22","192.168.0.200","UDP","97","9046  >  60487 Len=55"
"8","0.110998","192.168.0.200","20.36.181.22","UDP","121","60487  >  9046 Len=79"
"9","0.149578","20.36.181.22","192.168.0.200","UDP","83","15046  >  60167 Len=41"
"10","0.150489","20.36.181.22","192.168.0.200","UDP","120","9046  >  60487 Len=78"
"11","0.176146","192.168.0.200","20.36.181.22","UDP","82","60167  >  15046 Len=40"
"12","0.176182","192.168.0.200","20.36.181.22","UDP","82","60487  >  9046 Len=40"
"13","0.200472","20.36.181.22","192.168.0.200","UDP","97","9046  >  60487 Len=55"
"14","0.209235","192.168.0.200","20.36.181.22","UDP","93","60487  >  9046 Len=51"
"15","0.243673","192.168.0.200","20.36.181.22","UDP","121","60487  >  9046 Len=79"
"16","0.251998","20.36.181.22","192.168.0.200","UDP","83","15046  >  60167 Len=41"
"17","0.252175","20.36.181.22","192.168.0.200","UDP","237","9046  >  60487 Len=195"
"18","0.276618","192.168.0.200","20.36.181.22","UDP","82","60167  >  15046 Len=40"
"19","0.276662","192.168.0.200","20.36.181.22","UDP","248","60487  >  9046 Len=206"
"20","0.300746","20.36.181.22","192.168.0.200","UDP","112","9046  >  60487 Len=70"
"21","0.310005","192.168.0.200","20.36.181.22","UDP","82","60487  >  9046 Len=40"
"22","0.343813","192.168.0.200","20.36.181.22","UDP","122","60487  >  9046 Len=80"
"23","0.349396","20.36.181.22","192.168.0.200","UDP","83","15046  >  60167 Len=41"
"24","0.350392","20.36.181.22","192.168.0.200","UDP","104","9046  >  60487 Len=62"
"25","0.375971","192.168.0.200","20.36.181.22","UDP","82","60167  >  15046 Len=40"
"26","0.376000","192.168.0.200","20.36.181.22","UDP","82","60487  >  9046 Len=40"
"27","0.400678","20.36.181.22","192.168.0.200","UDP","127","9046  >  60487 Len=85"
"28","0.409980","192.168.0.200","20.36.181.22","UDP","92","60487  >  9046 Len=50"
"29","0.443102","192.168.0.200","20.36.181.22","UDP","122","60487  >  9046 Len=80"
"30","0.449107","20.36.181.22","192.168.0.200","UDP","83","15046  >  60167 Len=41"
"31","0.450608","20.36.181.22","192.168.0.200","UDP","105","9046  >  60487 Len=63"
"32","0.476275","192.168.0.200","20.36.181.22","UDP","82","60167  >  15046 Len=40"
"33","0.476312","192.168.0.200","20.36.181.22","UDP","121","60487  >  9046 Len=79"
"34","0.500721","20.36.181.22","192.168.0.200","UDP","96","9046  >  60487 Len=54"
"35","0.509555","192.168.0.200","20.36.181.22","UDP","82","60487  >  9046 Len=40"
"36","0.542832","192.168.0.200","20.36.181.22","UDP","93","60487  >  9046 Len=51"
"37","0.550152","20.36.181.22","192.168.0.200","UDP","83","15046  >  60167 Len=41"
"38","0.551202","20.36.181.22","192.168.0.200","UDP","119","9046  >  60487 Len=77"
"39","0.576266","192.168.0.200","20.36.181.22","UDP","82","60167  >  15046 Len=40"
"40","0.576308","192.168.0.200","20.36.181.22","UDP","121","60487  >  9046 Len=79"
"41","0.602524","20.36.181.22","192.168.0.200","UDP","110","9046  >  60487 Len=68"
"42","0.609836","192.168.0.200","20.36.181.22","UDP","82","60487  >  9046 Len=40"
"43","0.649281","20.36.181.22","192.168.0.200","UDP","83","15046  >  60167 Len=41"
"44","0.652253","20.36.181.22","192.168.0.200","UDP","119","9046  >  60487 Len=77"
"45","0.676016","192.168.0.200","20.36.181.22","UDP","82","60167  >  15046 Len=40"
"46","0.676051","192.168.0.200","20.36.181.22","UDP","82","60487  >  9046 Len=40"
"47","0.701512","20.36.181.22","192.168.0.200","UDP","97","9046  >  60487 Len=55"
"48","0.709405","192.168.0.200","20.36.181.22","UDP","121","60487  >  9046 Len=79"
