No.,Time,Source,Destination,Protocol,Length,Info
1,0,3.144.65.185,192.168.0.200,UDP,98,9013  >  58136 Len=56
2,0.018314,192.168.0.200,3.144.65.185,UDP,93,58136  >  9013 Len=51
3,0.032629,3.144.65.185,192.168.0.200,UDP,83,15013  >  58137 Len=41
4,0.033194,3.144.65.185,192.168.0.200,UDP,153,9013  >  58136 Len=111
5,0.051226,192.168.0.200,3.144.65.185,UDP,82,58137  >  15013 Len=40
6,0.051256,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
7,0.069477,3.144.65.185,192.168.0.200,UDP,111,9013  >  58136 Len=69
8,0.084452,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
9,0.099872,3.144.65.185,192.168.0.200,UDP,83,15013  >  58137 Len=41
10,0.101588,3.144.65.185,192.168.0.200,UDP,99,9013  >  58136 Len=57
11,0.118276,192.168.0.200,3.144.65.185,UDP,82,58137  >  15013 Len=40
12,0.118312,192.168.0.200,3.144.65.185,UDP,122,58136  >  9013 Len=80
13,0.134044,3.144.65.185,192.168.0.200,UDP,140,9013  >  58136 Len=98
14,0.151668,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
15,0.167677,3.144.65.185,192.168.0.200,UDP,83,15013  >  58137 Len=41
16,0.167988,3.144.65.185,192.168.0.200,UDP,114,9013  >  58136 Len=72
17,0.18457,192.168.0.200,3.144.65.185,UDP,82,58137  >  15013 Len=40
18,0.184605,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
19,0.20121,3.144.65.185,192.168.0.200,UDP,99,9013  >  58136 Len=57
20,0.218003,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
21,0.233934,3.144.65.185,192.168.0.200,UDP,83,15013  >  58137 Len=41
22,0.234193,3.144.65.185,192.168.0.200,UDP,138,9013  >  58136 Len=96
23,0.25244,192.168.0.200,3.144.65.185,UDP,82,58137  >  15013 Len=40
24,0.252483,192.168.0.200,3.144.65.185,UDP,123,58136  >  9013 Len=81
25,0.268463,3.144.65.185,192.168.0.200,UDP,99,9013  >  58136 Len=57
26,0.284763,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
27,0.300625,3.144.65.185,192.168.0.200,UDP,83,15013  >  58137 Len=41
28,0.304303,3.144.65.185,192.168.0.200,UDP,114,9013  >  58136 Len=72
29,0.318465,192.168.0.200,3.144.65.185,UDP,82,58137  >  15013 Len=40
30,0.318504,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
31,0.33545,3.144.65.185,192.168.0.200,UDP,138,9013  >  58136 Len=96
32,0.352508,192.168.0.200,3.144.65.185,UDP,92,58136  >  9013 Len=50
33,0.367663,3.144.65.185,192.168.0.200,UDP,83,15013  >  58137 Len=41
34,0.368801,3.144.65.185,192.168.0.200,UDP,99,9013  >  58136 Len=57
36,0.385274,192.168.0.200,3.144.65.185,UDP,82,58137  >  15013 Len=40
37,0.385307,192.168.0.200,3.144.65.185,UDP,123,58136  >  9013 Len=81
38,0.401954,3.144.65.185,192.168.0.200,UDP,112,9013  >  58136 Len=70
39,0.418971,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
40,0.434762,3.144.65.185,192.168.0.200,UDP,83,15013  >  58137 Len=41
41,0.435825,3.144.65.185,192.168.0.200,UDP,152,9013  >  58136 Len=110
42,0.451599,192.168.0.200,3.144.65.185,UDP,82,58137  >  15013 Len=40
43,0.451628,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
44,0.468448,3.144.65.185,192.168.0.200,UDP,100,9013  >  58136 Len=58
45,0.48508,192.168.0.200,3.144.65.185,UDP,82,58136  >  9013 Len=40
46,0.50136,3.144.65.185,192.168.0.200,UDP,83,15013  >  58137 Len=41
47,0.502015,3.144.65.185,192.168.0.200,UDP,181,9013  >  58136 Len=139
48,0.51923,192.168.0.200,3.144.65.185,UDP,82,58137  >  15013 Len=40
49,0.51929,192.168.0.200,3.144.65.185,UDP,281,58136  >  9013 Len=239
50,0.536085,3.144.65.185,192.168.0.200,UDP,139,9013  >  58136 Len=97
