"No.","Time","Source","Destination","Protocol","Length","Info"
"75","3.023145","192.168.0.92","172.253.122.139","TCP","1466","50332  >  443 [ACK] Seq=1 Ack=1 Win=7166 Len=1400 TSval=1609045408 TSecr=916724183 [TCP segment of a reassembled PDU]"
"76","3.023173","192.168.0.92","172.253.122.139","TLSv1.2","367","Application Data"
"77","3.023269","192.168.0.92","172.253.122.139","TLSv1.2","313","Application Data"
"84","3.043870","172.253.122.139","192.168.0.92","TCP","66","443  >  50332 [ACK] Seq=1 Ack=1401 Win=731 Len=0 TSval=916744793 TSecr=1609045408"
"85","3.043882","172.253.122.139","192.168.0.92","TCP","66","443  >  50332 [ACK] Seq=1 Ack=1702 Win=742 Len=0 TSval=916744793 TSecr=1609045408"
"86","3.043882","172.253.122.139","192.168.0.92","TCP","66","443  >  50332 [ACK] Seq=1 Ack=1949 Win=753 Len=0 TSval=916744793 TSecr=1609045408"
"94","3.105725","172.253.122.139","192.168.0.92","TLSv1.2","271","Application Data"
"95","3.105726","172.253.122.139","192.168.0.92","TLSv1.2","299","Application Data"
"96","3.105811","192.168.0.92","172.253.122.139","TCP","66","50332  >  443 [ACK] Seq=1949 Ack=439 Win=7159 Len=0 TSval=1609045490 TSecr=916744855"
"97","3.107043","172.253.122.139","192.168.0.92","TLSv1.2","105","Application Data"
"98","3.107073","192.168.0.92","172.253.122.139","TCP","66","50332  >  443 [ACK] Seq=1949 Ack=478 Win=7166 Len=0 TSval=1609045492 TSecr=916744855"
"99","3.107205","192.168.0.92","172.253.122.139","TLSv1.2","105","Application Data"
"100","3.114124","192.168.0.92","172.253.122.139","TLSv1.2","779","Application Data"
"101","3.125926","172.253.122.139","192.168.0.92","TCP","66","443  >  50332 [ACK] Seq=478 Ack=1988 Win=753 Len=0 TSval=916744875 TSecr=1609045492"
"102","3.134069","172.253.122.139","192.168.0.92","TCP","66","443  >  50332 [ACK] Seq=478 Ack=2701 Win=764 Len=0 TSval=916744883 TSecr=1609045499"
"104","3.293549","172.253.122.139","192.168.0.92","TLSv1.2","1466","Application Data"
"105","3.293550","172.253.122.139","192.168.0.92","TLSv1.2","121","Application Data"
"106","3.293551","172.253.122.139","192.168.0.92","TLSv1.2","226","Application Data"
"107","3.293642","192.168.0.92","172.253.122.139","TCP","66","50332  >  443 [ACK] Seq=2701 Ack=2093 Win=7141 Len=0 TSval=1609045678 TSecr=916745042"
"108","3.296685","192.168.0.92","172.253.122.139","TLSv1.2","101","Application Data"
"109","3.297702","172.253.122.139","192.168.0.92","TLSv1.2","208","Application Data"
"110","3.297703","172.253.122.139","192.168.0.92","TLSv1.2","342","Application Data"
"111","3.297703","172.253.122.139","192.168.0.92","TLSv1.2","105","Application Data"
"112","3.297778","192.168.0.92","172.253.122.139","TCP","66","50332  >  443 [ACK] Seq=2736 Ack=2550 Win=7159 Len=0 TSval=1609045682 TSecr=916745047"
"113","3.297916","192.168.0.92","172.253.122.139","TLSv1.2","105","Application Data"
"114","3.316042","172.253.122.139","192.168.0.92","TCP","66","443  >  50332 [ACK] Seq=2550 Ack=2736 Win=764 Len=0 TSval=916745065 TSecr=1609045678"
"115","3.320791","172.253.122.139","192.168.0.92","TCP","66","443  >  50332 [ACK] Seq=2550 Ack=2775 Win=764 Len=0 TSval=916745069 TSecr=1609045682"
"117","3.756171","172.253.122.139","192.168.0.92","TLSv1.2","1466","Application Data"
"118","3.756173","172.253.122.139","192.168.0.92","TLSv1.2","170","Application Data"
"119","3.756173","172.253.122.139","192.168.0.92","TLSv1.2","222","Application Data"
"120","3.756203","172.253.122.139","192.168.0.92","TLSv1.2","290","Application Data"
"121","3.756267","192.168.0.92","172.253.122.139","TCP","66","50332  >  443 [ACK] Seq=2775 Ack=4210 Win=7140 Len=0 TSval=1609046141 TSecr=916745504"
"122","3.756322","192.168.0.92","172.253.122.139","TCP","66","50332  >  443 [ACK] Seq=2775 Ack=4434 Win=7137 Len=0 TSval=1609046141 TSecr=916745506"
"123","3.759117","172.253.122.139","192.168.0.92","TLSv1.2","228","Application Data"
"124","3.759118","172.253.122.139","192.168.0.92","TLSv1.2","105","Application Data"
"125","3.759214","192.168.0.92","172.253.122.139","TCP","66","50332  >  443 [ACK] Seq=2775 Ack=4635 Win=7163 Len=0 TSval=1609046144 TSecr=916745506"
"126","3.759382","192.168.0.92","172.253.122.139","TLSv1.2","105","Application Data"
"128","3.783608","172.253.122.139","192.168.0.92","TCP","66","443  >  50332 [ACK] Seq=4635 Ack=2814 Win=764 Len=0 TSval=916745527 TSecr=1609046144"
"243","11.222363","192.168.0.92","172.253.122.139","TLSv1.2","1228","Application Data"
"244","11.260359","172.253.122.139","192.168.0.92","TCP","66","443  >  50332 [ACK] Seq=4635 Ack=3976 Win=775 Len=0 TSval=916753001 TSecr=1609053607"
"245","11.314831","172.253.122.139","192.168.0.92","TLSv1.2","1012","Application Data"
"246","11.314832","172.253.122.139","192.168.0.92","TLSv1.2","216","Application Data"
"247","11.314941","192.168.0.92","172.253.122.139","TCP","66","50332  >  443 [ACK] Seq=3976 Ack=5731 Win=7149 Len=0 TSval=1609053700 TSecr=916753063"
"248","11.318920","172.253.122.139","192.168.0.92","TLSv1.2","194","Application Data"
"249","11.318921","172.253.122.139","192.168.0.92","TLSv1.2","209","Application Data"
"250","11.318922","172.253.122.139","192.168.0.92","TLSv1.2","105","Application Data"
"251","11.319007","192.168.0.92","172.253.122.139","TCP","66","50332  >  443 [ACK] Seq=3976 Ack=6041 Win=7161 Len=0 TSval=1609053704 TSecr=916753066"
"252","11.319207","192.168.0.92","172.253.122.139","TLSv1.2","105","Application Data"
"253","11.328562","192.168.0.92","172.253.122.139","TCP","1466","50332  >  443 [ACK] Seq=4015 Ack=6041 Win=7166 Len=1400 TSval=1609053713 TSecr=916753066 [TCP segment of a reassembled PDU]"
"254","11.328603","192.168.0.92","172.253.122.139","TLSv1.2","409","Application Data"
