"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.104","23.48.104.108","TCP","78","49525  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=4133351499 TSecr=0 SACK_PERM"
"2","0.025742","23.48.104.108","192.168.0.104","TCP","74","443  >  49525 [SYN, ACK] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3563220009 TSecr=4133351499 WS=128"
"3","0.025861","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=1 Ack=1 Win=131712 Len=0 TSval=4133351525 TSecr=3563220009"
"4","0.026500","192.168.0.104","23.48.104.108","TLSv1.3","583","Client Hello"
"5","0.047267","23.48.104.108","192.168.0.104","TCP","66","443  >  49525 [ACK] Seq=1 Ack=518 Win=64768 Len=0 TSval=3563220039 TSecr=4133351525"
"6","0.048381","23.48.104.108","192.168.0.104","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"7","0.048382","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [PSH, ACK] Seq=1449 Ack=518 Win=64768 Len=1448 TSval=3563220040 TSecr=4133351525 [TCP segment of a reassembled PDU]"
"8","0.048382","23.48.104.108","192.168.0.104","TCP","1266","443  >  49525 [PSH, ACK] Seq=2897 Ack=518 Win=64768 Len=1200 TSval=3563220040 TSecr=4133351525 [TCP segment of a reassembled PDU]"
"9","0.048455","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=518 Ack=4097 Win=127616 Len=0 TSval=4133351548 TSecr=3563220040"
"10","0.048558","192.168.0.104","23.48.104.108","TCP","66","[TCP Window Update] 49525  >  443 [ACK] Seq=518 Ack=4097 Win=131072 Len=0 TSval=4133351548 TSecr=3563220040"
"11","0.049150","23.48.104.108","192.168.0.104","TLSv1.3","1514","Application Data"
"12","0.049170","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=518 Ack=5545 Win=129600 Len=0 TSval=4133351548 TSecr=3563220041"
"13","0.066662","23.48.104.108","192.168.0.104","TLSv1.3","307","Application Data, Application Data"
"14","0.066749","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=518 Ack=5786 Win=130816 Len=0 TSval=4133351566 TSecr=3563220059"
"15","0.068905","192.168.0.104","23.48.104.108","TLSv1.3","146","Change Cipher Spec, Application Data"
"16","0.069316","192.168.0.104","23.48.104.108","TLSv1.3","158","Application Data"
"17","0.069676","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=690 Ack=5786 Win=131072 Len=1448 TSval=4133351569 TSecr=3563220059 [TCP segment of a reassembled PDU]"
"18","0.069681","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=2138 Ack=5786 Win=131072 Len=1448 TSval=4133351569 TSecr=3563220059 [TCP segment of a reassembled PDU]"
"19","0.069682","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=3586 Ack=5786 Win=131072 Len=1448 TSval=4133351569 TSecr=3563220059 [TCP segment of a reassembled PDU]"
"20","0.069723","192.168.0.104","23.48.104.108","TLSv1.3","125","Application Data"
"21","0.122157","192.168.0.104","23.48.104.108","TCP","1514","[TCP Retransmission] 49525  >  443 [PSH, ACK] Seq=3645 Ack=5786 Win=131072 Len=1448 TSval=4133351622 TSecr=3563220059"
"22","0.130133","23.48.104.108","192.168.0.104","TCP","66","443  >  49525 [ACK] Seq=5786 Ack=5093 Win=61696 Len=0 TSval=3563220124 TSecr=4133351569"
"23","0.154844","23.48.104.108","192.168.0.104","TCP","78","[TCP Dup ACK 22#1] 443  >  49525 [ACK] Seq=5786 Ack=5093 Win=61696 Len=0 TSval=3563220146 TSecr=4133351622 SLE=3645 SRE=5093"
"24","0.238350","23.48.104.108","192.168.0.104","TLSv1.3","353","Application Data"
"25","0.238352","23.48.104.108","192.168.0.104","TLSv1.3","353","Application Data"
"26","0.238501","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=5093 Ack=6360 Win=130496 Len=0 TSval=4133351738 TSecr=3563220227"
"27","0.310187","23.48.104.108","192.168.0.104","TLSv1.3","127","Application Data"
"28","0.310317","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=5093 Ack=6421 Win=131008 Len=0 TSval=4133351810 TSecr=3563220302"
"29","0.310499","23.48.104.108","192.168.0.104","TLSv1.3","97","Application Data"
"30","0.310582","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=5093 Ack=6452 Win=131008 Len=0 TSval=4133351810 TSecr=3563220302"
"31","0.310688","192.168.0.104","23.48.104.108","TLSv1.3","97","Application Data"
"32","0.334581","23.48.104.108","192.168.0.104","TCP","66","443  >  49525 [ACK] Seq=6452 Ack=5124 Win=64128 Len=0 TSval=3563220327 TSecr=4133351810"
"33","1.068272","23.48.104.108","192.168.0.104","TLSv1.3","1426","Application Data"
"34","1.068273","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [ACK] Seq=7812 Ack=5124 Win=64128 Len=1448 TSval=3563220985 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"35","1.068274","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [PSH, ACK] Seq=9260 Ack=5124 Win=64128 Len=1448 TSval=3563220985 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"36","1.068274","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [ACK] Seq=10708 Ack=5124 Win=64128 Len=1448 TSval=3563220985 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"37","1.068275","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [PSH, ACK] Seq=12156 Ack=5124 Win=64128 Len=1448 TSval=3563220985 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"38","1.068275","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [ACK] Seq=13604 Ack=5124 Win=64128 Len=1448 TSval=3563220985 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"39","1.068275","23.48.104.108","192.168.0.104","TCP","1514","[TCP Previous segment not captured] 443  >  49525 [ACK] Seq=19396 Ack=5124 Win=64128 Len=1448 TSval=3563220987 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"40","1.068276","23.48.104.108","192.168.0.104","TCP","1514","[TCP Out-Of-Order] 443  >  49525 [PSH, ACK] Seq=15052 Ack=5124 Win=64128 Len=1448 TSval=3563220985 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"41","1.068276","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [PSH, ACK] Seq=20844 Ack=5124 Win=64128 Len=1448 TSval=3563220987 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"42","1.068277","23.48.104.108","192.168.0.104","TCP","1514","[TCP Out-Of-Order] 443  >  49525 [ACK] Seq=16500 Ack=5124 Win=64128 Len=1448 TSval=3563220986 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"43","1.068277","23.48.104.108","192.168.0.104","TCP","1514","[TCP Out-Of-Order] 443  >  49525 [PSH, ACK] Seq=17948 Ack=5124 Win=64128 Len=1448 TSval=3563220986 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"44","1.068278","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [ACK] Seq=22292 Ack=5124 Win=64128 Len=1448 TSval=3563220988 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"45","1.068279","23.48.104.108","192.168.0.104","TLSv1.3","1514","Application Data, Application Data"
"46","1.068279","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [ACK] Seq=25188 Ack=5124 Win=64128 Len=1448 TSval=3563220989 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"47","1.068280","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [PSH, ACK] Seq=26636 Ack=5124 Win=64128 Len=1448 TSval=3563220989 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"48","1.068281","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [ACK] Seq=28084 Ack=5124 Win=64128 Len=1448 TSval=3563220991 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"49","1.068281","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [PSH, ACK] Seq=29532 Ack=5124 Win=64128 Len=1448 TSval=3563220991 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"50","1.068282","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [ACK] Seq=30980 Ack=5124 Win=64128 Len=1448 TSval=3563220992 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"51","1.068282","23.48.104.108","192.168.0.104","TCP","1514","443  >  49525 [PSH, ACK] Seq=32428 Ack=5124 Win=64128 Len=1448 TSval=3563220992 TSecr=4133351810 [TCP segment of a reassembled PDU]"
"52","1.068283","23.48.104.108","192.168.0.104","TLSv1.3","865","Application Data"
"53","1.068284","23.48.104.108","192.168.0.104","TCP","865","[TCP Retransmission] 443  >  49525 [PSH, ACK] Seq=33876 Ack=5124 Win=64128 Len=799 TSval=3563221048 TSecr=4133351810"
"54","1.068384","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=5124 Ack=15052 Win=122432 Len=0 TSval=4133352568 TSecr=3563220985"
"55","1.068424","192.168.0.104","23.48.104.108","TCP","78","[TCP Dup ACK 54#1] 49525  >  443 [ACK] Seq=5124 Ack=15052 Win=122432 Len=0 TSval=4133352568 TSecr=3563220985 SLE=19396 SRE=20844"
"56","1.068438","192.168.0.104","23.48.104.108","TCP","78","49525  >  443 [ACK] Seq=5124 Ack=16500 Win=121024 Len=0 TSval=4133352568 TSecr=3563220985 SLE=19396 SRE=20844"
"57","1.068477","192.168.0.104","23.48.104.108","TCP","78","[TCP Dup ACK 56#1] 49525  >  443 [ACK] Seq=5124 Ack=16500 Win=121024 Len=0 TSval=4133352568 TSecr=3563220985 SLE=19396 SRE=22292"
"58","1.068479","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=5124 Ack=22292 Win=115200 Len=0 TSval=4133352568 TSecr=3563220986"
"59","1.068500","192.168.0.104","23.48.104.108","TCP","66","49525  >  443 [ACK] Seq=5124 Ack=34675 Win=102848 Len=0 TSval=4133352568 TSecr=3563220993"
"60","1.068523","192.168.0.104","23.48.104.108","TCP","78","[TCP Dup ACK 59#1] 49525  >  443 [ACK] Seq=5124 Ack=34675 Win=102848 Len=0 TSval=4133352568 TSecr=3563221048 SLE=33876 SRE=34675"
"61","1.068626","192.168.0.104","23.48.104.108","TCP","66","[TCP Window Update] 49525  >  443 [ACK] Seq=5124 Ack=34675 Win=131072 Len=0 TSval=4133352568 TSecr=3563221048"
"62","1.111651","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=5124 Ack=34675 Win=131072 Len=1448 TSval=4133352611 TSecr=3563221048 [TCP segment of a reassembled PDU]"
"63","1.111660","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=6572 Ack=34675 Win=131072 Len=1448 TSval=4133352611 TSecr=3563221048 [TCP segment of a reassembled PDU]"
"64","1.111662","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=8020 Ack=34675 Win=131072 Len=1448 TSval=4133352611 TSecr=3563221048 [TCP segment of a reassembled PDU]"
"65","1.111766","192.168.0.104","23.48.104.108","TLSv1.3","441","Application Data"
"66","1.119587","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=9843 Ack=34675 Win=131072 Len=1448 TSval=4133352619 TSecr=3563221048 [TCP segment of a reassembled PDU]"
"67","1.119593","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=11291 Ack=34675 Win=131072 Len=1448 TSval=4133352619 TSecr=3563221048 [TCP segment of a reassembled PDU]"
"68","1.119595","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=12739 Ack=34675 Win=131072 Len=1448 TSval=4133352619 TSecr=3563221048 [TCP segment of a reassembled PDU]"
"69","1.119642","192.168.0.104","23.48.104.108","TLSv1.3","491","Application Data"
"70","1.119753","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=14612 Ack=34675 Win=131072 Len=1448 TSval=4133352619 TSecr=3563221048 [TCP segment of a reassembled PDU]"
"71","1.119756","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=16060 Ack=34675 Win=131072 Len=1448 TSval=4133352619 TSecr=3563221048 [TCP segment of a reassembled PDU]"
"72","1.119758","192.168.0.104","23.48.104.108","TCP","1514","49525  >  443 [ACK] Seq=17508 Ack=34675 Win=131072 Len=1448 TSval=4133352619 TSecr=3563221048 [TCP segment of a reassembled PDU]"
"73","1.119773","192.168.0.104","23.48.104.108","TLSv1.3","493","Application Data"
"74","1.130059","23.48.104.108","192.168.0.104","TCP","66","443  >  49525 [ACK] Seq=34675 Ack=6572 Win=64128 Len=0 TSval=3563221124 TSecr=4133352611"
"75","1.135119","23.48.104.108","192.168.0.104","TCP","66","443  >  49525 [ACK] Seq=34675 Ack=8020 Win=63488 Len=0 TSval=3563221129 TSecr=4133352611"
"76","1.137105","23.48.104.108","192.168.0.104","TCP","66","443  >  49525 [ACK] Seq=34675 Ack=9468 Win=62592 Len=0 TSval=3563221130 TSecr=4133352611"
"77","1.137106","23.48.104.108","192.168.0.104","TCP","66","443  >  49525 [ACK] Seq=34675 Ack=9843 Win=62336 Len=0 TSval=3563221130 TSecr=4133352611"
"78","1.139349","23.48.104.108","192.168.0.104","TCP","66","443  >  49525 [ACK] Seq=34675 Ack=11291 Win=64128 Len=0 TSval=3563221134 TSecr=4133352619"
