No.,Time,Source,Destination,Protocol,Length,Info
13,2.195632,192.168.0.200,209.222.115.47,TCP,66,61109  >  25565 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM
14,2.245122,209.222.115.47,192.168.0.200,TCP,66,"25565  >  61109 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1332 SACK_PERM WS=512"
15,2.245228,192.168.0.200,209.222.115.47,TCP,54,61109  >  25565 [ACK] Seq=1 Ack=1 Win=262400 Len=0
16,2.24541,192.168.0.200,209.222.115.47,TCP,77,"61109  >  25565 [PSH, ACK] Seq=1 Ack=1 Win=262400 Len=23"
17,2.245442,192.168.0.200,209.222.115.47,TCP,83,"61109  >  25565 [PSH, ACK] Seq=24 Ack=1 Win=262400 Len=29"
18,2.292532,209.222.115.47,192.168.0.200,TCP,60,25565  >  61109 [ACK] Seq=1 Ack=24 Win=29696 Len=0
19,2.292608,209.222.115.47,192.168.0.200,TCP,60,25565  >  61109 [ACK] Seq=1 Ack=53 Win=29696 Len=0
20,2.293065,209.222.115.47,192.168.0.200,TCP,243,"25565  >  61109 [PSH, ACK] Seq=1 Ack=53 Win=29696 Len=189"
25,2.345202,192.168.0.200,209.222.115.47,TCP,54,61109  >  25565 [ACK] Seq=53 Ack=190 Win=262144 Len=0
44,2.436646,192.168.0.200,209.222.115.47,TCP,317,"61109  >  25565 [PSH, ACK] Seq=53 Ack=190 Win=262144 Len=263"
46,2.520027,209.222.115.47,192.168.0.200,TCP,60,25565  >  61109 [ACK] Seq=190 Ack=316 Win=30720 Len=0
47,2.567409,209.222.115.47,192.168.0.200,TCP,60,"25565  >  61109 [PSH, ACK] Seq=190 Ack=316 Win=30720 Len=4"
48,2.567491,209.222.115.47,192.168.0.200,TCP,85,"25565  >  61109 [PSH, ACK] Seq=194 Ack=316 Win=30720 Len=31"
49,2.567561,192.168.0.200,209.222.115.47,TCP,54,61109  >  25565 [ACK] Seq=316 Ack=225 Win=262144 Len=0
50,2.568085,192.168.0.200,209.222.115.47,TCP,57,"61109  >  25565 [PSH, ACK] Seq=316 Ack=225 Win=262144 Len=3"
51,2.5683,192.168.0.200,209.222.115.47,TCP,81,"61109  >  25565 [PSH, ACK] Seq=319 Ack=225 Win=262144 Len=27"
52,2.568341,192.168.0.200,209.222.115.47,TCP,70,"61109  >  25565 [PSH, ACK] Seq=346 Ack=225 Win=262144 Len=16"
53,2.612838,209.222.115.47,192.168.0.200,TCP,60,25565  >  61109 [ACK] Seq=225 Ack=319 Win=30720 Len=0
54,2.612838,209.222.115.47,192.168.0.200,TCP,60,25565  >  61109 [ACK] Seq=225 Ack=346 Win=30720 Len=0
55,2.612838,209.222.115.47,192.168.0.200,TCP,60,25565  >  61109 [ACK] Seq=225 Ack=362 Win=30720 Len=0
56,2.613716,209.222.115.47,192.168.0.200,TCP,1514,25565  >  61109 [ACK] Seq=225 Ack=362 Win=30720 Len=1460
57,2.613852,209.222.115.47,192.168.0.200,TCP,1514,25565  >  61109 [ACK] Seq=1685 Ack=362 Win=30720 Len=1460
58,2.613885,209.222.115.47,192.168.0.200,TCP,1514,25565  >  61109 [ACK] Seq=3145 Ack=362 Win=30720 Len=1460
59,2.613885,209.222.115.47,192.168.0.200,TCP,274,"25565  >  61109 [PSH, ACK] Seq=4605 Ack=362 Win=30720 Len=220"
60,2.613885,209.222.115.47,192.168.0.200,TCP,60,"25565  >  61109 [PSH, ACK] Seq=4825 Ack=362 Win=30720 Len=3"
61,2.613924,192.168.0.200,209.222.115.47,TCP,54,61109  >  25565 [ACK] Seq=362 Ack=3145 Win=262400 Len=0
62,2.613927,192.168.0.200,209.222.115.47,TCP,54,61109  >  25565 [ACK] Seq=362 Ack=4828 Win=262400 Len=0
64,2.626246,192.168.0.200,209.222.115.47,TCP,57,"61109  >  25565 [PSH, ACK] Seq=362 Ack=4828 Win=262400 Len=3"
65,2.667581,209.222.115.47,192.168.0.200,TCP,86,"25565  >  61109 [PSH, ACK] Seq=4828 Ack=365 Win=30720 Len=32"
66,2.691908,209.222.115.47,192.168.0.200,TCP,60,"25565  >  61109 [PSH, ACK] Seq=4860 Ack=365 Win=30720 Len=4"
