"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","31.25.11.55","192.168.0.200","TCP","60","25565  >  64008 [ACK] Seq=1 Ack=1 Win=23 Len=0"
"2","0.002232","31.25.11.55","192.168.0.200","TCP","1514","25565  >  64008 [PSH, ACK] Seq=1 Ack=1 Win=23 Len=1460"
"3","0.002695","31.25.11.55","192.168.0.200","TCP","1454","25565  >  64008 [PSH, ACK] Seq=1461 Ack=1 Win=23 Len=1400"
"4","0.002791","192.168.0.200","31.25.11.55","TCP","54","64008  >  25565 [ACK] Seq=1 Ack=2861 Win=1026 Len=0"
"5","0.028327","192.168.0.200","31.25.11.55","TCP","82","64008  >  25565 [PSH, ACK] Seq=1 Ack=2861 Win=1026 Len=28"
"6","0.090335","31.25.11.55","192.168.0.200","TCP","60","25565  >  64008 [ACK] Seq=2861 Ack=29 Win=23 Len=0"
"7","0.102033","31.25.11.55","192.168.0.200","TCP","1514","25565  >  64008 [PSH, ACK] Seq=2861 Ack=29 Win=23 Len=1460"
"8","0.102395","31.25.11.55","192.168.0.200","TCP","1454","25565  >  64008 [PSH, ACK] Seq=4321 Ack=29 Win=23 Len=1400"
"9","0.102471","192.168.0.200","31.25.11.55","TCP","54","64008  >  25565 [ACK] Seq=29 Ack=5721 Win=1026 Len=0"
"10","0.202519","31.25.11.55","192.168.0.200","TCP","1514","25565  >  64008 [PSH, ACK] Seq=5721 Ack=29 Win=23 Len=1460"
"11","0.202557","31.25.11.55","192.168.0.200","TCP","1454","25565  >  64008 [PSH, ACK] Seq=7181 Ack=29 Win=23 Len=1400"
"12","0.202622","192.168.0.200","31.25.11.55","TCP","54","64008  >  25565 [ACK] Seq=29 Ack=8581 Win=1026 Len=0"
"13","0.302254","31.25.11.55","192.168.0.200","TCP","1514","25565  >  64008 [PSH, ACK] Seq=8581 Ack=29 Win=23 Len=1460"
"14","0.302898","31.25.11.55","192.168.0.200","TCP","1454","25565  >  64008 [PSH, ACK] Seq=10041 Ack=29 Win=23 Len=1400"
"15","0.302993","192.168.0.200","31.25.11.55","TCP","54","64008  >  25565 [ACK] Seq=29 Ack=11441 Win=1026 Len=0"
"16","0.403849","31.25.11.55","192.168.0.200","TCP","1514","25565  >  64008 [PSH, ACK] Seq=11441 Ack=29 Win=23 Len=1460"
"17","0.404102","31.25.11.55","192.168.0.200","TCP","1454","25565  >  64008 [PSH, ACK] Seq=12901 Ack=29 Win=23 Len=1400"
"18","0.404184","192.168.0.200","31.25.11.55","TCP","54","64008  >  25565 [ACK] Seq=29 Ack=14301 Win=1026 Len=0"
"19","0.506992","31.25.11.55","192.168.0.200","TCP","1514","25565  >  64008 [PSH, ACK] Seq=14301 Ack=29 Win=23 Len=1460"
"20","0.506992","31.25.11.55","192.168.0.200","TCP","1454","25565  >  64008 [PSH, ACK] Seq=15761 Ack=29 Win=23 Len=1400"
"21","0.507103","192.168.0.200","31.25.11.55","TCP","54","64008  >  25565 [ACK] Seq=29 Ack=17161 Win=1026 Len=0"
"22","0.602954","31.25.11.55","192.168.0.200","TCP","1514","25565  >  64008 [PSH, ACK] Seq=17161 Ack=29 Win=23 Len=1460"
"23","0.602954","31.25.11.55","192.168.0.200","TCP","1454","25565  >  64008 [PSH, ACK] Seq=18621 Ack=29 Win=23 Len=1400"
"24","0.603282","192.168.0.200","31.25.11.55","TCP","54","64008  >  25565 [ACK] Seq=29 Ack=20021 Win=1026 Len=0"
"25","0.703346","31.25.11.55","192.168.0.200","TCP","1514","25565  >  64008 [PSH, ACK] Seq=20021 Ack=29 Win=23 Len=1460"
"26","0.703654","31.25.11.55","192.168.0.200","TCP","1454","25565  >  64008 [PSH, ACK] Seq=21481 Ack=29 Win=23 Len=1400"
"27","0.703724","192.168.0.200","31.25.11.55","TCP","54","64008  >  25565 [ACK] Seq=29 Ack=22881 Win=1026 Len=0"
"28","0.725125","192.168.0.200","31.25.11.55","TCP","90","64008  >  25565 [PSH, ACK] Seq=29 Ack=22881 Win=1026 Len=36"
"29","0.744546","31.25.11.55","192.168.0.200","TCP","60","25565  >  64008 [ACK] Seq=22881 Ack=65 Win=23 Len=0"
"30","0.751277","31.25.11.55","192.168.0.200","TCP","73","25565  >  64008 [PSH, ACK] Seq=22881 Ack=65 Win=23 Len=19"
"31","0.775191","192.168.0.200","31.25.11.55","TCP","90","64008  >  25565 [PSH, ACK] Seq=65 Ack=22900 Win=1026 Len=36"
"32","0.801905","31.25.11.55","192.168.0.200","TCP","1514","25565  >  64008 [PSH, ACK] Seq=22900 Ack=101 Win=23 Len=1460"
"33","0.803030","31.25.11.55","192.168.0.200","TCP","1454","25565  >  64008 [PSH, ACK] Seq=24360 Ack=101 Win=23 Len=1400"
"34","0.803131","192.168.0.200","31.25.11.55","TCP","54","64008  >  25565 [ACK] Seq=101 Ack=25760 Win=1026 Len=0"
"35","0.826428","192.168.0.200","31.25.11.55","TCP","90","[TCP Previous segment not captured] 64008  >  25565 [PSH, ACK] Seq=108 Ack=25760 Win=1026 Len=36"
"36","0.826535","192.168.0.200","31.25.11.55","TCP","61","[TCP Out-Of-Order] 64008  >  25565 [PSH, ACK] Seq=101 Ack=25760 Win=1026 Len=7"
"37","0.846997","31.25.11.55","192.168.0.200","TCP","66","[TCP Window Update] 25565  >  64008 [ACK] Seq=25760 Ack=101 Win=24 Len=0 SLE=108 SRE=144"
"38","0.848648","31.25.11.55","192.168.0.200","TCP","60","25565  >  64008 [ACK] Seq=25760 Ack=144 Win=24 Len=0"
