No.,Time,Source,Destination,Protocol,Length,Info
1,0,15.235.119.117,100.86.104.173,TCP,115,"25565  >  51527 [PSH, ACK] Seq=1 Ack=1 Win=501 Len=61"
2,0.00281,15.235.119.117,100.86.104.173,TCP,87,"25565  >  51527 [PSH, ACK] Seq=62 Ack=1 Win=501 Len=33"
3,0.002931,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=1 Ack=95 Win=511 Len=0
4,0.099665,15.235.119.117,100.86.104.173,TCP,88,"25565  >  51527 [PSH, ACK] Seq=95 Ack=1 Win=501 Len=34"
5,0.151061,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=1 Ack=129 Win=511 Len=0
6,0.160245,15.235.119.117,100.86.104.173,TCP,972,"25565  >  51527 [PSH, ACK] Seq=129 Ack=1 Win=501 Len=918"
7,0.162604,15.235.119.117,100.86.104.173,TCP,382,"25565  >  51527 [PSH, ACK] Seq=1047 Ack=1 Win=501 Len=328"
8,0.162604,15.235.119.117,100.86.104.173,TCP,186,"25565  >  51527 [PSH, ACK] Seq=1375 Ack=1 Win=501 Len=132"
9,0.162714,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=1 Ack=1507 Win=512 Len=0
11,0.202525,15.235.119.117,100.86.104.173,TCP,335,"25565  >  51527 [PSH, ACK] Seq=1507 Ack=1 Win=501 Len=281"
12,0.202654,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=1 Ack=1788 Win=511 Len=0
15,0.250513,15.235.119.117,100.86.104.173,TCP,318,"25565  >  51527 [PSH, ACK] Seq=1788 Ack=1 Win=501 Len=264"
17,0.291051,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=1 Ack=2052 Win=510 Len=0
18,0.301652,15.235.119.117,100.86.104.173,TCP,531,"25565  >  51527 [PSH, ACK] Seq=2052 Ack=1 Win=501 Len=477"
19,0.308651,15.235.119.117,100.86.104.173,TCP,60,"25565  >  51527 [PSH, ACK] Seq=2529 Ack=1 Win=501 Len=6"
20,0.308789,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=1 Ack=2535 Win=508 Len=0
21,0.349477,15.235.119.117,100.86.104.173,TCP,113,"25565  >  51527 [PSH, ACK] Seq=2535 Ack=1 Win=501 Len=59"
22,0.399229,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=1 Ack=2594 Win=507 Len=0
23,0.402388,15.235.119.117,100.86.104.173,TCP,119,"25565  >  51527 [PSH, ACK] Seq=2594 Ack=1 Win=501 Len=65"
24,0.446441,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=1 Ack=2659 Win=507 Len=0
25,0.450667,15.235.119.117,100.86.104.173,TCP,250,"25565  >  51527 [PSH, ACK] Seq=2659 Ack=1 Win=501 Len=196"
26,0.452392,15.235.119.117,100.86.104.173,TCP,79,"25565  >  51527 [PSH, ACK] Seq=2855 Ack=1 Win=501 Len=25"
27,0.452458,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=1 Ack=2880 Win=506 Len=0
28,0.475516,100.86.104.173,15.235.119.117,TCP,82,"51527  >  25565 [PSH, ACK] Seq=1 Ack=2880 Win=506 Len=28"
29,0.499406,15.235.119.117,100.86.104.173,TCP,99,"25565  >  51527 [PSH, ACK] Seq=2880 Ack=1 Win=501 Len=45"
30,0.499524,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=29 Ack=2925 Win=512 Len=0
31,0.500913,15.235.119.117,100.86.104.173,TCP,113,"25565  >  51527 [PSH, ACK] Seq=2925 Ack=29 Win=501 Len=59"
32,0.500959,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=29 Ack=2984 Win=511 Len=0
33,0.544899,15.235.119.117,100.86.104.173,TCP,60,"25565  >  51527 [PSH, ACK] Seq=2984 Ack=29 Win=501 Len=6"
34,0.549413,15.235.119.117,100.86.104.173,TCP,79,"25565  >  51527 [PSH, ACK] Seq=2990 Ack=29 Win=501 Len=25"
35,0.549491,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=29 Ack=3015 Win=511 Len=0
36,0.604169,15.235.119.117,100.86.104.173,TCP,99,"25565  >  51527 [PSH, ACK] Seq=3015 Ack=29 Win=501 Len=45"
37,0.647611,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=29 Ack=3060 Win=511 Len=0
38,0.650574,15.235.119.117,100.86.104.173,TCP,79,"25565  >  51527 [PSH, ACK] Seq=3060 Ack=29 Win=501 Len=25"
39,0.693385,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=29 Ack=3085 Win=511 Len=0
40,0.699338,15.235.119.117,100.86.104.173,TCP,186,"25565  >  51527 [PSH, ACK] Seq=3085 Ack=29 Win=501 Len=132"
41,0.740556,100.86.104.173,15.235.119.117,TCP,54,51527  >  25565 [ACK] Seq=29 Ack=3217 Win=511 Len=0
42,0.746213,15.235.119.117,100.86.104.173,TCP,60,"25565  >  51527 [PSH, ACK] Seq=3217 Ack=29 Win=501 Len=6"
