"No.","Time","Source","Destination","Protocol","Length","Info"
"44","0.943574","100.86.171.196","104.16.133.27","TCP","1454","64932  >  443 [ACK] Seq=1 Ack=1 Win=12436 Len=1388 TSval=34866327 TSecr=2675407054 [TCP segment of a reassembled PDU]"
"45","0.943607","100.86.171.196","104.16.133.27","TLSv1.2","343","Application Data"
"46","0.961179","104.16.133.27","100.86.171.196","TCP","66","443  >  64932 [ACK] Seq=1 Ack=1666 Win=15 Len=0 TSval=2675412053 TSecr=34866327"
"47","1.228935","104.16.133.27","100.86.171.196","TLSv1.2","679","Application Data"
"48","1.228936","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=614 Ack=1666 Win=15 Len=1448 TSval=2675412283 TSecr=34866327 [TCP segment of a reassembled PDU]"
"49","1.228937","104.16.133.27","100.86.171.196","TLSv1.2","98","Application Data"
"50","1.228938","104.16.133.27","100.86.171.196","TLSv1.2","98","Application Data"
"51","1.228938","104.16.133.27","100.86.171.196","TLSv1.2","97","Application Data"
"52","1.229047","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=1666 Ack=2157 Win=12402 Len=0 TSval=34866612 TSecr=2675412283"
"55","1.577701","100.86.171.196","104.16.133.27","TLSv1.2","1314","Application Data"
"56","1.595378","104.16.133.27","100.86.171.196","TCP","66","443  >  64932 [ACK] Seq=2157 Ack=2914 Win=15 Len=0 TSval=2675412687 TSecr=34866961"
"57","1.790467","104.16.133.27","100.86.171.196","TLSv1.2","1059","Application Data"
"58","1.790631","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=2914 Ack=3150 Win=12420 Len=0 TSval=34867174 TSecr=2675412881"
"59","1.792113","104.16.133.27","100.86.171.196","TLSv1.2","361","Application Data"
"60","1.792115","104.16.133.27","100.86.171.196","TLSv1.2","98","Application Data"
"61","1.792186","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=2914 Ack=3477 Win=12431 Len=0 TSval=34867175 TSecr=2675412882"
"62","1.793758","104.16.133.27","100.86.171.196","TLSv1.2","97","Application Data"
"63","1.793810","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=2914 Ack=3508 Win=12435 Len=0 TSval=34867177 TSecr=2675412882"
"64","1.812115","100.86.171.196","104.16.133.27","TLSv1.2","136","Application Data"
"65","1.812514","100.86.171.196","104.16.133.27","TCP","1454","64937  >  443 [ACK] Seq=71 Ack=1 Win=2048 Len=1388 TSval=1548873361 TSecr=1601576948 [TCP segment of a reassembled PDU]"
"66","1.812515","100.86.171.196","104.16.133.27","TCP","1454","64937  >  443 [ACK] Seq=1459 Ack=1 Win=2048 Len=1388 TSval=1548873361 TSecr=1601576948 [TCP segment of a reassembled PDU]"
"67","1.812532","100.86.171.196","104.16.133.27","TLSv1.2","639","Application Data"
"68","1.829348","104.16.133.27","100.86.171.196","TCP","66","443  >  64937 [ACK] Seq=1 Ack=71 Win=19 Len=0 TSval=1601581780 TSecr=1548873361"
"69","1.830855","104.16.133.27","100.86.171.196","TCP","66","443  >  64937 [ACK] Seq=1 Ack=3420 Win=20 Len=0 TSval=1601581781 TSecr=1548873361"
"74","1.878999","104.16.133.27","100.86.171.196","TLSv1.2","460","Application Data"
"75","1.879000","104.16.133.27","100.86.171.196","TLSv1.2","99","Application Data"
"76","1.879000","104.16.133.27","100.86.171.196","TLSv1.2","97","Application Data"
"77","1.879064","100.86.171.196","104.16.133.27","TCP","66","64937  >  443 [ACK] Seq=3420 Ack=459 Win=2040 Len=0 TSval=1548873428 TSecr=1601581829"
"80","1.898831","100.86.171.196","104.16.133.27","TCP","1454","64932  >  443 [ACK] Seq=2914 Ack=3508 Win=12436 Len=1388 TSval=34867282 TSecr=2675412882 [TCP segment of a reassembled PDU]"
"81","1.898854","100.86.171.196","104.16.133.27","TLSv1.2","512","Application Data"
"82","1.917982","104.16.133.27","100.86.171.196","TCP","66","443  >  64932 [ACK] Seq=3508 Ack=4748 Win=15 Len=0 TSval=2675413009 TSecr=34867282"
"131","2.078791","104.16.133.27","100.86.171.196","TLSv1.2","420","Application Data"
"132","2.078793","104.16.133.27","100.86.171.196","TLSv1.2","365","Application Data"
"133","2.078794","104.16.133.27","100.86.171.196","TLSv1.2","98","Application Data"
"134","2.078795","104.16.133.27","100.86.171.196","TLSv1.2","97","Application Data"
"135","2.078919","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=4748 Ack=4224 Win=12425 Len=0 TSval=34867462 TSecr=2675413170"
"136","2.090126","100.86.171.196","104.16.133.27","TCP","1454","64932  >  443 [ACK] Seq=4748 Ack=4224 Win=12436 Len=1388 TSval=34867473 TSecr=2675413170 [TCP segment of a reassembled PDU]"
"137","2.090157","100.86.171.196","104.16.133.27","TLSv1.2","99","Application Data"
"138","2.108117","104.16.133.27","100.86.171.196","TCP","66","443  >  64932 [ACK] Seq=4224 Ack=6169 Win=15 Len=0 TSval=2675413199 TSecr=34867473"
"139","2.112755","100.86.171.196","104.16.133.27","TCP","1454","64932  >  443 [ACK] Seq=6169 Ack=4224 Win=12436 Len=1388 TSval=34867496 TSecr=2675413199 [TCP segment of a reassembled PDU]"
"140","2.112779","100.86.171.196","104.16.133.27","TLSv1.2","325","Application Data"
"141","2.130920","104.16.133.27","100.86.171.196","TCP","66","443  >  64932 [ACK] Seq=4224 Ack=7816 Win=15 Len=0 TSval=2675413222 TSecr=34867496"
"142","2.261150","104.16.133.27","100.86.171.196","TLSv1.2","217","Application Data"
"143","2.261153","104.16.133.27","100.86.171.196","TLSv1.2","99","Application Data"
"144","2.261154","104.16.133.27","100.86.171.196","TLSv1.2","163","Application Data"
"145","2.261155","104.16.133.27","100.86.171.196","TLSv1.2","98","Application Data"
"146","2.261156","104.16.133.27","100.86.171.196","TLSv1.2","97","Application Data"
"147","2.261365","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=7816 Ack=4568 Win=12430 Len=0 TSval=34867645 TSecr=2675413351"
"148","2.279769","100.86.171.196","104.16.133.27","TLSv1.2","1311","Application Data"
"149","2.286627","100.86.171.196","104.16.133.27","TCP","1454","64932  >  443 [ACK] Seq=9061 Ack=4568 Win=12436 Len=1388 TSval=34867670 TSecr=2675413351 [TCP segment of a reassembled PDU]"
"150","2.286669","100.86.171.196","104.16.133.27","TLSv1.2","492","Application Data"
"151","2.297749","104.16.133.27","100.86.171.196","TCP","66","443  >  64932 [ACK] Seq=4568 Ack=9061 Win=15 Len=0 TSval=2675413389 TSecr=34867663"
"152","2.304291","104.16.133.27","100.86.171.196","TCP","66","443  >  64932 [ACK] Seq=4568 Ack=10449 Win=15 Len=0 TSval=2675413396 TSecr=34867670"
"153","2.304292","104.16.133.27","100.86.171.196","TCP","66","443  >  64932 [ACK] Seq=4568 Ack=10875 Win=15 Len=0 TSval=2675413396 TSecr=34867670"
"154","2.396231","104.16.133.27","100.86.171.196","TLSv1.2","363","Application Data"
"155","2.396238","104.16.133.27","100.86.171.196","TLSv1.2","348","Application Data"
"156","2.396239","104.16.133.27","100.86.171.196","TLSv1.2","98","Application Data"
"157","2.396346","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=10875 Ack=5179 Win=12426 Len=0 TSval=34867780 TSecr=2675413488"
"158","2.398057","104.16.133.27","100.86.171.196","TLSv1.2","97","Application Data"
"159","2.398146","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=10875 Ack=5210 Win=12435 Len=0 TSval=34867781 TSecr=2675413488"
"160","2.455232","104.16.133.27","100.86.171.196","TLSv1.2","155","Application Data"
"161","2.455235","104.16.133.27","100.86.171.196","TLSv1.2","256","Application Data"
"162","2.455236","104.16.133.27","100.86.171.196","TLSv1.2","98","Application Data"
"163","2.455408","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=10875 Ack=5521 Win=12431 Len=0 TSval=34867839 TSecr=2675413546"
"164","2.456807","104.16.133.27","100.86.171.196","TLSv1.2","97","Application Data"
"165","2.456840","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=10875 Ack=5552 Win=12435 Len=0 TSval=34867840 TSecr=2675413546"
"166","2.816081","100.86.171.196","104.16.133.27","TLSv1.2","117","Application Data"
"167","2.816534","100.86.171.196","104.16.133.27","TCP","1454","64937  >  443 [ACK] Seq=3471 Ack=459 Win=2048 Len=1388 TSval=1548874365 TSecr=1601581829 [TCP segment of a reassembled PDU]"
"168","2.816535","100.86.171.196","104.16.133.27","TCP","1454","64937  >  443 [ACK] Seq=4859 Ack=459 Win=2048 Len=1388 TSval=1548874365 TSecr=1601581829 [TCP segment of a reassembled PDU]"
"169","2.816536","100.86.171.196","104.16.133.27","TCP","1454","64937  >  443 [ACK] Seq=6247 Ack=459 Win=2048 Len=1388 TSval=1548874365 TSecr=1601581829 [TCP segment of a reassembled PDU]"
"170","2.816537","100.86.171.196","104.16.133.27","TCP","1454","64937  >  443 [ACK] Seq=7635 Ack=459 Win=2048 Len=1388 TSval=1548874365 TSecr=1601581829 [TCP segment of a reassembled PDU]"
"171","2.816560","100.86.171.196","104.16.133.27","TLSv1.2","579","Application Data"
"172","2.842318","104.16.133.27","100.86.171.196","TCP","66","443  >  64937 [ACK] Seq=459 Ack=3471 Win=20 Len=0 TSval=1601582792 TSecr=1548874365"
"173","2.842320","104.16.133.27","100.86.171.196","TCP","66","443  >  64937 [ACK] Seq=459 Ack=4859 Win=20 Len=0 TSval=1601582792 TSecr=1548874365"
"174","2.842321","104.16.133.27","100.86.171.196","TCP","66","443  >  64937 [ACK] Seq=459 Ack=9536 Win=22 Len=0 TSval=1601582793 TSecr=1548874365"
"175","2.908168","104.16.133.27","100.86.171.196","TLSv1.2","461","Application Data"
"176","2.908170","104.16.133.27","100.86.171.196","TLSv1.2","99","Application Data"
"177","2.908171","104.16.133.27","100.86.171.196","TLSv1.2","97","Application Data"
"178","2.908412","100.86.171.196","104.16.133.27","TCP","66","64937  >  443 [ACK] Seq=9536 Ack=918 Win=2040 Len=0 TSval=1548874458 TSecr=1601582858"
"179","2.937796","104.16.133.27","100.86.171.196","TLSv1.2","282","Application Data"
"180","2.937798","104.16.133.27","100.86.171.196","TLSv1.2","99","Application Data"
"181","2.937799","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=5801 Ack=10875 Win=15 Len=1448 TSval=2675414030 TSecr=34867840 [TCP segment of a reassembled PDU]"
"182","2.937800","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=7249 Ack=10875 Win=15 Len=1448 TSval=2675414030 TSecr=34867840 [TCP segment of a reassembled PDU]"
"183","2.937919","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=10875 Ack=8697 Win=12387 Len=0 TSval=34868321 TSecr=2675414030"
"184","2.938060","100.86.171.196","104.16.133.27","TCP","66","[TCP Window Update] 64932  >  443 [ACK] Seq=10875 Ack=8697 Win=12436 Len=0 TSval=34868321 TSecr=2675414030"
"185","2.939642","104.16.133.27","100.86.171.196","TLSv1.2","1143","Application Data"
"186","2.939643","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=9774 Ack=10875 Win=15 Len=1448 TSval=2675414030 TSecr=34867840 [TCP segment of a reassembled PDU]"
"187","2.939644","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=11222 Ack=10875 Win=15 Len=1448 TSval=2675414030 TSecr=34867840 [TCP segment of a reassembled PDU]"
"188","2.939645","104.16.133.27","100.86.171.196","TLSv1.2","1340","Application Data"
"189","2.939646","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=13944 Ack=10875 Win=15 Len=1448 TSval=2675414031 TSecr=34867840 [TCP segment of a reassembled PDU]"
"190","2.939647","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=15392 Ack=10875 Win=15 Len=1448 TSval=2675414031 TSecr=34867840 [TCP segment of a reassembled PDU]"
"191","2.939648","104.16.133.27","100.86.171.196","TLSv1.2","1374","Application Data"
"192","2.939649","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=18148 Ack=10875 Win=15 Len=1448 TSval=2675414031 TSecr=34867840 [TCP segment of a reassembled PDU]"
"193","2.939650","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=19596 Ack=10875 Win=15 Len=1448 TSval=2675414031 TSecr=34867840 [TCP segment of a reassembled PDU]"
"194","2.939651","104.16.133.27","100.86.171.196","TLSv1.2","1366","Application Data"
"195","2.939652","104.16.133.27","100.86.171.196","TLSv1.2","142","Application Data"
"196","2.939700","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=10875 Ack=22420 Win=12221 Len=0 TSval=34868323 TSecr=2675414031"
"197","2.939769","100.86.171.196","104.16.133.27","TCP","66","[TCP Window Update] 64932  >  443 [ACK] Seq=10875 Ack=22420 Win=12436 Len=0 TSval=34868323 TSecr=2675414031"
"198","2.940110","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=22420 Ack=10875 Win=15 Len=1448 TSval=2675414032 TSecr=34867840 [TCP segment of a reassembled PDU]"
"199","2.940112","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=23868 Ack=10875 Win=15 Len=1448 TSval=2675414032 TSecr=34867840 [TCP segment of a reassembled PDU]"
"200","2.940113","104.16.133.27","100.86.171.196","TLSv1.2","1398","Application Data"
"201","2.940114","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=26648 Ack=10875 Win=15 Len=1448 TSval=2675414032 TSecr=34867840 [TCP segment of a reassembled PDU]"
"202","2.940165","100.86.171.196","104.16.133.27","TCP","66","64932  >  443 [ACK] Seq=10875 Ack=28096 Win=12347 Len=0 TSval=34868323 TSecr=2675414032"
"203","2.940885","100.86.171.196","104.16.133.27","TCP","66","[TCP Window Update] 64932  >  443 [ACK] Seq=10875 Ack=28096 Win=12436 Len=0 TSval=34868324 TSecr=2675414032"
"204","2.941034","104.16.133.27","100.86.171.196","TCP","1211","[TCP Previous segment not captured] 443  >  64932 [PSH, ACK] Seq=29544 Ack=10875 Win=15 Len=1145 TSval=2675414032 TSecr=34867840 [TCP segment of a reassembled PDU]"
"205","2.941035","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=30689 Ack=10875 Win=15 Len=1448 TSval=2675414032 TSecr=34867840 [TCP segment of a reassembled PDU]"
"206","2.941036","104.16.133.27","100.86.171.196","TLSv1.2","89","Application Data"
"207","2.941036","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=32160 Ack=10875 Win=15 Len=1448 TSval=2675414033 TSecr=34867840 [TCP segment of a reassembled PDU]"
"208","2.941073","100.86.171.196","104.16.133.27","TCP","78","[TCP Dup ACK 202#1] 64932  >  443 [ACK] Seq=10875 Ack=28096 Win=12436 Len=0 TSval=34868324 TSecr=2675414032 SLE=29544 SRE=33608"
"209","2.942970","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=33608 Ack=10875 Win=15 Len=1448 TSval=2675414033 TSecr=34867840 [TCP segment of a reassembled PDU]"
"210","2.942971","104.16.133.27","100.86.171.196","TLSv1.2","1258","Application Data"
"211","2.942972","104.16.133.27","100.86.171.196","TCP","1514","443  >  64932 [ACK] Seq=36248 Ack=10875 Win=15 Len=1448 TSval=2675414033 TSecr=34867840 [TCP segment of a reassembled PDU]"
"212","2.942973","104.16.133.27","100.86.171.196","TLSv1.2","1056","Application Data"
"213","2.942974","104.16.133.27","100.86.171.196","TLSv1.2","143","Application Data"
