"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.7.137","172.66.40.147","QUIC","1292","Initial, DCID=53e3abe343d9fdcc, PKN: 1, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO"
"2","0.000481","100.86.7.137","172.66.40.147","QUIC","123","0-RTT, DCID=53e3abe343d9fdcc"
"3","0.016875","172.66.40.147","100.86.7.137","QUIC","1242","Initial, SCID=0145461a8b02b9d6a347cf1ae702bd89810faa93, PKN: 0, ACK"
"4","0.019572","172.66.40.147","100.86.7.137","QUIC","1242","Handshake, SCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"5","0.020171","100.86.7.137","172.66.40.147","QUIC","132","Handshake, DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"6","0.020607","100.86.7.137","172.66.40.147","QUIC","1260","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"7","0.038095","172.66.40.147","100.86.7.137","QUIC","90","Protected Payload (KP0)"
"8","0.038095","172.66.40.147","100.86.7.137","QUIC","66","Protected Payload (KP0)"
"9","0.038095","172.66.40.147","100.86.7.137","QUIC","66","Protected Payload (KP0)"
"10","0.038095","172.66.40.147","100.86.7.137","QUIC","91","Protected Payload (KP0)"
"11","0.038095","172.66.40.147","100.86.7.137","QUIC","66","Protected Payload (KP0)"
"12","0.039038","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"13","0.039202","100.86.7.137","172.66.40.147","QUIC","89","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"14","0.046075","100.86.7.137","172.66.40.147","QUIC","1117","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"15","0.054771","172.66.40.147","100.86.7.137","QUIC","70","Protected Payload (KP0)"
"16","0.062707","172.66.40.147","100.86.7.137","QUIC","66","Protected Payload (KP0)"
"17","0.080545","100.86.7.137","172.66.40.147","QUIC","86","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"18","0.098591","100.86.7.137","172.66.40.147","QUIC","1286","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"19","0.098702","100.86.7.137","172.66.40.147","QUIC","922","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"20","0.107513","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"21","0.108647","172.66.40.147","100.86.7.137","QUIC","863","Protected Payload (KP0)"
"22","0.108647","172.66.40.147","100.86.7.137","QUIC","1066","Protected Payload (KP0)"
"23","0.108647","172.66.40.147","100.86.7.137","QUIC","1209","Protected Payload (KP0)"
"24","0.108724","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"25","0.108724","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"26","0.108886","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"27","0.108986","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"28","0.109028","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"29","0.109255","172.66.40.147","100.86.7.137","QUIC","168","Protected Payload (KP0)"
"30","0.109255","172.66.40.147","100.86.7.137","QUIC","933","Protected Payload (KP0)"
"31","0.109419","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"32","0.110886","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"33","0.110886","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"34","0.110886","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"35","0.111101","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"36","0.111144","172.66.40.147","100.86.7.137","QUIC","813","Protected Payload (KP0)"
"37","0.111194","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"38","0.117553","172.66.40.147","100.86.7.137","QUIC","65","Protected Payload (KP0)"
"39","0.124742","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"40","0.124907","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"41","0.124907","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"42","0.124999","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"43","0.125503","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"44","0.125503","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"45","0.125503","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"46","0.125503","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"47","0.125503","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"48","0.125503","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"49","0.125638","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"50","0.125696","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"51","0.125739","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"52","0.126506","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"53","0.126506","172.66.40.147","100.86.7.137","QUIC","654","Protected Payload (KP0)"
"54","0.126610","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"55","0.126669","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"56","0.126669","172.66.40.147","100.86.7.137","QUIC","1059","Protected Payload (KP0)"
"57","0.126736","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"58","0.127239","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"59","0.127239","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"60","0.127239","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"61","0.127239","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"62","0.127239","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"63","0.127239","172.66.40.147","100.86.7.137","QUIC","1242","Protected Payload (KP0)"
"64","0.127347","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"65","0.127389","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
"66","0.127420","100.86.7.137","172.66.40.147","QUIC","85","Protected Payload (KP0), DCID=0145461a8b02b9d6a347cf1ae702bd89810faa93"
