"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.0.92","142.251.163.101","UDP","106","61529  >  443 Len=64"
"2","0.029600","142.251.163.101","192.168.0.92","UDP","78","443  >  61529 Len=36"
"3","0.056924","192.168.0.92","142.251.163.101","UDP","75","61529  >  443 Len=33"
"4","0.060534","142.251.163.101","192.168.0.92","UDP","1237","443  >  61529 Len=1195"
"5","0.060535","142.251.163.101","192.168.0.92","UDP","393","443  >  61529 Len=351"
"6","0.060536","142.251.163.101","192.168.0.92","UDP","66","443  >  61529 Len=24"
"7","0.060823","192.168.0.92","142.251.163.101","UDP","75","61529  >  443 Len=33"
"8","0.060979","192.168.0.92","142.251.163.101","UDP","74","61529  >  443 Len=32"
"9","0.061114","192.168.0.92","142.251.163.101","UDP","76","61529  >  443 Len=34"
"10","0.086017","142.251.163.101","192.168.0.92","UDP","72","443  >  61529 Len=30"
"11","0.875684","192.168.0.92","35.186.224.25","TCP","78","56089  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3139810358 TSecr=0 SACK_PERM"
"12","0.902371","35.186.224.25","192.168.0.92","TCP","74","443  >  56089 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM TSval=2052396162 TSecr=3139810358 WS=256"
"13","0.902574","192.168.0.92","35.186.224.25","TCP","66","56089  >  443 [ACK] Seq=1 Ack=1 Win=131584 Len=0 TSval=3139810385 TSecr=2052396162"
"14","0.903293","192.168.0.92","35.186.224.25","TLSv1.3","933","Client Hello (SNI=spclient.wg.spotify.com)"
"15","0.931141","35.186.224.25","192.168.0.92","TCP","66","443  >  56089 [ACK] Seq=1 Ack=868 Win=67328 Len=0 TSval=2052396190 TSecr=3139810385"
"16","0.935873","35.186.224.25","192.168.0.92","TLSv1.3","278","Server Hello, Change Cipher Spec, Application Data"
"17","0.936049","192.168.0.92","35.186.224.25","TCP","66","56089  >  443 [ACK] Seq=868 Ack=213 Win=131328 Len=0 TSval=3139810419 TSecr=2052396192"
"18","0.945133","192.168.0.92","35.186.224.25","TLSv1.3","130","Change Cipher Spec, Application Data"
"19","0.945552","192.168.0.92","35.186.224.25","TLSv1.3","158","Application Data"
