"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.7.137","13.84.36.2","TLSv1.2","2306","Application Data"
"2","0.000096","100.86.7.137","13.84.36.2","TLSv1.2","93","Application Data"
"3","0.045008","13.84.36.2","100.86.7.137","TCP","56","443  >  57514 [ACK] Seq=1 Ack=2292 Win=16385 Len=0"
"4","0.045309","13.84.36.2","100.86.7.137","TLSv1.2","93","Application Data"
"5","0.091117","100.86.7.137","13.84.36.2","TCP","54","57514  >  443 [ACK] Seq=2292 Ack=40 Win=4139 Len=0"
"6","0.171203","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=40 Ack=2292 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"7","0.174015","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=1500 Ack=2292 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"8","0.174015","13.84.36.2","100.86.7.137","TLSv1.2","1304","Application Data, Application Data"
"9","0.174015","13.84.36.2","100.86.7.137","TCP","2974","443  >  57514 [ACK] Seq=4210 Ack=2292 Win=16385 Len=2920 [TCP segment of a reassembled PDU]"
"10","0.174015","13.84.36.2","100.86.7.137","TLSv1.2","1277","Application Data, Application Data"
"11","0.174015","13.84.36.2","100.86.7.137","TCP","2974","443  >  57514 [ACK] Seq=8353 Ack=2292 Win=16385 Len=2920 [TCP segment of a reassembled PDU]"
"12","0.174015","13.84.36.2","100.86.7.137","TLSv1.2","1252","Application Data"
"13","0.174015","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=12471 Ack=2292 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"14","0.174199","100.86.7.137","13.84.36.2","TCP","54","57514  >  443 [ACK] Seq=2292 Ack=13931 Win=4140 Len=0"
"15","0.174469","13.84.36.2","100.86.7.137","TLSv1.2","675","Application Data"
"16","0.174469","13.84.36.2","100.86.7.137","TLSv1.2","85","Application Data"
"17","0.174529","100.86.7.137","13.84.36.2","TCP","54","57514  >  443 [ACK] Seq=2292 Ack=14583 Win=4137 Len=0"
"18","0.175570","100.86.7.137","13.84.36.2","TLSv1.2","89","Application Data"
"19","0.269390","13.84.36.2","100.86.7.137","TCP","56","443  >  57514 [ACK] Seq=14583 Ack=2327 Win=16384 Len=0"
"20","0.364355","100.86.7.137","13.84.36.2","TLSv1.2","1822","Application Data"
"21","0.364512","100.86.7.137","13.84.36.2","TLSv1.2","591","Application Data"
"22","0.364609","100.86.7.137","13.84.36.2","TLSv1.2","1855","Application Data"
"23","0.364855","100.86.7.137","13.84.36.2","TLSv1.2","590","Application Data"
"24","0.364956","100.86.7.137","13.84.36.2","TLSv1.2","1851","Application Data"
"25","0.408930","13.84.36.2","100.86.7.137","TCP","56","443  >  57514 [ACK] Seq=14583 Ack=4095 Win=16385 Len=0"
"26","0.409282","13.84.36.2","100.86.7.137","TCP","56","443  >  57514 [ACK] Seq=14583 Ack=6433 Win=16385 Len=0"
"27","0.410152","13.84.36.2","100.86.7.137","TCP","56","443  >  57514 [ACK] Seq=14583 Ack=8766 Win=16385 Len=0"
"28","0.425794","100.86.7.137","13.84.36.2","TLSv1.2","720","Application Data"
"29","0.427359","100.86.7.137","13.84.36.2","TLSv1.2","1862","Application Data"
"30","0.459604","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=14583 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"31","0.459604","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=16043 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"32","0.459604","13.84.36.2","100.86.7.137","TLSv1.2","279","Application Data"
"33","0.459683","100.86.7.137","13.84.36.2","TCP","54","57514  >  443 [ACK] Seq=11240 Ack=17728 Win=4140 Len=0"
"34","0.461407","13.84.36.2","100.86.7.137","TLSv1.2","20494","Application Data, Application Data, Application Data, Application Data"
"35","0.461407","13.84.36.2","100.86.7.137","TLSv1.2","204","Application Data"
"36","0.461407","13.84.36.2","100.86.7.137","TLSv1.2","21954","Application Data, Application Data, Application Data, Application Data, Application Data"
"37","0.461407","13.84.36.2","100.86.7.137","TLSv1.2","1047","Application Data"
"38","0.461407","13.84.36.2","100.86.7.137","TLSv1.2","85","Application Data"
"39","0.461552","100.86.7.137","13.84.36.2","TCP","54","57514  >  443 [ACK] Seq=11240 Ack=61242 Win=4140 Len=0"
"40","0.463812","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=61242 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"41","0.463812","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=62702 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"42","0.463812","13.84.36.2","100.86.7.137","TLSv1.2","285","Application Data"
"43","0.463893","100.86.7.137","13.84.36.2","TCP","54","57514  >  443 [ACK] Seq=11240 Ack=64393 Win=4140 Len=0"
"44","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=64393 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"45","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=65853 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"46","0.480707","13.84.36.2","100.86.7.137","TLSv1.2","1514","Application Data"
"47","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=68773 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"48","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=70233 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"49","0.480707","13.84.36.2","100.86.7.137","TLSv1.2","1514","Application Data"
"50","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=73153 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"51","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=74613 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"52","0.480707","13.84.36.2","100.86.7.137","TLSv1.2","728","Application Data"
"53","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=76747 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"54","0.480707","13.84.36.2","100.86.7.137","TLSv1.2","5894","Application Data"
"55","0.480707","13.84.36.2","100.86.7.137","TLSv1.2","1514","Application Data"
"56","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=85507 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"57","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=86967 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"58","0.480707","13.84.36.2","100.86.7.137","TLSv1.2","1514","Application Data"
"59","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=89887 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"60","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=91347 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"61","0.480707","13.84.36.2","100.86.7.137","TLSv1.2","2974","Application Data"
"62","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=95727 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"63","0.480707","13.84.36.2","100.86.7.137","TLSv1.2","204","Application Data"
"64","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=97337 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"65","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=98797 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
"66","0.480707","13.84.36.2","100.86.7.137","TLSv1.2","1514","Application Data"
"67","0.480707","13.84.36.2","100.86.7.137","TCP","1514","443  >  57514 [ACK] Seq=101717 Ack=8766 Win=16385 Len=1460 [TCP segment of a reassembled PDU]"
