"No.","Time","Source","Destination","Protocol","Length","Info"
"93","8.299391","100.86.171.196","3.14.34.81","TLSv1.2","145","Application Data"
"94","8.299660","100.86.171.196","3.14.34.81","TLSv1.2","129","Application Data"
"95","8.334900","3.14.34.81","100.86.171.196","TCP","66","443  >  65142 [ACK] Seq=1 Ack=143 Win=189 Len=0 TSval=1001620875 TSecr=3472447699"
"96","8.360470","3.14.34.81","100.86.171.196","TLSv1.2","495","Application Data"
"97","8.360471","3.14.34.81","100.86.171.196","TLSv1.2","97","Application Data"
"98","8.360557","100.86.171.196","3.14.34.81","TCP","66","65142  >  443 [ACK] Seq=143 Ack=461 Win=3601 Len=0 TSval=3472447760 TSecr=1001620901"
"102","8.651223","100.86.171.196","3.14.34.81","TLSv1.2","194","Application Data"
"103","8.651559","100.86.171.196","3.14.34.81","TLSv1.2","447","Application Data"
"104","8.686081","3.14.34.81","100.86.171.196","TCP","66","443  >  65142 [ACK] Seq=461 Ack=652 Win=197 Len=0 TSval=1001621227 TSecr=3472448051"
"105","8.702755","3.14.34.81","100.86.171.196","TLSv1.2","1237","Application Data"
"106","8.702756","3.14.34.81","100.86.171.196","TLSv1.2","97","Application Data"
"107","8.702851","100.86.171.196","3.14.34.81","TCP","66","65142  >  443 [ACK] Seq=652 Ack=1663 Win=3590 Len=0 TSval=3472448102 TSecr=1001621243"
"110","11.718543","100.86.171.196","3.14.34.81","TLSv1.2","185","Application Data"
"111","11.718759","100.86.171.196","3.14.34.81","TLSv1.2","387","Application Data"
"112","11.750401","3.14.34.81","100.86.171.196","TCP","66","443  >  65142 [ACK] Seq=1663 Ack=1092 Win=202 Len=0 TSval=1001624291 TSecr=3472451118"
"113","11.767089","3.14.34.81","100.86.171.196","TLSv1.2","1211","Application Data"
"114","11.767091","3.14.34.81","100.86.171.196","TLSv1.2","97","Application Data"
"115","11.767190","100.86.171.196","3.14.34.81","TCP","66","65142  >  443 [ACK] Seq=1092 Ack=2839 Win=3590 Len=0 TSval=3472451167 TSecr=1001624308"
"121","13.821102","100.86.171.196","3.14.34.81","TLSv1.2","169","Application Data"
"123","13.821250","100.86.171.196","3.14.34.81","TLSv1.2","315","Application Data"
"126","13.856726","3.14.34.81","100.86.171.196","TCP","66","443  >  65142 [ACK] Seq=2839 Ack=1444 Win=206 Len=0 TSval=1001626397 TSecr=3472453221"
"127","13.875979","3.14.34.81","100.86.171.196","TLSv1.2","1482","Application Data"
"128","13.875981","3.14.34.81","100.86.171.196","TLSv1.2","97","Application Data"
"129","13.876080","100.86.171.196","3.14.34.81","TCP","66","65142  >  443 [ACK] Seq=1444 Ack=4286 Win=3586 Len=0 TSval=3472453276 TSecr=1001626417"
"132","14.203139","100.86.171.196","3.14.34.81","TLSv1.2","149","Application Data"
"133","14.203297","100.86.171.196","3.14.34.81","TLSv1.2","236","Application Data"
"134","14.239995","3.14.34.81","100.86.171.196","TCP","66","443  >  65142 [ACK] Seq=4286 Ack=1697 Win=210 Len=0 TSval=1001626781 TSecr=3472453603"
"135","14.257709","3.14.34.81","100.86.171.196","TLSv1.2","1482","Application Data"
"136","14.257710","3.14.34.81","100.86.171.196","TLSv1.2","97","Application Data"
"137","14.257826","100.86.171.196","3.14.34.81","TCP","66","65142  >  443 [ACK] Seq=1697 Ack=5733 Win=3586 Len=0 TSval=3472453657 TSecr=1001626798"
"190","22.495785","100.86.171.196","3.14.34.81","TLSv1.2","150","Application Data"
"191","22.495971","100.86.171.196","3.14.34.81","TLSv1.2","235","Application Data"
"192","22.533615","3.14.34.81","100.86.171.196","TCP","66","443  >  65142 [ACK] Seq=5733 Ack=1950 Win=214 Len=0 TSval=1001635074 TSecr=3472461896"
"193","22.561537","3.14.34.81","100.86.171.196","TLSv1.2","1263","Application Data"
"194","22.561543","3.14.34.81","100.86.171.196","TLSv1.2","97","Application Data"
"195","22.561642","100.86.171.196","3.14.34.81","TCP","66","65142  >  443 [ACK] Seq=1950 Ack=6961 Win=3589 Len=0 TSval=3472461961 TSecr=1001635102"
"419","28.987012","100.86.171.196","3.14.34.81","TLSv1.2","139","Application Data"
"420","28.987443","100.86.171.196","3.14.34.81","TLSv1.2","237","Application Data"
"422","29.023950","3.14.34.81","100.86.171.196","TCP","66","443  >  65142 [ACK] Seq=6961 Ack=2194 Win=218 Len=0 TSval=1001641565 TSecr=3472468387"
"423","29.032306","3.14.34.81","100.86.171.196","TCP","1514","443  >  65142 [ACK] Seq=6961 Ack=2194 Win=218 Len=1448 TSval=1001641573 TSecr=3472468387 [TCP segment of a reassembled PDU]"
"424","29.032308","3.14.34.81","100.86.171.196","TLSv1.2","983","Application Data"
"425","29.032308","3.14.34.81","100.86.171.196","TLSv1.2","97","Application Data"
"426","29.032397","100.86.171.196","3.14.34.81","TCP","66","65142  >  443 [ACK] Seq=2194 Ack=9357 Win=3571 Len=0 TSval=3472468432 TSecr=1001641573"
"2551","41.450888","100.86.171.196","3.14.34.81","TLSv1.2","145","Application Data"
"2552","41.451126","100.86.171.196","3.14.34.81","TLSv1.2","129","Application Data"
"2553","41.487702","3.14.34.81","100.86.171.196","TCP","66","443  >  65142 [ACK] Seq=9357 Ack=2336 Win=218 Len=0 TSval=1001654029 TSecr=3472480851"
"2554","41.492253","3.14.34.81","100.86.171.196","TLSv1.2","501","Application Data"
"2555","41.492255","3.14.34.81","100.86.171.196","TLSv1.2","97","Application Data"
"2556","41.492347","100.86.171.196","3.14.34.81","TCP","66","65142  >  443 [ACK] Seq=2336 Ack=9823 Win=3601 Len=0 TSval=3472480893 TSecr=1001654033"
