"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","100.86.7.137","104.18.10.41","UDP","1038","61622  >  443 Len=996"
"2","0.000461","100.86.7.137","104.18.10.41","UDP","1038","61622  >  443 Len=996"
"3","0.016870","104.18.10.41","100.86.7.137","UDP","66","443  >  61622 Len=24"
"4","0.018668","100.86.7.137","104.18.10.41","UDP","1038","61622  >  443 Len=996"
"5","0.032376","104.18.10.41","100.86.7.137","UDP","1242","443  >  61622 Len=1200"
"6","0.032630","104.18.10.41","100.86.7.137","UDP","1242","443  >  61622 Len=1200"
"7","0.032630","104.18.10.41","100.86.7.137","UDP","1242","443  >  61622 Len=1200"
"8","0.033010","104.18.10.41","100.86.7.137","UDP","570","443  >  61622 Len=528"
"9","0.034782","104.18.10.41","100.86.7.137","UDP","67","443  >  61622 Len=25"
"10","0.037118","104.18.10.41","100.86.7.137","UDP","1242","443  >  61622 Len=1200"
"11","0.037454","104.18.10.41","100.86.7.137","UDP","1242","443  >  61622 Len=1200"
"12","0.037454","104.18.10.41","100.86.7.137","UDP","1242","443  >  61622 Len=1200"
"13","0.037651","104.18.10.41","100.86.7.137","UDP","600","443  >  61622 Len=558"
"14","0.037672","100.86.7.137","104.18.10.41","UDP","86","61622  >  443 Len=44"
"15","0.054310","104.18.10.41","100.86.7.137","UDP","1242","443  >  61622 Len=1200"
"16","0.054517","104.18.10.41","100.86.7.137","UDP","1242","443  >  61622 Len=1200"
"17","0.054517","104.18.10.41","100.86.7.137","UDP","1242","443  >  61622 Len=1200"
"18","0.054805","100.86.7.137","104.18.10.41","UDP","86","61622  >  443 Len=44"
"19","0.055198","104.18.10.41","100.86.7.137","UDP","899","443  >  61622 Len=857"
"20","0.072504","100.86.7.137","104.18.10.41","UDP","87","61622  >  443 Len=45"
"21","0.596767","100.86.7.137","104.18.10.41","UDP","1034","61622  >  443 Len=992"
"22","0.613200","104.18.10.41","100.86.7.137","UDP","67","443  >  61622 Len=25"
