"No.","Time","Source","Destination","Protocol","Length","Info"
"457","3.699495","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","2607:f8b0:4004:f::a","QUIC","1292","Initial, DCID=d510584acca6a8e3, PKN: 1, CRYPTO, PADDING, PING, PADDING, PING, PADDING, PING, PING, PING, PING, PING, PADDING"
"470","3.726192","2607:f8b0:4004:f::a","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","QUIC","1292","Handshake, SCID=f510584acca6a8e3"
"471","3.726700","2607:f8b0:4004:f::a","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","QUIC","1292","Handshake, SCID=f510584acca6a8e3"
"472","3.726904","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","2607:f8b0:4004:f::a","QUIC","101","Handshake, DCID=f510584acca6a8e3"
"473","3.727581","2607:f8b0:4004:f::a","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","QUIC","1292","Handshake, SCID=f510584acca6a8e3"
"474","3.727581","2607:f8b0:4004:f::a","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","QUIC","1292","Handshake, SCID=f510584acca6a8e3"
"475","3.727746","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","2607:f8b0:4004:f::a","QUIC","101","Handshake, DCID=f510584acca6a8e3"
"476","3.728199","2607:f8b0:4004:f::a","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","QUIC","756","Protected Payload (KP0)"
"477","3.729410","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","2607:f8b0:4004:f::a","QUIC","102","Handshake, DCID=f510584acca6a8e3"
"478","3.731029","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","2607:f8b0:4004:f::a","QUIC","145","Handshake, DCID=f510584acca6a8e3"
"479","3.731208","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","2607:f8b0:4004:f::a","QUIC","132","Protected Payload (KP0), DCID=f510584acca6a8e3"
"480","3.731606","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","2607:f8b0:4004:f::a","QUIC","863","Protected Payload (KP0), DCID=f510584acca6a8e3"
"484","3.757038","2607:f8b0:4004:f::a","2600:8805:3e22:4100:68dd:8e31:1a2:1f62","QUIC","593","Protected Payload (KP0)"
