"No.","Time","Source","Destination","Protocol","Length","Info"
"49","6.532771","192.168.0.92","74.125.155.72","QUIC","1242","Initial, DCID=ec046dfa875de54d, PKN: 0, CRYPTO, PADDING"
"50","6.560694","74.125.155.72","192.168.0.92","QUIC","1242","Handshake, SCID=ec046dfa875de54d"
"51","6.560696","74.125.155.72","192.168.0.92","QUIC","1242","Handshake, SCID=ec046dfa875de54d"
"52","6.560697","74.125.155.72","192.168.0.92","QUIC","1242","Handshake, SCID=ec046dfa875de54d"
"53","6.560697","74.125.155.72","192.168.0.92","QUIC","1242","Handshake, SCID=ec046dfa875de54d"
"54","6.560698","74.125.155.72","192.168.0.92","QUIC","863","Protected Payload (KP0)"
"55","6.562476","192.168.0.92","74.125.155.72","QUIC","1242","Initial, DCID=ec046dfa875de54d, PKN: 1, ACK, PADDING"
"56","6.562477","192.168.0.92","74.125.155.72","QUIC","81","Handshake, DCID=ec046dfa875de54d"
"57","6.567827","192.168.0.92","74.125.155.72","QUIC","115","Handshake, DCID=ec046dfa875de54d"
"58","6.568456","192.168.0.92","74.125.155.72","QUIC","73","Protected Payload (KP0), DCID=ec046dfa875de54d"
"59","6.568728","192.168.0.92","74.125.155.72","QUIC","96","Protected Payload (KP0), DCID=ec046dfa875de54d"
"60","6.568955","192.168.0.92","74.125.155.72","QUIC","1017","Protected Payload (KP0), DCID=ec046dfa875de54d"
"61","6.569038","192.168.0.92","74.125.155.72","QUIC","76","Protected Payload (KP0), DCID=ec046dfa875de54d"
"62","6.569386","192.168.0.92","74.125.155.72","QUIC","1239","Protected Payload (KP0), DCID=ec046dfa875de54d"
"63","6.569387","192.168.0.92","74.125.155.72","QUIC","707","Protected Payload (KP0), DCID=ec046dfa875de54d"
"64","6.591027","74.125.155.72","192.168.0.92","QUIC","573","Protected Payload (KP0)"
"65","6.591029","74.125.155.72","192.168.0.92","QUIC","158","Protected Payload (KP0)"
"66","6.591029","74.125.155.72","192.168.0.92","QUIC","68","Protected Payload (KP0)"
"67","6.591030","74.125.155.72","192.168.0.92","QUIC","68","Protected Payload (KP0)"
"68","6.592750","74.125.155.72","192.168.0.92","QUIC","635","Protected Payload (KP0)"
"69","6.601842","192.168.0.92","74.125.155.72","QUIC","1294","Protected Payload (KP0), DCID=ec046dfa875de54d"
"70","6.602266","192.168.0.92","74.125.155.72","QUIC","73","Protected Payload (KP0), DCID=ec046dfa875de54d"
"71","6.607966","192.168.0.92","74.125.155.72","QUIC","73","Protected Payload (KP0), DCID=ec046dfa875de54d"
"72","6.608076","192.168.0.92","74.125.155.72","QUIC","73","Protected Payload (KP0), DCID=ec046dfa875de54d"
"73","6.614096","74.125.155.72","192.168.0.92","QUIC","1238","Protected Payload (KP0)"
"74","6.614097","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"75","6.614098","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"76","6.614099","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"77","6.614554","192.168.0.92","74.125.155.72","QUIC","73","Protected Payload (KP0), DCID=ec046dfa875de54d"
"78","6.616026","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"79","6.616749","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"80","6.616749","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"81","6.616750","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"82","6.617995","192.168.0.92","74.125.155.72","QUIC","73","Protected Payload (KP0), DCID=ec046dfa875de54d"
"83","6.619503","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"84","6.619505","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"85","6.619506","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"86","6.619507","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"87","6.619700","192.168.0.92","74.125.155.72","QUIC","73","Protected Payload (KP0), DCID=ec046dfa875de54d"
"88","6.623793","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"89","6.625602","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
"90","6.625604","74.125.155.72","192.168.0.92","QUIC","1242","Protected Payload (KP0)"
