"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","206.247.128.13","192.168.0.92","TLSv1.2","115","Application Data"
"2","0.000078","192.168.0.92","206.247.128.13","TCP","66","63278  >  443 [ACK] Seq=1 Ack=50 Win=2047 Len=0 TSval=2673756807 TSecr=3364377772"
"3","0.000203","192.168.0.92","206.247.128.13","TLSv1.2","133","Application Data"
"4","0.001618","192.168.0.92","206.247.128.13","UDP","146","54695  >  8801 Len=104"
"5","0.022205","192.168.0.92","206.247.128.13","UDP","144","54695  >  8801 Len=102"
"12","0.041578","192.168.0.92","206.247.128.13","UDP","143","54695  >  8801 Len=101"
"15","0.052557","206.247.128.13","192.168.0.92","UDP","135","8801  >  54695 Len=93"
"16","0.052774","192.168.0.92","206.247.128.13","UDP","115","54695  >  8801 Len=73"
"18","0.062685","192.168.0.92","206.247.128.13","UDP","145","54695  >  8801 Len=103"
"19","0.064541","206.247.128.13","192.168.0.92","TCP","66","443  >  63278 [ACK] Seq=50 Ack=68 Win=11 Len=0 TSval=3364377839 TSecr=2673756807"
"20","0.081599","192.168.0.92","206.247.128.13","UDP","123","55786  >  8801 Len=81"
"21","0.081668","192.168.0.92","206.247.128.13","UDP","144","54695  >  8801 Len=102"
"22","0.102267","206.247.128.13","192.168.0.92","WireGuard","123","Transport Data, receiver=0x2972BE23, counter=4613094805280981041, datalen=49"
"23","0.102269","206.247.128.13","192.168.0.92","UDP","133","8801  >  55786 Len=91"
"24","0.102956","192.168.0.92","206.247.128.13","UDP","144","54695  >  8801 Len=102"
"25","0.103086","192.168.0.92","206.247.128.13","WireGuard","151","Transport Data, receiver=0x78A7C524, counter=1873780331932876910, datalen=77"
"26","0.123165","192.168.0.92","206.247.128.13","UDP","143","54695  >  8801 Len=101"
"27","0.143080","192.168.0.92","206.247.128.13","UDP","145","54695  >  8801 Len=103"
"28","0.155205","206.247.128.13","192.168.0.92","UDP","135","8801  >  54695 Len=93"
"29","0.167336","206.247.128.13","192.168.0.92","UDP","106","8801  >  54695 Len=64"
"30","0.243498","192.168.0.92","206.247.128.13","UDP","123","54695  >  8801 Len=81"
"31","0.243606","192.168.0.92","206.247.128.13","UDP","143","54695  >  8801 Len=101"
"32","0.247448","206.247.128.13","192.168.0.92","UDP","133","8801  >  54695 Len=91"
"33","0.247450","206.247.128.13","192.168.0.92","UDP","135","8801  >  54695 Len=93"
"34","0.247717","192.168.0.92","206.247.128.13","WireGuard","151","Transport Data, receiver=0x79A7C524, counter=1873780353407713284, datalen=77"
"35","0.258476","192.168.0.92","206.247.128.13","UDP","123","59312  >  8801 Len=81"
"36","0.264269","206.247.128.13","192.168.0.92","WireGuard","123","Transport Data, receiver=0x2972BE23, counter=4613094826755817683, datalen=49"
"37","0.270504","206.247.128.13","192.168.0.92","UDP","133","8801  >  59312 Len=91"
"38","0.270541","206.247.128.13","192.168.0.92","UDP","116","8801  >  54695 Len=74"
"39","0.270822","192.168.0.92","206.247.128.13","WireGuard","151","Transport Data, receiver=0x79A7C524, counter=1873780366292615192, datalen=77"
"44","0.278274","206.247.128.13","192.168.0.92","WireGuard","123","Transport Data, receiver=0x2972BE23, counter=4613094839640719586, datalen=49"
