No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
180,1.34052,0,1,2,92,2,bing,0.0007199999999998319,sd
181,1.340521,0,1,1,56,3,bing,1.000000000139778e-06,sd
182,1.340529,0,1,1,56,3,bing,8.000000000008e-06,sd
183,1.340561,1,0,1,54,3,bing,3.199999999980996e-05,sd
184,1.349307,1,0,1,1494,3,bing,0.008746000000000143,sd
185,1.349309,1,0,1,1494,3,bing,2.0000000000575113e-06,sd
186,1.34933,1,0,2,491,2,bing,2.0999999999826713e-05,sd
187,1.350892,0,1,2,216,2,bing,0.0015620000000000633,sd
188,1.350893,0,1,1,56,3,bing,9.999999999177334e-07,sd
189,1.350894,0,1,1,56,3,bing,1.000000000139778e-06,sd
190,1.350973,1,0,1,54,3,bing,7.899999999994023e-05,sd
191,1.355733,0,1,1,1514,3,bing,0.0047600000000000975,sd
192,1.355734,0,1,2,1050,2,bing,9.999999999177334e-07,sd
193,1.355735,0,1,2,92,2,bing,9.999999999177334e-07,sd
194,1.355736,0,1,1,1514,3,bing,1.000000000139778e-06,sd
195,1.355736,0,1,1,1514,3,bing,0.0,sd
196,1.355737,0,1,2,157,2,bing,9.999999999177334e-07,sd
197,1.355738,0,1,2,92,2,bing,1.000000000139778e-06,sd
198,1.355819,1,0,1,54,3,bing,8.099999999999774e-05,sd
199,1.355925,1,0,1,54,12,bing,0.00010599999999993948,sd
200,1.361825,0,1,1,56,3,bing,0.005900000000000016,sd
201,1.361826,0,1,1,56,3,bing,9.999999999177334e-07,sd
202,1.366079,0,1,1,1514,3,bing,0.004253000000000062,sd
203,1.36608,0,1,1,1514,3,bing,9.999999999177334e-07,sd
204,1.366081,0,1,2,429,2,bing,1.000000000139778e-06,sd
205,1.366081,0,1,2,92,2,bing,0.0,sd
206,1.366169,1,0,1,54,3,bing,8.799999999986596e-05,sd
207,1.36626,1,0,1,54,12,bing,9.100000000006325e-05,sd
208,1.367793,1,0,1,1494,3,bing,0.0015330000000000066,sd
209,1.367795,1,0,1,1494,3,bing,2.0000000000575113e-06,sd
210,1.367806,1,0,2,491,2,bing,1.0999999999983245e-05,sd
211,1.380995,0,1,1,56,3,bing,0.013188999999999895,sd
212,1.384267,0,1,1,1514,3,bing,0.0032719999999999416,sd
213,1.384268,0,1,2,1077,2,bing,1.000000000139778e-06,sd
214,1.384269,0,1,2,92,2,bing,9.999999999177334e-07,sd
215,1.384348,1,0,1,54,3,bing,7.899999999994023e-05,sd
221,3.105058,1,0,1,1494,3,bing,1.7207100000000002,sd
222,3.10506,1,0,1,1494,3,bing,1.9999999998354667e-06,sd
223,3.105084,1,0,2,542,2,bing,2.4000000000246047e-05,sd
224,3.1181,0,1,1,56,3,bing,0.013015999999999917,sd
225,3.143416,0,1,2,979,2,bing,0.025316000000000116,sd
226,3.14351,1,0,1,54,3,bing,9.399999999981645e-05,sd
227,3.166933,1,0,1,1494,3,bing,0.023423000000000194,sd
228,3.166936,1,0,1,1494,3,bing,2.9999999999752447e-06,sd
229,3.166963,1,0,2,587,2,bing,2.6999999999777202e-05,sd
230,3.173727,1,0,1,1494,3,bing,0.006763999999999992,sd
231,3.173729,1,0,1,1494,3,bing,1.9999999998354667e-06,sd
232,3.173748,1,0,2,491,2,bing,1.8999999999991246e-05,sd
233,3.179777,0,1,1,56,3,bing,0.006029000000000284,sd
234,3.186196,0,1,1,56,3,bing,0.0064189999999997305,sd
