No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
481,12.56653,1,0,1,54,3,Netflix,0.03984299999999941,cd
482,12.567839,1,0,2,265,2,Netflix,0.0013089999999991164,cd
483,12.568013,1,0,2,10841,2,Netflix,0.00017400000000122873,cd
484,12.59085,0,1,1,56,3,Netflix,0.022836999999999108,cd
485,12.59085,0,1,1,1514,3,Netflix,0.0,cd
486,12.59085,0,1,2,1335,2,Netflix,0.0,cd
487,12.591166,1,0,1,54,3,Netflix,0.0003159999999997609,cd
488,12.9204,1,0,2,395,2,Netflix,0.32923400000000136,cd
489,12.920476,1,0,2,233,2,Netflix,7.599999999996498e-05,cd
490,12.934131,0,1,1,56,3,Netflix,0.013654999999999973,cd
491,13.02742,0,1,1,1514,3,Netflix,0.09328899999999862,cd
492,13.027929,0,1,2,356,2,Netflix,0.0005090000000009809,cd
493,13.027993,1,0,1,54,3,Netflix,6.4000000000064e-05,cd
494,13.29016,1,0,2,142,2,Netflix,0.2621669999999998,cd
495,13.311686,0,1,2,202,2,Netflix,0.021525999999999712,cd
496,13.311686,0,1,1,2974,3,Netflix,0.0,cd
497,13.311686,0,1,2,1504,2,Netflix,0.0,cd
498,13.311686,0,1,1,1514,3,Netflix,0.0,cd
499,13.311686,0,1,2,807,2,Netflix,0.0,cd
500,13.311686,0,1,1,1514,3,Netflix,0.0,cd
501,13.311686,0,1,2,76,2,Netflix,0.0,cd
502,13.311686,0,1,1,2974,3,Netflix,0.0,cd
503,13.311686,0,1,2,944,2,Netflix,0.0,cd
504,13.312051,1,0,1,54,3,Netflix,0.0003650000000003928,cd
505,13.315171,0,1,2,1406,2,Netflix,0.0031199999999991235,cd
506,13.315171,0,1,2,636,2,Netflix,0.0,cd
507,13.315335,1,0,1,54,3,Netflix,0.00016399999999983095,cd
508,16.612298,1,0,2,281,2,Netflix,3.296963,cd
509,16.612437,1,0,2,16460,2,Netflix,0.0001390000000007774,cd
510,16.612526,1,0,2,15594,2,Netflix,8.899999999911756e-05,cd
511,16.629533,0,1,1,56,3,Netflix,0.01700699999999955,cd
512,16.633094,0,1,1,56,3,Netflix,0.0035610000000012576,cd
513,16.633094,0,1,1,56,3,Netflix,0.0,cd
514,16.667052,0,1,1,56,3,Netflix,0.03395800000000193,cd
515,16.700563,0,1,1,7354,3,Netflix,0.03351099999999718,cd
516,16.700741,1,0,1,54,3,Netflix,0.00017800000000178784,cd
517,16.706237,0,1,2,419,2,Netflix,0.0054960000000008336,cd
518,16.706381,1,0,1,54,3,Netflix,0.00014399999999881175,cd
519,16.707623,1,0,2,89,2,Netflix,0.0012420000000012976,cd
520,16.723565,0,1,1,56,3,Netflix,0.015941999999999013,cd
