No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
41,1.122795,1,0,3,184,2,Wikipedia,0.000124000000000013,sd
42,1.149871,0,1,1,56,3,Wikipedia,0.0270760000000001,sd
43,1.150863,0,1,3,881,2,Wikipedia,0.0009919999999998819,sd
44,1.150863,0,1,3,883,2,Wikipedia,0.0,sd
45,1.150935,1,0,1,54,3,Wikipedia,7.2000000000072e-05,sd
46,1.151192,0,1,1,2974,5,Wikipedia,0.0002569999999999517,sd
47,1.151226,1,0,1,54,3,Wikipedia,3.4000000000089514e-05,sd
48,1.152154,0,1,1,2974,5,Wikipedia,0.0009279999999998179,sd
49,1.152212,1,0,1,54,3,Wikipedia,5.8000000000113516e-05,sd
50,1.153204,0,1,1,2974,5,Wikipedia,0.0009919999999998819,sd
51,1.153262,1,0,1,54,3,Wikipedia,5.8000000000113516e-05,sd
52,1.157069,0,1,1,1514,3,Wikipedia,0.003806999999999894,sd
53,1.157069,0,1,1,1514,5,Wikipedia,0.0,sd
54,1.157069,0,1,1,1514,3,Wikipedia,0.0,sd
55,1.157069,0,1,1,1514,5,Wikipedia,0.0,sd
56,1.157069,0,1,3,1514,2,Wikipedia,0.0,sd
57,1.157069,0,1,1,1514,4,Wikipedia,0.0,sd
58,1.157184,1,0,1,66,3,Wikipedia,0.00011500000000008725,sd
59,1.161178,0,1,1,1514,5,Wikipedia,0.003994000000000053,sd
60,1.161178,0,1,1,474,5,Wikipedia,0.0,sd
61,1.161218,1,0,1,66,6,Wikipedia,4.0000000000040004e-05,sd
62,1.161255,1,0,1,66,6,Wikipedia,3.6999999999842714e-05,sd
63,1.171062,0,1,3,1514,9,Wikipedia,0.009807000000000121,sd
64,1.171143,1,0,1,54,3,Wikipedia,8.099999999999774e-05,sd
65,1.181389,1,0,3,438,2,Wikipedia,0.010245999999999977,sd
66,1.183355,1,0,3,190,2,Wikipedia,0.0019659999999999123,sd
67,1.189099,1,0,3,205,2,Wikipedia,0.005743999999999971,sd
68,1.194762,0,1,3,1130,2,Wikipedia,0.005663000000000196,sd
69,1.19805,0,1,3,1130,2,Wikipedia,0.0032879999999999576,sd
70,1.198234,1,0,1,54,3,Wikipedia,0.00018399999999996197,sd
71,1.204887,0,1,3,1384,2,Wikipedia,0.00665300000000002,sd
72,1.248933,1,0,3,182,2,Wikipedia,0.04404600000000003,sd
73,1.282763,0,1,3,20494,2,Wikipedia,0.03383000000000003,sd
74,1.282845,1,0,1,54,3,Wikipedia,8.199999999991547e-05,sd
75,1.283835,0,1,1,2974,5,Wikipedia,0.0009900000000000464,sd
76,1.283909,1,0,1,54,3,Wikipedia,7.399999999990747e-05,sd
77,1.285833,0,1,1,5894,5,Wikipedia,0.0019240000000000368,sd
78,1.285966,1,0,1,54,3,Wikipedia,0.00013299999999993872,sd
79,1.287113,0,1,1,1514,3,Wikipedia,0.0011470000000000091,sd
80,1.287113,0,1,3,1514,2,Wikipedia,0.0,sd
