No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
1231,3.891389,0,1,2,97,2,amazon,1.000000000139778e-06,sud
1232,3.891496,1,0,1,66,3,amazon,0.00010699999999985721,sud
1233,3.891617,1,0,1,66,16,amazon,0.00012100000000003774,sud
1244,3.9036,0,1,1,1494,3,amazon,0.011982999999999855,sud
1245,3.905279,0,1,1,1494,3,amazon,0.001679000000000208,sud
1246,3.905281,0,1,1,1494,3,amazon,1.9999999998354667e-06,sud
1247,3.905283,0,1,1,1494,3,amazon,1.9999999998354667e-06,sud
1248,3.905283,0,1,2,1021,2,amazon,0.0,sud
1249,3.905284,0,1,2,97,2,amazon,1.000000000139778e-06,sud
1251,3.907663,1,0,1,66,3,amazon,0.002378999999999909,sud
1252,3.907884,0,1,1,1494,3,amazon,0.00022100000000024878,sud
1253,3.907885,0,1,1,1494,3,amazon,9.999999996956888e-07,sud
1254,3.907886,0,1,2,423,2,amazon,1.000000000139778e-06,sud
1255,3.907887,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
1256,3.907889,0,1,1,1494,3,amazon,1.9999999998354667e-06,sud
1257,3.907889,0,1,2,310,2,amazon,0.0,sud
1258,3.90789,0,1,2,97,2,amazon,1.000000000139778e-06,sud
1259,3.90964,1,0,1,66,3,amazon,0.0017499999999999183,sud
1285,3.972758,0,1,1,1494,3,amazon,0.06311799999999979,sud
1287,3.973996,0,1,1,1494,3,amazon,0.0012380000000002944,sud
1288,3.973998,0,1,1,1494,3,amazon,1.9999999998354667e-06,sud
1289,3.973999,0,1,1,1494,3,amazon,1.000000000139778e-06,sud
1290,3.974,0,1,2,81,2,amazon,1.000000000139778e-06,sud
1291,3.974,0,1,2,1066,2,amazon,0.0,sud
1292,3.974001,0,1,2,97,2,amazon,9.999999996956888e-07,sud
1293,3.974123,1,0,1,66,3,amazon,0.00012200000000017752,sud
1478,4.421648,1,0,2,509,2,amazon,0.4475250000000002,sud
1479,4.42218,1,0,1,1494,3,amazon,0.0005319999999997549,sud
1480,4.422183,1,0,1,1494,3,amazon,3.000000000419334e-06,sud
1481,4.422214,1,0,2,1369,2,amazon,3.0999999999892225e-05,sud
1482,4.446055,1,0,2,444,2,amazon,0.023841,sud
1483,4.446494,1,0,1,1494,3,amazon,0.0004390000000000782,sud
1484,4.446507,1,0,2,1175,2,amazon,1.3000000000040757e-05,sud
1485,4.447262,0,1,1,66,3,amazon,0.0007549999999998391,sud
1486,4.467569,0,1,1,66,3,amazon,0.020306999999999853,sud
1487,4.469677,0,1,1,66,3,amazon,0.0021079999999997767,sud
1488,4.472519,1,0,2,444,2,amazon,0.0028420000000002332,sud
1489,4.473013,1,0,1,1494,3,amazon,0.0004939999999997724,sud
1490,4.473033,1,0,2,1175,2,amazon,2.0000000000131024e-05,sud
1491,4.493724,0,1,1,66,3,amazon,0.020691000000000237,sud
