No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
2825,2.871516,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2826,2.871517,0,1,2,1494,2,amazonvideo,9.999999996956888e-07,cd
2827,2.871519,0,1,1,1494,3,amazonvideo,2.000000000279556e-06,cd
2828,2.87152,0,1,1,1494,3,amazonvideo,9.999999996956888e-07,cd
2829,2.871521,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2830,2.871522,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2831,2.871524,0,1,1,1494,3,amazonvideo,1.9999999998354667e-06,cd
2832,2.871525,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2833,2.871527,0,1,1,1494,3,amazonvideo,1.9999999998354667e-06,cd
2834,2.871528,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2835,2.871529,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2836,2.87153,0,1,1,1494,3,amazonvideo,9.999999996956888e-07,cd
2837,2.871532,0,1,1,1494,3,amazonvideo,2.000000000279556e-06,cd
2838,2.871533,0,1,2,1494,2,amazonvideo,9.999999996956888e-07,cd
2839,2.871535,0,1,1,1494,3,amazonvideo,2.000000000279556e-06,cd
2840,2.871536,0,1,1,1494,5,amazonvideo,9.999999996956888e-07,cd
2841,2.871537,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2842,2.871539,0,1,1,1494,3,amazonvideo,1.9999999998354667e-06,cd
2843,2.87154,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2844,2.871541,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2845,2.871543,0,1,1,1494,3,amazonvideo,1.9999999998354667e-06,cd
2846,2.871544,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2847,2.871545,0,1,1,1494,3,amazonvideo,9.999999996956888e-07,cd
2848,2.871588,1,0,1,66,3,amazonvideo,4.300000000023729e-05,cd
2849,2.87164,1,0,1,66,3,amazonvideo,5.200000000016303e-05,cd
2850,2.872061,0,1,1,1494,3,amazonvideo,0.00042099999999978266,cd
2851,2.872062,0,1,2,1494,2,amazonvideo,1.000000000139778e-06,cd
2852,2.872063,0,1,1,1494,3,amazonvideo,9.999999996956888e-07,cd
2853,2.872064,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2854,2.872065,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2855,2.872066,0,1,1,1494,3,amazonvideo,9.999999996956888e-07,cd
2856,2.872067,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2857,2.872068,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2858,2.872069,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2859,2.87207,0,1,1,1494,3,amazonvideo,9.999999996956888e-07,cd
2860,2.872071,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2861,2.872072,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
2862,2.872072,0,1,1,1494,3,amazonvideo,0.0,cd
2863,2.872073,0,1,2,1494,2,amazonvideo,9.999999996956888e-07,cd
2864,2.872074,0,1,1,1494,3,amazonvideo,1.000000000139778e-06,cd
