No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
58,0.190524,0,1,1,1514,3,bing,1.000000000001e-06,sd
59,0.190524,0,1,1,1514,3,bing,0.0,sd
60,0.190525,0,1,2,1268,2,bing,1.000000000001e-06,sd
61,0.190526,0,1,1,1514,3,bing,1.000000000001e-06,sd
62,0.190527,0,1,1,1514,3,bing,1.000000000001e-06,sd
63,0.190528,0,1,2,1268,2,bing,1.000000000001e-06,sd
64,0.190529,0,1,1,1514,3,bing,1.000000000001e-06,sd
65,0.190529,0,1,2,1168,2,bing,0.0,sd
66,0.190949,1,0,1,54,3,bing,0.0004200000000000037,sd
67,0.201924,1,0,1,1494,3,bing,0.010974999999999985,sd
68,0.201926,1,0,1,1494,3,bing,2.000000000002e-06,sd
69,0.201948,1,0,2,172,2,bing,2.1999999999994246e-05,sd
70,0.202175,1,0,2,725,2,bing,0.00022700000000000498,sd
71,0.20671,1,0,1,1494,3,bing,0.004535000000000011,sd
72,0.206713,1,0,1,1494,3,bing,3.0000000000030003e-06,sd
73,0.206731,1,0,2,324,2,bing,1.7999999999990246e-05,sd
74,0.207,1,0,2,506,2,bing,0.00026899999999999147,sd
75,0.214023,0,1,1,56,3,bing,0.0070230000000000015,sd
76,0.214024,0,1,1,56,3,bing,1.000000000001e-06,sd
77,0.218759,0,1,1,56,3,bing,0.004735000000000017,sd
78,0.218779,0,1,1,56,3,bing,1.9999999999992246e-05,sd
79,0.221683,0,1,2,199,2,bing,0.00290399999999999,sd
80,0.22178,1,0,1,54,3,bing,9.700000000001374e-05,sd
81,0.234524,0,1,2,199,2,bing,0.012744000000000005,sd
82,0.234613,1,0,1,54,3,bing,8.899999999997799e-05,sd
91,0.46684,1,0,1,1494,3,bing,0.232227,sd
92,0.466843,1,0,1,1494,3,bing,3.000000000030756e-06,sd
93,0.466873,1,0,2,480,2,bing,2.999999999997449e-05,sd
94,0.481369,0,1,1,56,3,bing,0.014496000000000009,sd
95,0.481371,0,1,1,56,3,bing,2.000000000002e-06,sd
96,0.486711,0,1,1,1514,3,bing,0.005340000000000011,sd
97,0.486712,0,1,1,1514,3,bing,9.999999999732445e-07,sd
98,0.486713,0,1,1,1514,3,bing,1.0000000000287557e-06,sd
99,0.486876,1,0,1,54,3,bing,0.00016299999999996873,sd
100,0.486979,1,0,1,54,12,bing,0.00010300000000001974,sd
101,0.488491,0,1,1,1514,3,bing,0.0015120000000000133,sd
102,0.488493,0,1,1,1514,3,bing,2.000000000002e-06,sd
103,0.488494,0,1,1,1514,3,bing,9.999999999732445e-07,sd
104,0.488495,0,1,2,1021,2,bing,1.0000000000287557e-06,sd
105,0.488496,0,1,2,92,2,bing,9.999999999732445e-07,sd
106,0.488574,1,0,1,54,3,bing,7.80000000000225e-05,sd
107,0.488655,1,0,1,54,12,bing,8.099999999999774e-05,sd
136,0.619187,0,1,1,1514,3,bing,0.13053200000000004,sd
137,0.619189,0,1,1,1514,3,bing,1.999999999946489e-06,sd
138,0.61919,0,1,2,1211,2,bing,1.0000000000287557e-06,sd
139,0.619286,1,0,1,54,3,bing,9.599999999998499e-05,sd
140,0.61938,1,0,1,54,12,bing,9.40000000000385e-05,sd
141,0.622045,0,1,2,142,2,bing,0.0026649999999999174,sd
142,0.622045,0,1,1,1514,3,bing,0.0,sd
143,0.62205,0,1,1,1514,3,bing,5.000000000032756e-06,sd
