No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
2008,17.075396,1,0,1,66,3,chatgpt,0.00017800000000178784,sud
2009,17.132377,0,1,1,1514,3,chatgpt,0.05698100000000039,sud
2010,17.13238,0,1,2,96,2,chatgpt,2.9999999995311555e-06,sud
2011,17.13258,1,0,1,66,3,chatgpt,0.00019999999999953388,sud
2012,17.169863,0,1,1,1514,3,chatgpt,0.03728299999999862,sud
2013,17.169865,0,1,2,128,2,chatgpt,2.0000000020559128e-06,sud
2014,17.170013,1,0,1,66,3,chatgpt,0.00014799999999937086,sud
2015,17.209866,0,1,1,1514,3,chatgpt,0.039853000000000804,sud
2016,17.209868,0,1,2,128,2,chatgpt,1.999999998503199e-06,sud
2017,17.209977,1,0,1,66,3,chatgpt,0.00010899999999836041,sud
2019,17.577169,0,1,1,1514,3,chatgpt,0.36719200000000285,sud
2020,17.577174,0,1,2,128,2,chatgpt,4.9999999980343546e-06,sud
2022,17.57734,1,0,1,66,3,chatgpt,0.0001660000000001105,sud
2024,17.993222,0,1,1,1514,3,chatgpt,0.41588199999999986,sud
2025,17.993223,0,1,2,128,2,chatgpt,1.0000000010279564e-06,sud
2027,17.993423,1,0,1,66,3,chatgpt,0.00019999999999953388,sud
2028,18.400212,0,1,1,1514,3,chatgpt,0.40678899999999985,sud
2029,18.400214,0,1,2,128,2,chatgpt,1.999999998503199e-06,sud
2030,18.400215,0,1,1,128,10,chatgpt,1.0000000010279564e-06,sud
2031,18.40033,1,0,1,66,3,chatgpt,0.00011500000000097543,sud
2032,18.400387,1,0,1,78,6,chatgpt,5.699999999819738e-05,sud
2033,18.707556,0,1,1,1514,3,chatgpt,0.3071690000000018,sud
2034,18.707558,0,1,2,160,2,chatgpt,1.999999998503199e-06,sud
2035,18.707558,0,1,1,1514,3,chatgpt,0.0,sud
2036,18.707559,0,1,2,160,2,chatgpt,1.0000000010279564e-06,sud
2037,18.707676,1,0,1,66,3,chatgpt,0.00011699999999947863,sud
2038,18.707832,1,0,1,66,16,chatgpt,0.00015600000000048908,sud
2039,18.735701,0,1,1,1514,3,chatgpt,0.027868999999999033,sud
2040,18.735703,0,1,2,160,2,chatgpt,2.0000000020559128e-06,sud
2041,18.735793,1,0,1,66,3,chatgpt,9.000000000014552e-05,sud
2042,19.111196,0,1,1,1514,3,chatgpt,0.3754029999999986,sud
2043,19.111198,0,1,2,160,2,chatgpt,2.0000000020559128e-06,sud
2044,19.111198,0,1,1,1514,3,chatgpt,0.0,sud
2045,19.111199,0,1,2,160,2,chatgpt,9.999999974752427e-07,sud
2046,19.1112,0,1,1,1514,3,chatgpt,1.0000000010279564e-06,sud
2047,19.111201,0,1,2,160,2,chatgpt,1.0000000010279564e-06,sud
2048,19.111202,0,1,1,1514,3,chatgpt,9.999999974752427e-07,sud
2049,19.111203,0,1,2,160,2,chatgpt,1.0000000010279564e-06,sud
2050,19.111203,0,1,1,1514,3,chatgpt,0.0,sud
2051,19.111204,0,1,2,160,2,chatgpt,1.0000000010279564e-06,sud
