No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
4707,6.963382,0,1,1,1510,3,cnn,0.0,sd
4708,6.963405,0,1,1,1510,3,cnn,2.299999999966218e-05,sd
4709,6.963406,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4710,6.963407,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4711,6.963408,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4712,6.963409,0,1,2,1510,2,cnn,1.000000000139778e-06,sd
4713,6.96341,0,1,1,1510,3,cnn,9.999999992515995e-07,sd
4714,6.963411,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4715,6.963412,0,1,2,1510,2,cnn,1.000000000139778e-06,sd
4716,6.963413,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4717,6.963414,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4718,6.963441,0,1,1,1510,3,cnn,2.700000000022129e-05,sd
4719,6.963442,0,1,1,1510,3,cnn,9.999999992515995e-07,sd
4720,6.963443,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4721,6.963444,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4722,6.963445,0,1,1,1510,5,cnn,1.000000000139778e-06,sd
4723,6.963446,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4724,6.963447,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4725,6.963448,0,1,1,1510,3,cnn,9.999999992515995e-07,sd
4726,6.963449,0,1,2,1510,2,cnn,1.000000000139778e-06,sd
4727,6.963522,0,1,1,1510,3,cnn,7.300000000043383e-05,sd
4728,6.963523,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4729,6.963524,0,1,1,1510,3,cnn,9.999999992515995e-07,sd
4730,6.963525,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4731,6.963526,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4732,6.963527,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4733,6.963528,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4734,6.963529,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4735,6.9636,0,1,1,1510,3,cnn,7.09999999992661e-05,sd
4736,6.963601,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4737,6.963602,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4738,6.963603,0,1,2,1510,2,cnn,1.000000000139778e-06,sd
4739,6.963604,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4740,6.963605,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4741,6.963606,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
4742,6.963606,0,1,1,1510,3,cnn,0.0,sd
4743,6.963607,0,1,1,1510,3,cnn,9.999999992515995e-07,sd
4744,6.963631,0,1,1,1510,3,cnn,2.4000000000690136e-05,sd
4745,6.963632,0,1,1,1510,3,cnn,9.999999992515995e-07,sd
4746,6.963633,0,1,1,1510,3,cnn,1.000000000139778e-06,sd
