No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
774,5.755255,0,1,1,1514,3,discord,1.000000000139778e-06,sud
775,5.755256,0,1,1,1514,3,discord,1.000000000139778e-06,sud
776,5.755257,0,1,1,1514,3,discord,1.000000000139778e-06,sud
777,5.755258,0,1,2,545,2,discord,1.000000000139778e-06,sud
779,5.755437,1,0,1,66,3,discord,0.00017899999999926308,sud
780,5.763459,0,1,3,382,2,discord,0.008022000000000418,sud
781,5.763461,0,1,1,1514,3,discord,2.000000000279556e-06,sud
782,5.763462,0,1,3,751,2,discord,9.999999992515995e-07,sud
783,5.763462,0,1,3,97,2,discord,0.0,sud
784,5.763642,1,0,1,66,3,discord,0.00018000000000029104,sud
790,5.788824,1,0,3,183,2,discord,0.025182000000000038,sud
791,5.790036,0,1,3,437,2,discord,0.0012119999999997688,sud
792,5.790037,0,1,1,1514,3,discord,1.000000000139778e-06,sud
793,5.790038,0,1,1,1514,3,discord,1.000000000139778e-06,sud
794,5.790285,1,0,1,66,3,discord,0.0002469999999998862,sud
795,5.792618,0,1,1,1514,3,discord,0.0023330000000001405,sud
796,5.79262,0,1,1,1514,3,discord,2.000000000279556e-06,sud
797,5.792621,0,1,3,389,2,discord,9.999999992515995e-07,sud
798,5.792622,0,1,3,97,2,discord,1.000000000139778e-06,sud
799,5.793025,1,0,1,66,3,discord,0.0004030000000003753,sud
800,5.795768,1,0,3,184,2,discord,0.002742999999999718,sud
803,5.819052,0,1,1,66,3,discord,0.023284000000000304,sud
804,5.821191,1,0,2,156,2,discord,0.002138999999999669,sud
805,5.821995,0,1,3,545,2,discord,0.000804000000000471,sud
806,5.821996,0,1,1,1514,3,discord,1.000000000139778e-06,sud
807,5.821997,0,1,1,1514,3,discord,9.999999992515995e-07,sud
808,5.821998,0,1,1,1514,3,discord,1.000000000139778e-06,sud
809,5.821999,0,1,1,1514,3,discord,1.000000000139778e-06,sud
810,5.821999,0,1,1,1514,3,discord,0.0,sud
811,5.822,0,1,1,1514,3,discord,1.000000000139778e-06,sud
812,5.822,0,1,1,1514,3,discord,0.0,sud
813,5.822001,0,1,1,1514,3,discord,1.000000000139778e-06,sud
814,5.822002,0,1,1,1514,3,discord,1.000000000139778e-06,sud
815,5.822002,0,1,1,1514,3,discord,0.0,sud
816,5.822003,0,1,1,1514,3,discord,9.999999992515995e-07,sud
817,5.822004,0,1,3,544,2,discord,1.000000000139778e-06,sud
818,5.822004,0,1,1,1514,3,discord,0.0,sud
819,5.822005,0,1,1,1514,3,discord,1.000000000139778e-06,sud
820,5.822006,0,1,1,1514,3,discord,1.000000000139778e-06,sud
821,5.822006,0,1,1,1514,3,discord,0.0,sud
