No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
178,0.322972,0,1,0,1174,1,discordstream,0.0,cud
179,0.323011,0,1,0,1174,1,discordstream,3.900000000001125e-05,cud
180,0.323011,0,1,0,371,1,discordstream,0.0,cud
181,0.323011,0,1,0,1174,1,discordstream,0.0,cud
182,0.325863,0,1,0,1174,1,discordstream,0.002852000000000021,cud
184,0.331313,0,1,0,1249,1,discordstream,0.00545000000000001,cud
185,0.338682,0,1,0,1249,1,discordstream,0.007368999999999959,cud
186,0.338682,0,1,0,1249,1,discordstream,0.0,cud
187,0.339038,0,1,0,1249,1,discordstream,0.00035600000000002296,cud
188,0.342187,0,1,0,359,1,discordstream,0.003149000000000013,cud
189,0.34257,0,1,0,1249,1,discordstream,0.0003829999999999667,cud
190,0.342945,0,1,0,1249,1,discordstream,0.0003750000000000142,cud
191,0.342945,0,1,0,1249,1,discordstream,0.0,cud
193,0.350749,0,1,0,1249,1,discordstream,0.007803999999999978,cud
194,0.351103,0,1,0,1249,1,discordstream,0.00035400000000002096,cud
195,0.351103,0,1,0,1249,1,discordstream,0.0,cud
196,0.354174,0,1,0,1249,1,discordstream,0.0030709999999999904,cud
197,0.355027,0,1,0,1249,1,discordstream,0.0008529999999999927,cud
198,0.355043,0,1,0,1249,1,discordstream,1.6000000000016e-05,cud
199,0.357079,1,0,0,110,1,discordstream,0.0020359999999999823,cud
200,0.358901,0,1,0,1249,1,discordstream,0.0018220000000000458,cud
201,0.359628,0,1,0,1249,1,discordstream,0.0007269999999999777,cud
202,0.359628,0,1,0,1250,1,discordstream,0.0,cud
203,0.362021,0,1,0,1250,1,discordstream,0.0023929999999999785,cud
204,0.362481,0,1,0,353,1,discordstream,0.00046000000000001595,cud
205,0.366797,0,1,0,1250,1,discordstream,0.0043159999999999865,cud
206,0.367144,0,1,0,1250,1,discordstream,0.0003470000000000417,cud
208,0.370617,0,1,0,1250,1,discordstream,0.0034729999999999484,cud
209,0.370617,0,1,0,1250,1,discordstream,0.0,cud
210,0.370815,0,1,0,1250,1,discordstream,0.00019800000000003148,cud
211,0.378396,0,1,0,1250,1,discordstream,0.007581000000000004,cud
212,0.378655,0,1,0,1205,1,discordstream,0.0002590000000000092,cud
213,0.384798,0,1,0,354,1,discordstream,0.006142999999999954,cud
214,0.385122,0,1,0,1205,1,discordstream,0.0003240000000000465,cud
215,0.385122,0,1,0,1206,1,discordstream,0.0,cud
216,0.385122,0,1,0,1206,1,discordstream,0.0,cud
217,0.386848,0,1,0,1206,1,discordstream,0.0017260000000000053,cud
218,0.38722,0,1,0,1206,1,discordstream,0.00037199999999998346,cud
219,0.38722,0,1,0,1206,1,discordstream,0.0,cud
221,0.393987,0,1,0,1206,1,discordstream,0.0067669999999999675,cud
