No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
291,3.809619,1,0,0,82,1,fortnite,2.9000000000056758e-05,cud
292,3.853297,0,1,0,83,1,fortnite,0.043677999999999884,cud
293,3.855486,0,1,0,105,1,fortnite,0.0021889999999999965,cud
294,3.876215,1,0,0,82,1,fortnite,0.02072900000000022,cud
295,3.876252,1,0,0,132,1,fortnite,3.6999999999842714e-05,cud
296,3.904027,0,1,0,83,1,fortnite,0.027775000000000105,cud
297,3.906848,0,1,0,123,1,fortnite,0.0028209999999999624,cud
298,3.909588,1,0,0,82,1,fortnite,0.0027399999999997426,cud
299,3.909617,1,0,0,82,1,fortnite,2.9000000000056758e-05,cud
300,3.95367,0,1,0,83,1,fortnite,0.0440529999999999,cud
301,3.955011,0,1,0,105,1,fortnite,0.0013410000000000366,cud
302,3.97639,1,0,0,82,1,fortnite,0.021379000000000037,cud
303,3.97642,1,0,0,82,1,fortnite,3.0000000000196536e-05,cud
304,4.004021,0,1,0,83,1,fortnite,0.027600999999999765,cud
305,4.005389,0,1,0,97,1,fortnite,0.001368000000000258,cud
306,4.009795,1,0,0,82,1,fortnite,0.004406000000000354,cud
307,4.009827,1,0,0,122,1,fortnite,3.1999999999143824e-05,cud
309,4.055966,0,1,0,83,1,fortnite,0.04613900000000015,cud
310,4.056261,0,1,0,118,1,fortnite,0.0002950000000003783,cud
312,4.081191,1,0,0,82,1,fortnite,0.024929999999999453,cud
313,4.081273,1,0,0,82,1,fortnite,8.200000000080365e-05,cud
314,4.10637,0,1,0,97,1,fortnite,0.025096999999999703,cud
315,4.1104,1,0,0,141,1,fortnite,0.0040300000000002,cud
316,4.153553,0,1,0,83,1,fortnite,0.04315299999999933,cud
317,4.158111,0,1,0,118,1,fortnite,0.004558000000000284,cud
318,4.176404,1,0,0,82,1,fortnite,0.018292999999999893,cud
319,4.176436,1,0,0,82,1,fortnite,3.2000000000032e-05,cud
320,4.20554,0,1,0,83,1,fortnite,0.02910400000000024,cud
321,4.205787,0,1,0,97,1,fortnite,0.0002469999999998862,cud
322,4.209744,1,0,0,82,1,fortnite,0.003956999999999766,cud
323,4.209774,1,0,0,93,1,fortnite,3.0000000000640625e-05,cud
324,4.24329,1,0,0,120,1,fortnite,0.03351599999999966,cud
325,4.254707,0,1,0,83,1,fortnite,0.011416999999999788,cud
326,4.261757,0,1,0,136,1,fortnite,0.007050000000000445,cud
327,4.276857,1,0,0,82,1,fortnite,0.015099999999999447,cud
328,4.276887,1,0,0,82,1,fortnite,3.0000000000640625e-05,cud
329,4.305818,0,1,0,83,1,fortnite,0.02893100000000004,cud
330,4.305957,0,1,0,112,1,fortnite,0.0001389999999998892,cud
331,4.310784,1,0,0,82,1,fortnite,0.004826999999999693,cud
332,4.310824,1,0,0,82,1,fortnite,4.000000000026205e-05,cud
