No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
145,0.906741,0,1,2,162,2,googledrive,4.899999999996574e-05,sud
146,0.906742,0,1,2,105,2,googledrive,1.0000000000287557e-06,sud
147,0.906798,1,0,1,66,3,googledrive,5.599999999994498e-05,sud
148,0.907926,1,0,2,105,2,googledrive,0.0011280000000000179,sud
150,0.920351,0,1,1,66,3,googledrive,0.01242500000000002,sud
344,2.223771,1,0,2,1116,2,googledrive,1.30342,sud
345,2.224332,1,0,1,1466,3,googledrive,0.0005609999999998116,sud
346,2.224333,1,0,1,1466,3,googledrive,1.000000000139778e-06,sud
347,2.224334,1,0,1,1466,3,googledrive,9.999999996956888e-07,sud
348,2.224334,1,0,1,1466,3,googledrive,0.0,sud
349,2.224358,1,0,2,809,2,googledrive,2.4000000000246047e-05,sud
351,2.238684,0,1,1,66,3,googledrive,0.014326000000000061,sud
352,2.238686,0,1,1,66,3,googledrive,1.9999999998354667e-06,sud
353,2.239039,1,0,1,1466,3,googledrive,0.0003530000000000477,sud
354,2.239073,1,0,2,594,2,googledrive,3.399999999986747e-05,sud
355,2.239452,1,0,2,111,2,googledrive,0.00037900000000012923,sud
356,2.252109,0,1,1,66,3,googledrive,0.012656999999999918,sud
357,2.25211,0,1,1,66,3,googledrive,1.000000000139778e-06,sud
358,2.25339,0,1,1,66,3,googledrive,0.0012799999999999478,sud
369,2.333097,0,1,2,1373,2,googledrive,0.07970699999999997,sud
370,2.333198,1,0,1,66,3,googledrive,0.00010099999999990672,sud
371,2.338464,0,1,2,97,2,googledrive,0.005266000000000215,sud
372,2.338466,0,1,2,105,2,googledrive,1.9999999998354667e-06,sud
373,2.338578,1,0,1,66,3,googledrive,0.00011200000000011201,sud
374,2.342034,1,0,2,105,2,googledrive,0.0034559999999999036,sud
375,2.354711,0,1,1,66,3,googledrive,0.01267700000000005,sud
386,2.456808,0,1,2,1188,2,googledrive,0.1020970000000001,sud
387,2.45681,0,1,2,261,2,googledrive,1.9999999998354667e-06,sud
388,2.456899,1,0,1,66,3,googledrive,8.900000000000574e-05,sud
389,2.458313,0,1,2,112,2,googledrive,0.0014140000000000263,sud
390,2.458393,1,0,1,66,3,googledrive,8.000000000008001e-05,sud
391,2.458988,0,1,2,273,2,googledrive,0.0005950000000001232,sud
392,2.458988,0,1,2,105,2,googledrive,0.0,sud
393,2.459016,1,0,1,66,3,googledrive,2.799999999991698e-05,sud
394,2.459271,1,0,2,105,2,googledrive,0.00025500000000011624,sud
401,2.471894,0,1,1,66,3,googledrive,0.012622999999999607,sud
450,4.286593,1,0,2,662,2,googledrive,1.814699,sud
451,4.286861,1,0,2,343,2,googledrive,0.000268000000000157,sud
452,4.29041,1,0,2,808,2,googledrive,0.0035489999999995803,sud
453,4.299896,0,1,1,66,3,googledrive,0.009486000000000772,sud
