No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
81,1.148566,0,1,1,66,3,hulu,9.999999999177334e-07,cd
82,1.148566,0,1,1,66,3,hulu,0.0,cd
83,1.148853,0,1,1,66,3,hulu,0.0002869999999999262,cd
84,1.148853,0,1,1,66,3,hulu,0.0,cd
85,1.148854,0,1,1,66,3,hulu,1.000000000139778e-06,cd
86,1.155427,0,1,3,480,2,hulu,0.00657299999999994,cd
87,1.155488,1,0,1,66,3,hulu,6.100000000008876e-05,cd
88,1.155716,0,1,1,1514,3,hulu,0.00022799999999989495,cd
89,1.155717,0,1,1,1514,5,hulu,1.000000000139778e-06,cd
90,1.155757,1,0,1,66,3,hulu,3.999999999981796e-05,cd
91,1.156031,1,0,1,66,16,hulu,0.0002740000000001075,cd
92,1.157566,0,1,1,1514,3,hulu,0.001535000000000064,cd
93,1.157566,0,1,1,1514,5,hulu,0.0,cd
94,1.157608,1,0,1,66,3,hulu,4.199999999987547e-05,cd
95,1.157717,1,0,1,66,16,hulu,0.00010900000000013677,cd
96,1.158165,0,1,1,1514,3,hulu,0.0004479999999997819,cd
97,1.158166,0,1,1,1514,5,hulu,1.000000000139778e-06,cd
98,1.158195,1,0,1,66,3,hulu,2.9000000000056758e-05,cd
99,1.15824,1,0,1,66,16,hulu,4.4999999999850715e-05,cd
100,1.159315,0,1,1,1514,3,hulu,0.0010750000000001592,cd
101,1.159342,1,0,1,66,3,hulu,2.6999999999999247e-05,cd
102,1.159659,0,1,1,1514,5,hulu,0.0003169999999999007,cd
103,1.159679,1,0,1,66,3,hulu,1.999999999990898e-05,cd
104,1.160872,0,1,1,1514,3,hulu,0.0011929999999999996,cd
105,1.160919,1,0,1,66,3,hulu,4.700000000013027e-05,cd
106,1.16155,0,1,1,1514,5,hulu,0.0006310000000000482,cd
107,1.161573,1,0,1,66,3,hulu,2.2999999999884224e-05,cd
108,1.162113,0,1,1,1514,3,hulu,0.0005399999999999849,cd
109,1.162114,0,1,3,1514,2,hulu,1.000000000139778e-06,cd
110,1.162145,1,0,1,66,3,hulu,3.0999999999892225e-05,cd
111,1.162184,1,0,1,66,16,hulu,3.900000000012227e-05,cd
112,1.172428,0,1,1,1514,3,hulu,0.01024399999999992,cd
113,1.17243,0,1,1,1514,5,hulu,2.0000000000575113e-06,cd
114,1.172432,0,1,1,1514,3,hulu,1.9999999998354667e-06,cd
115,1.172433,0,1,1,1514,5,hulu,1.000000000139778e-06,cd
116,1.172435,0,1,1,1514,3,hulu,1.9999999998354667e-06,cd
117,1.172438,0,1,1,1514,5,hulu,3.0000000001972893e-06,cd
118,1.172439,0,1,1,1514,3,hulu,9.999999999177334e-07,cd
119,1.172609,1,0,1,66,3,hulu,0.00017000000000000348,cd
120,1.172726,1,0,1,66,16,hulu,0.00011699999999992272,cd
