No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
356,1.898035,0,1,1,295,5,minecraft,0.0,cud
357,1.898259,1,0,1,54,3,minecraft,0.00022400000000000198,cud
358,1.898889,0,1,1,86,5,minecraft,0.0006300000000001305,cud
359,1.898889,0,1,1,297,5,minecraft,0.0,cud
360,1.898889,0,1,1,86,5,minecraft,0.0,cud
361,1.898889,0,1,1,298,5,minecraft,0.0,cud
362,1.898943,1,0,1,54,3,minecraft,5.3999999999998494e-05,cud
363,1.914984,0,1,1,66,5,minecraft,0.016040999999999972,cud
364,1.915091,1,0,1,54,3,minecraft,0.00010700000000007925,cud
365,1.944486,0,1,1,231,5,minecraft,0.029394999999999838,cud
366,1.945056,0,1,1,174,5,minecraft,0.0005699999999999594,cud
367,1.945056,0,1,1,295,5,minecraft,0.0,cud
368,1.945128,1,0,1,54,3,minecraft,7.2000000000072e-05,cud
369,1.945141,0,1,1,331,5,minecraft,1.3000000000040757e-05,cud
370,1.945141,0,1,1,331,5,minecraft,0.0,cud
371,1.945141,0,1,1,327,5,minecraft,0.0,cud
372,1.945141,0,1,1,573,5,minecraft,0.0,cud
373,1.94519,1,0,1,54,3,minecraft,4.899999999996574e-05,cud
374,1.946061,1,0,1,82,5,minecraft,0.0008710000000000662,cud
375,1.94774,0,1,1,66,5,minecraft,0.001678999999999986,cud
376,1.995532,0,1,1,86,5,minecraft,0.04779200000000006,cud
377,1.995532,0,1,1,295,5,minecraft,0.0,cud
378,1.995532,0,1,1,331,5,minecraft,0.0,cud
379,1.995532,0,1,1,86,5,minecraft,0.0,cud
380,1.995606,0,1,1,327,5,minecraft,7.399999999990747e-05,cud
381,1.995606,0,1,1,297,5,minecraft,0.0,cud
382,1.995651,1,0,1,54,3,minecraft,4.500000000007276e-05,cud
383,1.995654,1,0,1,54,3,minecraft,2.9999999999752447e-06,cud
384,1.995702,0,1,1,86,5,minecraft,4.8000000000048004e-05,cud
385,1.995702,0,1,1,298,5,minecraft,0.0,cud
386,1.995734,1,0,1,54,3,minecraft,3.199999999980996e-05,cud
387,1.996049,0,1,1,453,5,minecraft,0.00031500000000006523,cud
388,1.996077,1,0,1,54,3,minecraft,2.8000000000139025e-05,cud
389,1.996319,1,0,1,82,5,minecraft,0.00024199999999985344,cud
390,2.044472,0,1,1,310,5,minecraft,0.04815299999999989,cud
391,2.044472,0,1,1,295,5,minecraft,0.0,cud
392,2.044569,1,0,1,54,3,minecraft,9.700000000023579e-05,cud
393,2.044857,0,1,1,331,5,minecraft,0.00028799999999984394,cud
394,2.044857,0,1,1,359,5,minecraft,0.0,cud
395,2.044857,0,1,1,329,5,minecraft,0.0,cud
