No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
977,11.179471,0,1,2,1240,2,quizlet,9.999999992515995e-07,sud
978,11.179472,0,1,1,1514,3,quizlet,1.0000000010279564e-06,sud
979,11.179473,0,1,1,1514,3,quizlet,9.999999992515995e-07,sud
980,11.179474,0,1,2,745,2,quizlet,1.0000000010279564e-06,sud
981,11.179474,0,1,1,1514,3,quizlet,0.0,sud
982,11.179475,0,1,2,1262,2,quizlet,9.999999992515995e-07,sud
983,11.179476,0,1,1,1514,3,quizlet,9.999999992515995e-07,sud
984,11.179476,0,1,2,1271,2,quizlet,0.0,sud
985,11.179477,0,1,2,98,2,quizlet,1.0000000010279564e-06,sud
986,11.179478,0,1,2,97,2,quizlet,9.999999992515995e-07,sud
987,11.179545,1,0,1,66,3,quizlet,6.699999999959516e-05,sud
988,11.179976,1,0,1,66,16,quizlet,0.00043100000000073635,sud
989,11.185529,1,0,2,689,2,quizlet,0.005553000000000807,sud
990,11.185731,1,0,1,1454,3,quizlet,0.00020199999999981344,sud
991,11.185739,1,0,2,506,2,quizlet,7.999999999341867e-06,sud
992,11.203011,0,1,1,66,3,quizlet,0.017272000000000176,sud
993,11.2502,0,1,2,147,2,quizlet,0.04718899999999948,sud
994,11.250201,0,1,2,99,2,quizlet,1.0000000010279564e-06,sud
995,11.250201,0,1,2,97,2,quizlet,0.0,sud
996,11.250309,1,0,1,66,3,quizlet,0.00010799999999910881,sud
997,11.304707,1,0,1,1454,3,quizlet,0.054398000000000835,sud
998,11.304709,1,0,1,1454,3,quizlet,2.000000000279556e-06,sud
999,11.304738,1,0,2,158,2,quizlet,2.899999999961267e-05,sud
1000,11.309503,1,0,1,1454,3,quizlet,0.00476499999999902,sud
1001,11.309505,1,0,1,1454,3,quizlet,2.000000000279556e-06,sud
1002,11.309526,1,0,2,152,2,quizlet,2.1000000000270802e-05,sud
1003,11.322521,0,1,1,66,3,quizlet,0.01299500000000009,sud
1004,11.327366,0,1,1,66,3,quizlet,0.004844999999999544,sud
1007,11.352257,0,1,2,236,2,quizlet,0.02489100000000022,sud
1008,11.352258,0,1,1,1514,3,quizlet,1.0000000010279564e-06,sud
1009,11.352258,0,1,1,1514,3,quizlet,0.0,sud
1010,11.35226,0,1,2,390,2,quizlet,1.999999998503199e-06,sud
1011,11.35226,0,1,2,97,2,quizlet,0.0,sud
1013,11.352382,1,0,1,66,3,quizlet,0.0001220000000010657,sud
1016,11.369018,1,0,1,1454,3,quizlet,0.016636000000000095,sud
1017,11.36902,1,0,1,1454,3,quizlet,2.000000000279556e-06,sud
1018,11.369042,1,0,2,135,2,quizlet,2.19999999995224e-05,sud
1019,11.369909,0,1,2,193,2,quizlet,0.000866999999999507,sud
1020,11.36991,0,1,1,1514,3,quizlet,1.0000000010279564e-06,sud
1021,11.369911,0,1,1,1514,3,quizlet,9.999999992515995e-07,sud
