No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
201,5.815479,0,1,0,176,1,ryrod,0.0,sd
202,5.815479,0,1,0,1089,1,ryrod,0.0,sd
203,5.815781,1,0,0,86,1,ryrod,0.00030200000000046856,sd
204,5.816439,0,1,0,898,1,ryrod,0.0006579999999996033,sd
205,5.816439,0,1,0,1137,1,ryrod,0.0,sd
206,5.816439,0,1,0,1011,1,ryrod,0.0,sd
207,5.816439,0,1,0,1000,1,ryrod,0.0,sd
208,5.816439,0,1,0,1188,1,ryrod,0.0,sd
209,5.816439,0,1,0,1019,1,ryrod,0.0,sd
210,5.816439,0,1,0,365,1,ryrod,0.0,sd
211,5.816439,0,1,0,1242,1,ryrod,0.0,sd
212,5.81665,1,0,0,86,1,ryrod,0.00021100000000018326,sd
213,5.81757,0,1,0,100,1,ryrod,0.0009199999999998099,sd
214,5.81757,0,1,0,366,1,ryrod,0.0,sd
215,5.81757,0,1,0,1041,1,ryrod,0.0,sd
216,5.81757,0,1,0,130,1,ryrod,0.0,sd
217,5.81757,0,1,0,1067,1,ryrod,0.0,sd
218,5.81757,0,1,0,1242,1,ryrod,0.0,sd
219,5.81757,0,1,0,282,1,ryrod,0.0,sd
220,5.81757,0,1,0,468,1,ryrod,0.0,sd
221,5.81757,0,1,0,624,1,ryrod,0.0,sd
222,5.81757,0,1,0,277,1,ryrod,0.0,sd
223,5.81757,0,1,0,450,1,ryrod,0.0,sd
224,5.81757,0,1,0,549,1,ryrod,0.0,sd
225,5.817857,1,0,0,87,1,ryrod,0.00028700000000014825,sd
226,5.818558,0,1,0,809,1,ryrod,0.0007010000000002847,sd
227,5.818558,0,1,0,675,1,ryrod,0.0,sd
228,5.818558,0,1,0,404,1,ryrod,0.0,sd
229,5.818558,0,1,0,356,1,ryrod,0.0,sd
230,5.818558,0,1,0,870,1,ryrod,0.0,sd
231,5.818558,0,1,0,884,1,ryrod,0.0,sd
232,5.819194,0,1,0,820,1,ryrod,0.0006360000000000809,sd
233,5.823105,1,0,0,88,1,ryrod,0.003910999999999554,sd
234,5.827425,0,1,0,1242,1,ryrod,0.0043199999999998795,sd
235,5.827925,0,1,0,1242,1,ryrod,0.0004999999999997229,sd
236,5.827925,0,1,0,812,1,ryrod,0.0,sd
237,5.829336,1,0,0,1285,1,ryrod,0.001411000000000051,sd
238,5.829409,1,0,0,743,1,ryrod,7.300000000043383e-05,sd
239,5.845855,0,1,0,67,1,ryrod,0.016446000000000183,sd
240,5.853282,1,0,0,1183,1,ryrod,0.00742699999999985,sd
