No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
41,2.882528,1,0,1,66,3,spotify,3.900000000012227e-05,cd
42,2.882677,1,0,3,965,64,spotify,0.00014899999999995472,cd
43,2.910964,0,1,1,66,3,spotify,0.02828699999999973,cd
44,2.913897,0,1,3,278,2,spotify,0.0029330000000000744,cd
45,2.914009,1,0,1,66,3,spotify,0.00011200000000011201,cd
46,2.914208,1,0,3,130,2,spotify,0.0001989999999998382,cd
47,2.914312,1,0,3,158,2,spotify,0.00010399999999988196,cd
48,2.914446,1,0,3,1189,2,spotify,0.0001340000000000785,cd
49,2.91447,1,0,3,166,2,spotify,2.4000000000246047e-05,cd
50,2.914488,1,0,1,1466,3,spotify,1.7999999999851468e-05,cd
51,2.914488,1,0,1,1466,3,spotify,0.0,cd
52,2.914494,1,0,3,221,2,spotify,5.999999999950489e-06,cd
53,2.914503,1,0,3,328,2,spotify,8.999999999925734e-06,cd
54,2.935048,1,0,1,78,32,spotify,0.020545000000000258,cd
55,2.938766,0,1,3,684,2,spotify,0.00371800000000011,cd
56,2.938872,1,0,1,66,3,spotify,0.00010599999999971743,cd
57,2.938967,1,0,3,97,2,spotify,9.499999999995623e-05,cd
58,2.940487,0,1,1,66,3,spotify,0.0015200000000001879,cd
59,2.940487,0,1,1,66,3,spotify,0.0,cd
60,2.940488,0,1,1,66,3,spotify,1.000000000139778e-06,cd
61,2.942435,0,1,3,97,2,spotify,0.001946999999999921,cd
62,2.942505,1,0,1,66,3,spotify,7.00000000000145e-05,cd
63,2.955184,0,1,1,74,33,spotify,0.012678999999999885,cd
64,2.955278,1,0,1,66,3,spotify,9.399999999981645e-05,cd
65,2.955441,1,0,3,901,64,spotify,0.00016300000000013526,cd
66,2.968153,0,1,1,66,3,spotify,0.012712000000000057,cd
67,2.970976,0,1,3,329,2,spotify,0.002822999999999798,cd
68,2.970977,0,1,3,500,2,spotify,1.000000000139778e-06,cd
69,2.970978,0,1,3,105,2,spotify,1.000000000139778e-06,cd
70,2.971084,1,0,1,66,3,spotify,0.00010599999999971743,cd
71,2.971674,1,0,3,105,2,spotify,0.0005900000000003125,cd
72,2.978232,0,1,1,66,3,spotify,0.006558000000000064,cd
73,2.979701,0,1,3,278,2,spotify,0.0014689999999997205,cd
74,2.979782,1,0,1,66,3,spotify,8.100000000021979e-05,cd
75,2.980021,1,0,3,130,2,spotify,0.00023899999999965615,cd
76,2.980132,1,0,3,158,2,spotify,0.00011099999999997223,cd
77,2.980249,1,0,3,518,2,spotify,0.00011700000000036681,cd
78,2.981863,0,1,2,1466,2,spotify,0.0016140000000000043,cd
79,2.981864,0,1,2,1466,2,spotify,9.999999996956888e-07,cd
80,2.981865,0,1,2,1466,2,spotify,1.000000000139778e-06,cd
