No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
401,4.52843,1,0,1,66,6,ugm,5.3000000000302805e-05,sd
402,4.528444,1,0,1,66,6,ugm,1.4000000000180535e-05,sd
403,4.528456,1,0,1,66,6,ugm,1.1999999999900979e-05,sd
404,4.528468,1,0,1,66,6,ugm,1.1999999999900979e-05,sd
405,4.528594,0,1,1,95,5,ugm,0.00012599999999984846,sd
406,4.528594,0,1,1,85,5,ugm,0.0,sd
407,4.528614,1,0,1,66,6,ugm,2.0000000000131024e-05,sd
408,4.528647,1,0,1,66,6,ugm,3.300000000017178e-05,sd
409,4.575271,0,1,1,1514,10,ugm,0.046623999999999555,sd
410,4.575377,1,0,1,54,3,ugm,0.00010599999999971743,sd
411,8.837573,1,0,2,2271,2,ugm,4.262196000000001,sd
412,8.882379,0,1,1,56,3,ugm,0.04480599999999946,sd
413,8.940191,0,1,1,1514,3,ugm,0.0578120000000002,sd
414,8.940313,0,1,2,1514,28,ugm,0.00012199999999928934,sd
415,8.940313,0,1,2,341,28,ugm,0.0,sd
416,8.940371,1,0,1,54,3,ugm,5.8000000001001695e-05,sd
417,8.940999,0,1,2,1084,2,ugm,0.0006279999999989627,sd
418,8.941063,1,0,1,54,3,ugm,6.4000000000064e-05,sd
419,8.941971,1,0,2,89,2,ugm,0.0009080000000007971,sd
420,8.944634,0,1,1,1514,3,ugm,0.002663000000000082,sd
421,8.94472,1,0,1,54,3,ugm,8.599999999958641e-05,sd
422,8.946481,0,1,1,1514,3,ugm,0.0017610000000001236,sd
423,8.946481,0,1,2,1277,2,ugm,0.0,sd
424,8.946481,0,1,2,7354,2,ugm,0.0,sd
425,8.946481,0,1,2,729,2,ugm,0.0,sd
426,8.946481,0,1,2,85,2,ugm,0.0,sd
427,8.946646,1,0,1,54,3,ugm,0.00016499999999908255,sd
428,9.040592,0,1,1,56,3,ugm,0.09394600000000075,sd
429,9.293375,1,0,2,1678,2,ugm,0.2527829999999991,sd
430,9.293471,1,0,2,942,2,ugm,9.600000000098419e-05,sd
431,9.341045,0,1,1,56,3,ugm,0.04757399999999912,sd
432,9.487469,0,1,2,736,2,ugm,0.14642400000000144,sd
433,9.496353,0,1,2,373,2,ugm,0.008883999999998338,sd
434,9.496415,1,0,1,54,3,ugm,6.20000000015608e-05,sd
435,9.496492,0,1,2,179,2,ugm,7.699999999921658e-05,sd
436,9.496827,0,1,2,96,2,ugm,0.00033499999999975216,sd
437,9.496827,0,1,2,85,2,ugm,0.0,sd
438,9.496856,1,0,1,54,3,ugm,2.899999999961267e-05,sd
439,9.558587,0,1,2,710,2,ugm,0.06173099999999998,sd
440,9.558587,0,1,2,163,2,ugm,0.0,sd
