No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
149,6.717627,1,0,2,139,2,wmregistration,0.9174829999999998,sud
150,6.717783,1,0,2,237,2,wmregistration,0.0001559999999996009,sud
151,6.754713,0,1,1,66,3,wmregistration,0.03692999999999991,sud
152,6.762803,0,1,1,1514,3,wmregistration,0.008090000000000153,sud
153,6.762805,0,1,2,1281,2,wmregistration,2.000000000279556e-06,sud
154,6.762806,0,1,2,97,2,wmregistration,1.000000000139778e-06,sud
155,6.762921,1,0,1,66,3,wmregistration,0.00011500000000008725,sud
308,9.458631,1,0,2,200,2,wmregistration,2.69571,sud
309,9.459135,1,0,2,155,2,wmregistration,0.0005039999999993938,sud
310,9.494175,0,1,1,66,3,wmregistration,0.035040000000000404,sud
311,9.630442,0,1,2,644,2,wmregistration,0.13626700000000014,sud
312,9.630443,0,1,2,97,2,wmregistration,9.999999992515995e-07,sud
313,9.630607,1,0,1,66,3,wmregistration,0.00016399999999983095,sud
314,9.641155,1,0,2,197,2,wmregistration,0.010548000000000002,sud
315,9.641266,1,0,2,304,2,wmregistration,0.00011100000000041632,sud
316,9.647273,1,0,2,147,2,wmregistration,0.006007000000000318,sud
317,9.647485,1,0,2,232,2,wmregistration,0.00021199999999943486,sud
318,9.669979,0,1,1,66,3,wmregistration,0.022494000000000014,sud
319,9.676048,0,1,1,66,3,wmregistration,0.006069000000000102,sud
320,9.67605,0,1,1,1514,3,wmregistration,2.000000000279556e-06,sud
321,9.676149,1,0,1,66,3,wmregistration,9.900000000051534e-05,sud
322,9.677327,0,1,2,436,2,wmregistration,0.0011779999999994573,sud
323,9.677328,0,1,2,97,2,wmregistration,9.999999992515995e-07,sud
324,9.677412,1,0,1,66,3,wmregistration,8.400000000108321e-05,sud
325,9.691127,0,1,2,1048,2,wmregistration,0.013714999999999478,sud
326,9.691129,0,1,2,97,2,wmregistration,2.000000000279556e-06,sud
327,9.691237,1,0,1,66,3,wmregistration,0.00010799999999910881,sud
559,17.452371,1,0,2,148,2,wmregistration,7.761134,sud
560,17.452613,1,0,2,233,2,wmregistration,0.0002420000000000755,sud
561,17.488288,0,1,1,66,3,wmregistration,0.035675000000001234,sud
562,17.496683,0,1,2,1256,2,wmregistration,0.008395000000000152,sud
563,17.496686,0,1,2,97,2,wmregistration,2.9999999995311555e-06,sud
564,17.496758,1,0,1,66,3,wmregistration,7.199999999940587e-05,sud
565,18.684185,1,0,2,139,2,wmregistration,1.1874269999999996,sud
566,18.684454,1,0,2,237,2,wmregistration,0.0002689999999994086,sud
567,18.735349,0,1,1,66,3,wmregistration,0.05089500000000058,sud
568,18.741495,0,1,1,1514,3,wmregistration,0.006146000000001095,sud
569,18.741496,0,1,1,1514,3,wmregistration,1.0000000010279564e-06,sud
570,18.741498,0,1,2,78,2,wmregistration,1.999999998503199e-06,sud
571,18.741498,0,1,2,97,2,wmregistration,0.0,sud
