No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
2818,4.579913,0,1,5,451,15,youtube,2.4999999999941735e-05,cd
2819,4.579913,0,1,5,1285,15,youtube,0.0,cd
2820,4.579914,0,1,5,1292,15,youtube,9.999999992515995e-07,cd
2821,4.581483,0,1,5,1292,15,youtube,0.0015690000000008197,cd
2822,4.581484,0,1,5,1292,15,youtube,9.999999992515995e-07,cd
2823,4.581484,0,1,5,1292,15,youtube,0.0,cd
2824,4.581488,0,1,5,1292,15,youtube,4.000000000559112e-06,cd
2825,4.581488,0,1,5,1292,15,youtube,0.0,cd
2826,4.582491,0,1,5,1292,15,youtube,0.0010029999999998651,cd
2827,4.58404,1,0,5,95,15,youtube,0.0015489999999998005,cd
2828,4.584117,1,0,5,95,15,youtube,7.700000000010476e-05,cd
2829,4.584248,1,0,5,95,15,youtube,0.00013099999999965917,cd
2830,4.584421,1,0,5,95,15,youtube,0.00017300000000020077,cd
2831,4.584488,1,0,5,95,15,youtube,6.700000000048334e-05,cd
2832,4.584561,1,0,5,95,15,youtube,7.299999999954565e-05,cd
2833,4.58471,1,0,5,95,15,youtube,0.0001490000000003988,cd
2834,4.584785,1,0,5,95,15,youtube,7.49999999998252e-05,cd
2835,4.586685,0,1,5,1292,15,youtube,0.0019000000000000128,cd
2836,4.586685,0,1,5,1292,15,youtube,0.0,cd
2837,4.586686,0,1,5,1292,15,youtube,1.000000000139778e-06,cd
2838,4.586686,0,1,5,1292,15,youtube,0.0,cd
2839,4.586686,0,1,5,1292,15,youtube,0.0,cd
2840,4.586687,0,1,5,1292,15,youtube,1.000000000139778e-06,cd
2841,4.586687,0,1,5,1292,15,youtube,0.0,cd
2842,4.586688,0,1,5,1292,15,youtube,9.999999992515995e-07,cd
2843,4.586688,0,1,5,1292,15,youtube,0.0,cd
2844,4.586688,0,1,5,1292,15,youtube,0.0,cd
2845,4.586689,0,1,5,1292,15,youtube,1.000000000139778e-06,cd
2846,4.586689,0,1,5,1292,15,youtube,0.0,cd
2847,4.587866,0,1,5,1292,15,youtube,0.0011770000000002057,cd
2848,4.587867,0,1,5,1292,15,youtube,1.000000000139778e-06,cd
2849,4.587868,0,1,5,1292,15,youtube,1.000000000139778e-06,cd
2850,4.587869,0,1,5,1292,15,youtube,1.000000000139778e-06,cd
2851,4.587869,0,1,5,1292,15,youtube,0.0,cd
2852,4.58787,0,1,5,1292,15,youtube,9.999999992515995e-07,cd
2853,4.58787,0,1,5,1292,15,youtube,0.0,cd
2854,4.587871,0,1,5,1292,15,youtube,1.000000000139778e-06,cd
2855,4.587872,0,1,5,1292,15,youtube,1.000000000139778e-06,cd
2856,4.587872,0,1,5,1292,15,youtube,0.0,cd
2857,4.587873,0,1,5,1292,15,youtube,1.000000000139778e-06,cd
