No.,Time,Source,Destination,Protocol,Length,Info,Site,Time Delta,Target
305,1.704261,1,0,0,143,1,zoom,0.01989799999999997,cud
310,1.726632,1,0,0,144,1,zoom,0.02237099999999992,cud
312,1.734852,0,1,0,137,1,zoom,0.008220000000000116,cud
313,1.73519,1,0,0,115,1,zoom,0.00033799999999994945,cud
314,1.744451,1,0,0,149,1,zoom,0.009260999999999964,cud
316,1.745844,0,1,0,116,1,zoom,0.0013929999999999776,cud
319,1.754488,0,1,0,194,1,zoom,0.008644000000000096,cud
320,1.764267,1,0,0,142,1,zoom,0.009778999999999982,cud
321,1.775557,0,1,0,255,1,zoom,0.011290000000000022,cud
322,1.783962,1,0,0,145,1,zoom,0.008404999999999996,cud
323,1.796253,0,1,0,303,1,zoom,0.012291000000000052,cud
324,1.804599,1,0,0,143,1,zoom,0.008345999999999965,cud
325,1.806342,0,1,2,138,2,zoom,0.001742999999999828,cud
326,1.806433,1,0,1,66,3,zoom,9.100000000006325e-05,cud
327,1.816767,0,1,0,301,1,zoom,0.010334000000000065,cud
328,1.816959,1,0,2,109,2,zoom,0.00019199999999996997,cud
329,1.824227,1,0,0,144,1,zoom,0.007268000000000052,cud
330,1.836439,0,1,1,66,3,zoom,0.01221199999999989,cud
331,1.836441,0,1,0,299,1,zoom,2.0000000000575113e-06,cud
332,1.836441,0,1,0,283,1,zoom,0.0,cud
333,1.844285,1,0,0,144,1,zoom,0.007843999999999962,cud
334,1.864344,1,0,0,144,1,zoom,0.02005900000000005,cud
335,1.87874,0,1,0,277,1,zoom,0.014396000000000075,cud
336,1.878741,0,1,0,270,1,zoom,9.999999999177334e-07,cud
342,1.918653,0,1,0,265,1,zoom,0.03991199999999995,cud
346,1.939041,0,1,0,235,1,zoom,0.020388000000000073,cud
347,1.951102,0,1,0,180,1,zoom,0.012060999999999877,cud
348,1.96449,1,0,0,150,1,zoom,0.013388000000000178,cud
349,1.992205,0,1,0,134,1,zoom,0.027714999999999934,cud
350,2.011445,0,1,0,132,1,zoom,0.019240000000000146,cud
351,2.011446,0,1,0,134,1,zoom,9.999999996956888e-07,cud
352,2.033359,0,1,0,134,1,zoom,0.02191300000000007,cud
359,2.050912,0,1,2,138,2,zoom,0.01755299999999993,cud
360,2.051025,1,0,1,66,3,zoom,0.00011300000000025179,cud
361,2.05201,0,1,0,134,1,zoom,0.0009850000000000136,cud
362,2.052142,1,0,2,109,2,zoom,0.00013199999999979894,cud
363,2.052216,1,0,0,116,1,zoom,7.400000000012952e-05,cud
364,2.064407,1,0,0,146,1,zoom,0.012191000000000063,cud
367,2.072338,0,1,0,132,1,zoom,0.007930999999999688,cud
368,2.073584,0,1,1,66,3,zoom,0.0012460000000000804,cud
